NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. PP Nomor 12 Tahun 2013 tentangJaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentangStandar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung g. Pergub Lampung Nomor 18 Tahun 2023 tentang Tarif Pelayanan Kesehatan RSUD Dr. H. Abdul Moeloek Provinsi Lampung "
2,Persyaratan Pelayanan,"a. Pasien Peserta BPJS (PBI, Mandiri, TNI/POLRI, PNS) a) Kartu peserta JKN asli atau Aplikasi Mobile JKN b) Lembar resume medis untuk pasien yang control pasca rawat inap c) Surat Rujukan dari puskesmas dan RS tipe B untuk pasien baru, pasien lama yang habis masa berlaku rujukannya dan pasien yang control pasca rawat inap dst d) Surat rujukan internal (konsul antar dokter spesialis) dan fotocopi surat rujukan Puskesmas dan Rumah Sakit Tipe B yang masih berlaku (3 bulan). e) SEP f) SJP g) Assesmen dari Dokter Spesialis Kedokteran Fisik dan Rehabilitasi h) Jadwal terapi dari Dokter Spesialis Kedokteran Fisik dan Rehabilitasi i) Rujukan BPJS berlaku 3 bulan terteradi rujukan online j) Pemberian pelayanan terapi dievaluasi setelah program terapi yang dijadwalkan oleh Dokter Spesialis Kedokteran Fisik dan Rehabilitasi berakhir. b. Pasien Umum a) Pasien mendaftar di loket pendaftaran pasien umum untuk konsul tasi dan terapi di instalasi rehabilitasi medik b) Setelah terdaftar pasien menuju ruang instalasi rehabilitasi medik c) Assesmen dari doketr spesialis Kedokteran Fisik dan Rehabilitasi Medik d) Jadwal dan program terapi dari dokter Spesialis Kedokteran Fisik dan Rehabilitasi Medik e) Pemberian pelayanan terapi dievaluasi setelah program terapi yang dijadwalkan oleh Dokter Spesialis Kedokteran Fisik dan Rehabilitasi berakhir."
3,Sistem Mekanisme dan Prosedur,"Sistem Pelayanan : a) Klien/pasien datang konsultasi ke Dokter Spesialis Kedokteran Fisik dan Rehabilitasi untuk dilakukan assesmen, menentukan diagnosis dan program rehabilitasi medik yang diperlukan pasien b) Dokter menyusun jadwal dan program terapi c) Fisioterapis, terapi sokupasi, terapis wicara memberikan pelayanan sesuai dengan instruksi dari dokter Spesialis Kedokteran Fisik dan Rehabilitasi Mekanisme pelayanan: a) Pasien mendaftar untuk ke Instalasi Rehabilitasi Medik b) Pasien mengurus jaminan pelayanan (bagi klien/pasien yang menggunakan jaminan kesehatan), bagi pasienumum/tanpajaminankesehatanlan gsungmenujukeInstalasiRehabilitasiMedik c) Pasienmendaftarkandiri di InstalasiRehabilitasidenganmenulisnama pada buku yang sudahdisiapkanpetugas d) Menyerahkanjaminankepadapetugas, bagipasienumummenyerahkankartupenda ftaran, e) PasienmendapatkanpelayanandaritimReh abilitasiMedik ProsedurPelayanan : a) Dokter SpKFR melakukanassesmen, menentukan diagnosis dan program rehabilitasimedik yang diperlukanpasien (rawatinap dan rawatjalan). b) Khususpasien post rawatinap yang dikonsultasikankedokterRehabilitasiMedi kwajibmelampirkan resume medisselanjutnyapasiendiberikanpengara hanuntukmengurusrujukankefaskestingk at 1 ataupuskesmasmengikutialurrujukanberj enjang. c) Dokter SpKFR menyusunjadwal dan program terapi. d) Fisioterapis, terapisokupasi, terapiswicaramelakukanpersiapan (Assesment, mempersiapkanruang, menempatkanpasien). e) Fisioterapis, terapisokupasi, terapiswicaramemasang/menyalakanalat/ menggunakanalat/melakukanlatihan, sesuai program masing-masing. f) Fisioterapis, terapisokupasi, terapiswicaramendokumentasikansesuaiti ndakan masing-masing."
4,Jangka Waktu Pelayanan,30 – 45 Menit
5,Biaya/Tarif,"Mengacupada: a) PP Nomor 12 Tahun 2013 tentangJaminan Kesehatan Nasional b) PP Nomor 28 Tahun 2016 tentangPerubahanketiga PP Nomor 12 tahun 2013 c) PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d) PMK Nomor 64 tahun 2016 tentangStandar Tarif Jaminan Kesehatan Nasional e) Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul MoeloekProvinsi Lampung f) PergubNomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, InstalasiGawatDarurat, Kelas II, KelasKhusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul MoeloekProvinsi Lampung g) Pergub Lampung Nomor 18 Tahun 2023 tentang Tarif Pelayanan Kesehatan RSUD Dr. H. Abdul MoeloekProvinsi Lampung"
6,Produk Layanan,a. Injeksiartikuler / botok b. Dry needle c. Tapping/ straping d. Modalitasterapi a) Cold Pack b) Hot Pack c) Infra Red (IR) d) Paraffin bath e) Short Wave Diathermy (SWD) f) Micro Wave Diathermi (MWD) g) Ultrasound Diathermi (USD) h) RSWT/ESWT i) Laser j) Traksi Cervical / Lumbal k) Electrical Stimulation (ES) l) TENS m) Ultra Violet e. Paralel bar f. Trap/tangga g. Standing Bar h. Tilting table/Couches i. Shoulder Wheel/Pulley/Wallbar j. Ergocycle k. Matrasexercise l. Nebulizer m. Alat bantujalan (Crutch/Walker/Tripod) n. Masage o. Pijat Bayi p. MLDV q. Manual Therapy r. Excersise s. Latihan Bobath/PNF t. Senam Hamil u. Senam Nifas v. Senam stroke w. Assessment bahasa / memori x. Assessment wicara y. Assessment suara z. Assessment irama / kelancaran aa. Assessment menelan bb. TerapiWicara pada kasussuara cc. TerapiWicara pada kasusirama / kelancaran dd. TerapiWicara pada kasusbahasa/memori ee. Terapimenelan ff. Sensoriintegrasi gg. TerapiOkupasi Pada ADL hh. TerapiOkupasi Pada KekuatanOtot ii. TerapiOkupasi Pada FungsiKognitif&Persepsi jj. TerapiOkupasi Pada Stroke kk. TerapiOkupasi Cerebral Palsy ll. TerapiOkupasi Pada Motor Delayed mm. TerapiOcupasi Pada Down Syndrom nn. TerapiOkupasi Pada Autism oo. TerapiOkupasi Pada ADHD pp. AssesmentPerkembangan Anak qq. AssesmentOkupasiTerapi( ADL/Upper Limb/ Lower Limb/MMT) rr. AssestmentFungsiKognitif Dan Persepsi AssesmentOkupasiTerapi
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email :humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. PengaduanLangsung : Unit LayananTerpadu Gedung Rawat Jalan Kotak Saran :setiap Area Publik RSUD Abdul MoeleokProvinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana : Ruang dalambangunanInstalasiRehabilitasimedikterbag iatasbeberaparuang, yaitu: a. Ruang tunggupasien b. Ruang administrasi c. Ruang diskusi d. Ruang pemeriksaandokter e. Ruang kepalainstalasi f. Ruang laktasi g. Ruang fisioterapi 1 h. Ruang fisioterapi 2 i. Ruang fisioterapi 3 j. Ruang fisioterapi VIP k. Ruang okupasiterapi l. Ruang sensory intergrasi m. Ruang sound proof n. Ruang terapiwicara o. Ruang kepalaruangan p. Ruang gymnasium q. Pantry r. Musholah s. Toilet pasien t. Toilet karyawan Fasilitas: a) Instalasi air bersih, b) Instalasilistrik, c) Sistemventilasi dan pengkondisianudara, d) Sistempencahayaan, e) Pengelolaansampah (termasuklimbahmedis), f) Fasilitaskomunikasi dan informasi, g) Sarana keselamatan dan saranatransportasi Tersediaperalatan yang standarsesuaikelaskemampuanpelayanan."
9,Kompetensi Pelaksana,a. Dokter SpesialisKedokteranFisik dan Rehabilitasi a. Kualifikasi Dokter SpesialisKedokteranFisik dan Rehabilitasi b. Memiliki STR dan SIP b. Fisioterapi a. Kualifikasi Pendidikan minimal DIII Fisioterapi b. Memiliki STR dan SIP c. OkupasiTerapi a. Kualifikasi Pendidikan minimal DIII OkupasiTerapi b. Memiliki STR dan SIP d. TerapiWicara a. Kualifikasi Pendidikan minimal DIII TerapiWicara b. Memiliki STR dan SIP e. PekerjaSosialMedik a. Kualifikasi Pendidikan minimal DIV PekerjaSosialMedik b. Memiliki STR f. Tenaga administrasi a. Kualifikasi Pendidikan minimal DIII Komputer g. Pekarya Kualifikasi Pendidikan minimal SMA
10,Pengawasan Internal,a. Dewan Pengawas b. SatuanPengawas Internal Rumah Sakit (SPI) c. Direktur AtasanLangsung
