NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang – undang Nomor 25 tahun 2009 tentang pelayanan publik; b. Undang undang No 17 Tahun 2023 tentang Kesehatan; c. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; d. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; e. Peraturan Pemerintah Nomor 47 tahun 2021 tentang Penyelenggaraan Bidang Perumah Sakitan; f. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; g. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; h. Peraturan Gubernur Lampung Nomor 1 tahun 2024 tentang Perubahan Kedua Atas Peraturan Gubernur Lampung Nomor 59 Tahun 2021 tentang Susunan Organisasi, Tugas dan Fungsi, serta Tata Kerja Perangkat Daerah; i. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;"
2,Persyaratan Pelayanan,"a. Peserta Medical Check Up RSUD Dr. H. Abdul Moeloek yang bersedia menggunakan pelayanan/jaminan pribadi, kerjasama instansi dan asuransi b. Peserta datang langsung ke Instalasi Medical Check Up dengan membawa KTP asli c. Peserta Tes Medical Check Up CPNS menjadi PNS membawa surat pengantar dari Institusi tempat bekerja"
3,Sistem Mekanisme dan Prosedur,"a. Peserta datang langsung ke Instalasi Medical Check Up b. Peserta melakukan registrasi administrasi di meja pendaftaran Instalasi MCU, petugas melakukan Billing input ke SIM RS. c. Peserta mendapatkan form rincian pelayanan dan biaya. d. Bila setuju maka peserta Medical Check Up melakukan pembayaran di kasir terdekat. e. Petugas Medical Check Up mempersiapkan dokumen medical record f. Peserta kembali ke Medical Check up menyerahkan bukti pembayaran g. Peserta Medical Check Up dilakukan anamnesa oleh petugas Instalasi Medical Check Up sesuai dengan format Medical record yang ditentukan. h. Bila diperlukan pemeriksaan Penunjang : 8.1 Laboratorium maka dilakukan sampling dilaboratorium 8.2 Radiologi maka dilakukan pemeriksaan di Radiologi 8.3 EKG di Instalasi Medical Check Up i. Bila diperlukan konsultasi ke dokter spesialis lain maka di antarkan ke poliklinik dokter spesialis j. Setelah selesai dilakukan analisa,diagnosis dan dibuat kesimpulan hasil oleh dokter Spseialis Penyakit Dalam k. Hasil medical check up diserahkan kepada peserta dengan tanda terima."
4,Jangka Waktu Pelayanan,Surat Keterangan Sehat 1 jam Medical Check Up maksimal 1 x 24 jam
5,Biaya/Tarif,Mengacu pada: Peraturan Gubernur Lampung nomor 18 Tahun 2023 tentang tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr.H. Abdul Moeloek Provinsi Lampung
6,Produk Layanan,Surat Keterangan Sehat Surat Bebas Narkoba Surat Hasil Medical Chekc Up
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu ruang ADMISI f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana : Ruang dalam Instalasi Medical Check Up, yaitu: a) Area pendaftaran/registrasi b) Area pengukuran Tinggi badan dan berat badan c) Area pemeriksaan fisik d) Area perkantoran/administrasi e) Area ruang dokter dan manajer ruangan Fasilitas: a. Instalasi air bersih, b. instalasi listrik, c. fasilitas komunikasi dan informasi, d. sarana keselamatan dan sarana transportasi e. fasilitas jaringan internet dan SIM RS f. fasilitas peralatan komputer dan perkantoran g. tersedia peralatan yang standar sesuai persyaratan pelayanan"
9,Kompetensi Pelaksana,a. Dokter Spesialis /Dokter gigi Spesialis a) Kualifikasi Pendidikan Dokter Spesialis/Dokter Gigi Spesialis b) Memiliki STR dan SIP c) Memiliki SK sebagai Tim Penguji Kesehatan b. Dokter Umum/Dokter gigi a) Kualifikasi Pendidikan Dokter /Dokter Gigi b) Memiliki STR dan SIP c) Memiliki SK sebagai Tim Penguji Kesehatan c. Perawat/ Bidan a) Kualifikasi Pendidikan minimal DIII Keperawatan/Kebidanan b) Memiliki STR dan SIP c) Memiliki SK sebagai tim Instalasi Medical Check Up d. Tenaga Administrasi /Penunjang a) kualifikasi minimal lulusan SLTA b) Memiliki SK sebagai tim Instalasi Medical Check Up
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,a. Dokter Spesialis 22 orang b. Dokter Gigi Spesialis 3 orang c. Dokter Umum 2 orang d. Dokter Gigi 2 orang e. Perawat 6 orang f. Bidan 1 orang g. Tenaga Administrasi/Penunjang 4 orang
12,Jaminan Pelayanan,"Jaminan Pelayanan sesuai Keputusan Gubernur Lampung Nomor : 400.7.1/ /VII.01/7.2/IV/2024 tentang Jaminan Pelayanan Publik RSUD dr H Abdul Moeloek Provinsi Lampung, diwujudkan dalam bentuk: a. Adanya hotline servis/ pengaduan 24 jam; b. Adanya unit Ruang Solusi dan Informasi di Instalasi Rawat Jalan dan IGD; c. Adanya unit Pelayanan satu atap di Instalasi Rawat Jalan."
13,Jaminan Keamanan dan Keselamatan Pelayanan,Monitoring dan Evaluasi: a. Pemenuhan Standar Pelayanan Minimal (SPM) b. Penilaian Risiko Keselamatan dan Kesehatan Kerja
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja b. Rapat Koordinasi Internal dan Eksternal c. Monev / supervisi harian
