NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; b. Undang-undang Nomor 44 tahun 2009 tentang Rumah Sakit; c. Peraturan Pemerintah No. 7 tahun 2011 tentang Pelayanan Transfusi Darah; d. Peraturan Pemerintah No. 47 tahun 2016 tentang Fasilitas Pelayanan Kesehatan; e. Peraturan Menteri Kesehatan Republik Indonesia Nomor: 83 tahun 2014 tentang UTD, BDRS, Jejaring Pelayanan Transfusi Darah; f. Peraturan Menteri Kesehatan Republik Indonesia Nomor: 91 tahun 2015 tentang Standar Pelayanan Darah; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor: 1691/MENKES/PER/VIII/2011 tentang Keselamatan Pasien Rumah Sakit; h. Peraturan Menteri Kesehatan Republik Indonesia No. 14 Tahun 2021 tentang Standar Kegiatan Usaha Dan Produk Pada Pemyelenggaraan Perizinan Berusaha Berbasis Risiko Sektor Kesehatan; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor: 423 / Menkes /SK / IV / 2007 tentang Kebijakan Peningkatan Kualitas dan Akses Pelayanan Darah; j. Keputusan Menteri Kesehatan Republik Indonesia Nomor:129/MENKES/SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit;"
2,Persyaratan Pelayanan,a. Pasien RSUD Dr. H. Abdul Moeloek yang memerlukan tranfusi darah b. Form permintaan darah yang terisi lengkap dan ditandatangani oleh dokter. c. Sampel darah pasien 2-5 cc dalam tabung EDTA yang telah diberi label identitas pasien. d. Kondisi sampel tidak lisis dan tidak menggumpal e. Identitas yang tertulis dalam form permintaan darahharus sama dengan identitas yang tertulis di tabung EDTA yang berisi sampel pasien.
3,Sistem Mekanisme dan Prosedur,"a. Form permintaan darah di bawa ke UTDRS b. Dilakukan identifikasi terhadap form permintaan darah dan sampel darah c. Dilakukan pemeriksaan golongan darah terhadap sampel darah pasien d. Jika UTDRS tersedia stok darah maka dapat langsung dilakukan pemeriksaan crossmatch antara darah pasien dan darah donor e. Jika UTDRS dan UTD-PMI tidak tersedia stok darah maka keluarga pasien diminta untuk menjadi donor dan dilakukan pemeriksaan meliputi seleksi donor, Aftap, Pengelolaan Komponen dan crossmatch. f. Petugas ruangan/perawat dapat mengambil darah donor dengan menunjukkan tiket pengambilan darah dengan membawa buku expedisi pengambilan darah dan cool box yang telah disediakan di masing-masing ruang rawat inap. g. Sebelum melakukan transfusi darah, petugas jaga/perawat memeriksa kembali identitas label yang ada pada kantong darah dan disamakan dengan formulir permintaan darah pasien. h. Jika tidak ada identitas label ataupun ada keraguan terhadap produk darah maka harus dikembalikan ke UTDRS dalam waktu < 30 menit."
4,Jangka Waktu Pelayanan,a. Pelayanan darah rutin/biasa ± 2 jam b. Pelayanan darah cyto dengan Crossmatch ± 60 menit c. Pelayanan darah cyto tanpa crossmatch ± 10 menit
5,Biaya/Tarif,"Mengacu pada: a. 7.PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PPNomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIPB) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Pelayanan tranfusi darah meliputi : a. Jenis Komponen Darah : a) Whole Blood (WB) b) Packed Red Cell (PRC) c) Fresh Frozen Plasma d) Trombocyte Concentrat (TC) e) Apheresis f) Anti Haemofili Faktor (AHF) g) LD - PRC b. Pemeriksaan Infeksi Menular Lewat Transfusi Darah : a) HIV b) Hepatitis B & Hepatitis C c) Syphilis / VDRL d) Trombocyte Concentrat (TC) c. Uji Imunohematologi : a) Darah Lengkap b) Pemeriksaan Haemoglobin c) Uji golongan darah d) Uji Crossmatch d. Tindakan Phlebotomi
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana : Ruang dalam bangunan UTD terbagi atas beberapa kelompok, yaitu: a. Area penerimaan sampel / loket b. Area pelayanan donor darah c. Area laboratorium d. Area perkantoran/administrasi e. Area penunjang/ gudang logistik Fasilitas: a. Instalasi air bersih, b. instalasi air kotor (termasuk limbah), c. instalasi listrik, d. sistem ventilasi dan pengkondisian udara, e. sistem pencahayaan, f. pengelolaan sampah (termasuk limbah medis), g. fasilitas komunikasi dan informasi, h. sarana keselamatan dan sarana transportasi tersedia peralatan yang standar sesuai kelas kemampuan pelayanan."
9,Kompetensi Pelaksana,a. Dokter Spesialis Patologi Klinik a) Kualifikasi Pendidikan Dokter Spesialis Patologi Klinik b) Memiliki STR dan SIP c) Memiliki sertifikat pelatihan tentang Pelayanan Darah b. Teknisi Pelayanan Darah a) Kualifikasi Pendidikan minimal DIII Teknisi Pelayanan Darah b) Memiliki STR dan SIP c. Ahli Teknologi Laboratorium Medik (ATLM) a) Kualifikasi Pendidikan minimal DIII Teknisi Pelayanan Darah b) Memiliki STR dan SIP c) Memiliki sertifikat pelatihan tentang Pelayanan Darah d. Perawat a) Kualifikasi Pendidikan minimal DIII Keperawatan b) Memiliki STR dan SIP c) Memiliki sertifikat pelatihan tentang Pelayanan Darah d. Tenaga administrasi / penunjang a) Kualifikasi Pendidikan minimal DIII
10,Pengawasan Internal,a. Dewan Pengawas b. Satuan Pengawas Internal Rumah Sakit (SPI) c. Direktur Atasan Langsung
