NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang-Undang Nomor 8 Tahun 1981 tentang Kitab Undang-Undang Hukum Acara Pidana; b. Undang-Undang Nomor 36 Tahun 2009 tentang Kesehatan (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 114, Tambahan Lembaran Negara Republik Indonesia Nomor 5063); c. Undang-Undang Nomor 44 Tahun 2009 tentang Rumah Sakit (Lembaran Negara Republik Indonesia Tahun 2009 Nomor 153, Tambahan Lembaran Negara Republik Indonesia Nomor 5072); d. Undang-Undang Nomor 36 Tahun 2014 tentang Tenaga Kesehatan (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 298); e. Undang-Undang Republik Indonesia Nomor 29 tahun 2004 tentang Praktik Kedokteran (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 307); f. Peraturan Presiden Republik Indonesia Nomor 77 Tahun 2015 tentang Pedoman Organisasi Rumah Sakit; g. Undang-Undang Nomor 10 tahun 1997 tentang Ketenaganukliran; h. Undang-Undang Nomor 32 tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup; i. Peraturan Pemerintah Nomor 63 tahun 2000 tentang Keselamatan dan Kesehatan terhadap Pemanfaatan Radiasi Pengion; j. Peraturan Pemerintah Nomor 64 tahun 2000 tentang Perizinan Pemanfaatan Tenaga Nuklir; k. Peraturan Menteri Kesehatan Republik Indonesia Nomor 24 Tahun 2016 tentang Persyaratan Teknis Bangunan dan Prasarana Rumah Sakit; l. Peraturan Menteri Kesehatan Republik Indonesia Nomor 11 Tahun 2017 tentang Keselamatan Pasien Rumah Sakit; m. Peraturan Menteri Kesehatan Republik Indonesia Nomor 34 Tahun 2017 tentang Akreditasi Rumah Sakit; n. Peraturan Pemerintah Nomor 27 Tahun 2002 tentang Pengelolaan Limbah Radioaktif; o. Peraturan Pemerintah Nomor 33 Tahun 2007 tentang Keselamatan Radiasi Pengion dan Keamanan Sumber Radioaktif; p. Peraturan Pemerintah Nomor 29 Tahun 2008 tentang Perizinan Pemanfaatan Sumber Radiasi Pengion dan Bahan Nuklir; q. Peraturan Menteri Kesehatan Nomor 780 tahun 2008 tentang Penyelenggaraan Pelayanan Radiologi; r. Peraturan Menteri Kesehatan Nomor 14 tahun 2021 tentang Standar Kegiatan Usaha dan Produk pada Penyelenggaraan Perizinan Berusahan Berbasis Risiko Sektor Kesehatan; s. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; t. Keputusan Menteri Kesehatan Republik Indonesia Nomor 772/MENKES/SK/VI/2002 tentang Pedoman Peraturan Internal Rumah Sakit (Hospital Bylaws); u. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; v. Keputusan Menteri Kesehatan Nomor 1427 tahun 2006 tentang Standar Pelayanan Radioterapi di Rumah Sakit; w. Keputusan Menteri Kesehatan Nomor HK.01.07/MENKES/293/2019 tentang Izin Penyelenggaraan Pelayanan Radioterapi Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; x. Peraturan Daerah Provinsi Lampung Nomor 13 Tahun 2009 tentang Pembentukan, Organisasi dan Tatakerja Inspektorat, Badan Perencanaan Pembangunan Daerah dan Lembaga Teknis Daerah Provinsi Lampung sebagaimana telah diubah beberapa kali terakhir dengan Peraturan Daerah Provinsi Lampung Nomor 3 Tahun 2014; y. Peraturan Gubernur Lampung Nomor 40 Tahun 2016 tentang Pola Tata Kelola (Hospital Bylaws) Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; z. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; aa.Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; ä. Keputusan Gubernur Lampung Nomor : G/605/B.V/HK/ 2009 tentang Penetapan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung sebagai Instansi Pemerintah Daerah Provinsi Lampung yang menerapkan Pola Pengelolaan Keuangan Badan Layanan Umum Daerah (PPK-BLUD). cc.Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah; dd. Peraturan Kepala BAPETEN No. 21/KaBAPETEN/XII-02 tahun 2022 tentang Program Jaminan Kualitas Instalasi Radioterapi; ee.Standar Pelayanan Rumah Sakit Perhimpunan Dokter Spesialis Onkologi Radiasi Indonesia tahun 2016 dan Standar Pelayanan Profesi Kolegium Onkologi Radiasi Indonesia 2012."
2,Persyaratan Pelayanan,"a. Pasien masuk ruang Radioterapi melalui poliklinik/IGD/ruang rawat lainnya dengan kasus kanker atau tumor jinak tertentu. b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS Dibutuhkan kartu/rujukan BPJS, KTP/KK, pengantar dari dokter Spesialis Onkologi, hasil Laboratorium PA dan asessmen Pasien untuk penerbitan SJP dan SEP. b) Pasien dengan pembiayaan umum: Kartu Identitas (KTP)."
3,Sistem Mekanisme dan Prosedur,"Radiasi Eksterna: a. Petugas administrasi menerima surat konsultasi dari dokter spesialis/subspesialis onkologi. b. Dilakukan penjadwalan konsultasi awal dengan Dokter Spesialis Onkologi Radiasi. c. Dokter Spesialis Onkologi Radiasi melakukan konsultasi, pemeriksaan fisik, dan pemeriksaan penunjang di poliklinik Gedung Radioterapi untuk menentukan diagnosis, indikasi, tujuan, target, dosis, jumlah fraksi, dan teknik radiasi. d. Jika terdapat indikasi radiasi, pasien akan dijadwalkan untuk tindakan CT Simulator. Jika tidak terdapat indikasi radiasi, pasien akan dirujuk kembali ke dokter spesialis/ subspesialis onkologi yang merujuk e. Pada saat tindakan CT Simulator pasien, ditentukan letak dan area kanker yang menajdi target dan selanjutnya hasil citra CT Simulator dikirim ke Treatment Planning System (TPS) melalui DICOM. f. Di TPS dilakukan kontur target radiasi dan organ at risk oleh Dokter Spesialis Onkologi Radiasi dan kalkulasi dosis oleh Fisikawan Medis untuk menargetkan dosis radiasi yang tinggi pada target radiasi dan serendahrendahnya pada organ at risk. g. Dilakukan evaluasi perencanaan radiasi oleh Dokter Spesialis Onkologi Radiasi dan kelengkapan data radiasi dikirim ke sistem pesawat LINAC h. Sebelum dilakukan penyinaran, dilakukan verifikasi untuk memastikan area yang akan diradaisi tepat. i. Dilakukan radiasi harian dengan Pesawat LINAC. Brakhiterapi Brakhiterapi di RSUD dr. H. Abdul Moeloek dilakukan untuk kasus-kasus keganasan ginekologi (kanker serviks dan kanker endometrium) sesuai indikasi. Mekanisme brakhiterapi di RSUD dr. H. Abdul Moeloek Provinsi Lampung: a. Penjadwalan pasien brakhiterapi. b. Pemeriksaan penunjang yang diperlukan yaitu laboratorium darah dan pemeriksaan rontgen dada terbaru. c. Konsultasi anastesi bila diperlukan. d. Rawat inap di Ruang Kebidanan. e. Pasien dikirim dari ruang kebidanan dengan sebelumnya melakukan persiapan khusus. f. Brakhiterapi dengan pesawat BEBIG Saginova dengan prosedur: g. Prosedur Tindakan Brakhiterapi: a) High Dose Rate (HDR) Intrakaviter lengkap pada kanker serviks. ✓ Dokter Anestesi melakukan tindakan anestesi. ✓ Perawat menyiapkan pasien dalam posisi litotomi. ✓ Dokter operator dan perawat mencuci tangan. ✓ Dokter operator dan perawat memakai jas operasi, sarung tangan steril. ✓ Perawat melakukan desinfeksi area perineal. ✓ Perawat memasang duk steril dan sarung kaki steril. ✓ Perawat membantu operator memakai jas operasi steril dan sarung tangan steril. ✓ Perawat membantu operator memasang kateter urin dan kontras Urografin. ✓ Perawat memberikan spekulum/cocor bebek kepada operator. ✓ Dokter melakukan desinfeksi liang vagina ✓ Perawat memberikan sonde uterus kepada operator. ✓ Dokter mencocokan aplikator sesuai ukuran kedalaman porsio dan luas vagina. ✓ Perawat mendampingi operator melakukan pemasangan aplikator Fletcher lengkap. ✓ Perawat memberikan retraktor rectum dan tampon kepada operator. ✓ Dokter operator memasang retractor rectum dan tampon vagina. ✓ Dokter operator dan radiografer memasang fiksasi aplikator. ✓ Pasien dikembalikan dari posisi litotomi ke posisi supine. ✓ Pasien didorong dengan brankar ke ruang C-Arm dan penyinaran. ✓ Radiografer melakukan foto fluoroskopi dengan C-Arm. ✓ Fisika Medik melakukan Planning / perencanaan brakhiterapi. ✓ Dokter operator melakukan evaluasi dan persetujuan terhadap planning brakhiterapi. ✓ Radiografer melakukan penyinaran terhadap pasien sesuai planning brakhiterapi. ✓ Perawat dan Dokter melakukan pendokumentasian pada rekam medis pasien. ✓ Dokter melakukan pencatatan pada Laporan Tindakan Brakhiterapi. b) High Dose Rate (HDR) Intravagina ovoid dan silinder pada kanker serviks pasca operasi dan kanker endometrium ✓ Perawat memasukkan obat anti nyeri suppositoria pada pasien. ✓ Perawat menyiapkan pasien dalam posisi litotomi. ✓ Dokter operator dan Perawat mencuci tangan. ✓ Dokter operator dan Perawat memakai jas operasi, sarung tangan steril. ✓ Perawat melakukan desinfeksi area perineal. ✓ Perawat memasang duk steril dan sarung kaki steril. ✓ Perawat membantu operator memakai jas operasi steril dan sarung tangan steril. ✓ Membantu operator memasang kateter urin dan kontras Urografin. ✓ Perawat memberikan spekulum/cocor bebek kepada operator. ✓ Dokter melakukan desinfeksi liang vagina. ✓ Perawat mendampingi operator melakukan pemasangan aplikator Ovoid (pada tindakan HDR Intravagina Ovoid) atau aplikator silinder (pada HDR Intravagina Silinder). ✓ Perawat memberikan retraktor rectum dan retraktor tampon kepada operator (pada tindakan HDR Intravagina Ovoid). ✓ Dokter operator memasang retractor rectum dan tampon vagina. ✓ Dokter operator dan radiografer memasang fiksasi aplikator. ✓ Pasien dikembalikan dari posisi litotomi ke posisi supine. ✓ Pasien didorong dengan brankar ke ruang C-Arm dan penyinaran. ✓ Radiografer melakukan foto fluoroskopi dengan C-Arm. ✓ Fisika Medik melakukan Planning / perencanaan brakhiterapi. ✓ Dokter operator melakukan evaluasi dan persetujuan terhadap planning brakhiterapi. ✓ Radiografer melakukan penyinaran terhadap pasien sesuai planning brakhiterapi. ✓ Perawat dan Dokter melakukan pendokumentasian pada rekam medis pasien. ✓ Dokter melakukan pencatatan pada Laporan Tindakan Brakhiterapi. h. Perawatan pasca tindakan a) Perawatan pasca tindakan brakhiterapi dilakukan setelah pasien menjalani penyinaran. Seluruh aplikator diangkat setelah setiap selesai penyinaran karena jarak antara tiap fraksi penyinaran 3 hari sampai 1 minggu. b) Sebelum melakukan pengangkatan aplikator, alat yang diperlukan untuk mengangkat aplikator disiapkan. c) Pada tindakan intrakaviter serviks, pengangkatan aplikator dilakukan dengan cara: buka fiksasi aplikator, kemudian buka kunci-kunci atau skrup, angkat aplikator satu persatu, cabut kateter urine, cabut rectal marker, lalu lakukan vulva hygiene. d) Setelah prosedur pengangkatan aplikator, dilakukan observasi tanda vital dan keluhan klinis. Jika tanda vital baik dan tidak ada keluhan berat, pasien dikembalikan ke Ruang Perawatan Kebidanan. e) Selama perawatan pasca tindakan, dilakukan tindakan keperawatan sebagai berikut: ✓ Memantau keadaan umum dan tandatanda vital pasien ✓ Melakukan observasi perdarahan, nyeri, sesak, dan keluhan pasien lainnya ✓ Melakukan tindakan keperawatan sesuai kebutuhan pasien dan melaporkan kepada dokter jika diperlukan tindakan medis ✓ Pasien dilakukan perawatan dengan lama rawat sesuai tindakan yang dilakukan ✓ Memberikan informasi tentang jadwal tindakan berikutnya serta persiapannya, atau jadwal kontrol ke dokter saat pasien disetujui pulang oleh dokter f) Melakukan perencanaan pasien pulang"
4,Jangka Waktu Pelayanan,"a. Standar waktu pelayanan untuk tindakan CT Simulator tanpa kontras yaitu <45 menit, sementara untuk CT Simulator dengan kontras yaitu <60 menit b. Standar waktu pelayanan untuk tindakan radiasi eksterna adalah <30 menit untuk fraksi pertama radiasi (termasuk verifikasi), dan <20 menit untuk fraksi lain tanpa verifikasi. c. Standar waktu pengerjaan target radiasi pasien setelah tindakan CT Simulator oleh dokter dan perencanaan radiasi oleh fisika medis adalah <7 hari kerja; d. Standar waktu pelayanan untuk tindakan brakhiterapi tiap fraksi, dihitung mulai dari pemasangan aplikator hingga selesai penyinaran: a. Untuk teknik 2 Dimensi adalah <3 jam; b. Untuk teknik 3 Dimensi adalah < 4 jam."
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jamsinan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama (VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,a. Konsultasi oleh Dokter Spesialis Onkologi Radiasi di Poliklinik Gedung Radioterapi. b. CT Simulator tanpa kontras. c. CT Simulator dengan kontras. d. Radiasi Eksterna. e. Brakhiterapi.
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruangan terdiri dari 2 lantai a) Lantai 1, terdiri dari ✓ Ruang tunggu pasien radioterapi. ✓ Ruang administrasi. ✓ Ruang CT Simulator (Nurse Station, ruang ganti, ruang operator, ruang pemeriksaan CT Simulator). ✓ Ruang Linac (Nurse station, Ruang Operator Linac dan Bunker Linac, ruang tunggu pasien linac) ✓ Ruang Brakhiterapi (Nurse station, ruang pasang aplikator, Bunker Brakhi, ruang Operator dan TPS Brakhi, ruang pemulihan, ruang lepas aplikator). ✓ Ruang UPS Brakhi dan UPS CT Simulator. Ruang Sekretariat/Karu. ✓ Ruang Janitor ✓ Ruang Pantry ✓ Ruang Mould Room ✓ Gudang b) Lantai 2, terdiri dari ✓ Ruang Tunggu Pasien Poli Radioterapi. ✓ Nurse Station Poli Radioterapi. ✓ Ruang Poli 1 dan Ruang Poli 2. ✓ Ruang TPS. ✓ Ruang Aula Radioterapi ✓ Ruang Dokter ✓ Ruang Teknik b. Alat Kesehatan dan Medis Penunjang a) USG 1 unit b) Shyringe pump 1 unit c) Monitor pasien unit d) Tensimeter 2 unit e) Termometer 2 unit f) Bed electric 1 unit g) Bed pasien 2 unit h) Kursi Roda 7 unit i) Brankar elektronik 1 unit j) Brankar pasien 1 unit k) Timbangan 2 unit c. Obat-obatan untuk kegawatan radioterapi d. Ruang tunggu: kursi, tempat sampah & WC"
9,Kompetensi Pelaksana,a. Dokter spesialis Onkologi Radiasi memiliki STR dan SIP. b. Radiografer / RTT memiliki STR dan SIP. c. Fisikawan Medis memiliki STR. d. Perawat Radioterapi memiliki STR dan SIP. e. Petugas Proteksi Radiasi Medik Tingkat I. f. Petugas Keamanan Sumber Radiasi. g. Petugas mould room / kamar cetak. h. Petugas administrasi. i. Petugas Keamanan.
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
