NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Peraturan Pemerintah Nomor 32 Tahun 1996 Tentang Tenaga Kesehatan . b. Peraturan Menteri Kesehatan Nomor 26 Tahun 2013 Tentang Penyelenggaraan Pekerjaan Dan Praktik Tenaga Kerja c. Peraturan Menteri Kesehatan Republik Indonesia Nomor 78 Tahun 2013 Tentang Pedoman Pelayanan Gizi Rumah Sakit. d. Peraturan Menteri Kesehatan Republik indonesia Nomor 1096/MENKES/PER/VI/2011 Tentang Higiene Sanitasi Jasa Boga
2,Persyaratan Pelayanan,"a. Penyelenggaraan makanan dilakukan kepada pasien yangmenjalani rawat inap dan pegawai tertentu di RSUD Dr. H. Abdul Moeloek. b. Asuhan Gizi pasien rawat inap dilakukan kepada pasien yang menjalani rawat inap di RSUD Dr.H. Abdul Moeloek, dengan hasil skor skrining gizi >2 atau kondisi khusus. c. Konseling gizi bagi pasien rawat jalan: a) Pasien rawat jalan yang membawa surat rujukan dari dokter di poli untuk konsultasi gizi di poliklinik gizi b) Pasien rujukan dari dokter luar rumah sakit yang mendaftar dibagian pendaftaran rawat jalan danlangsung ke klinik gizi."
3,Sistem Mekanisme dan Prosedur,"a. Permintaan makanan pasien Setiap jadwal makan petugas ruangan rawat inap menginput permintaan makanan pasien dikomputer biling sesuai dengan catatan dan rekam medis atau buku laporan perawat. Dalam daftar permintaan makan pasien berisi nama pasien, umur, kelas perawatan, jenis makanan (NB,BB,cair dan diet khusus). Jam penginputan permintaan makan pasien dibuka SIMRS mulai pukul 04.00 wib sd pukul 17.00 wib. Jadwal penginputan permintaan : ✓ Makan pagi : pukul 06.00 wib ✓ Makan siang : pukul 11.00 wib ✓ Makan malam : pukul 15.00 wib Sebelum dilakukan penginputan setiap jadwal makan diruang rawat inap harus membatalkan inputan sebelumnya dan penghapusan riwayat label diet/kitir oleh pihak instalasi ✓ Daftar permintaan makanan pasien diprint 3 x sesuai jadwal makan dan diserahkan ke pekarya ruangan untuk mendapatkan pelayanan makan ✓ Permintaan makan pasien diprint 2 rangkap setiap penampilan makan yaitu instalasi gizi dan untuk ruangan rawat inap sebagai arsip. ✓ rawat inap sebagai arsip. b. Permintaan makan pegawai Petugas ruangan membawa amprah permintaan makan/bahan makanan pegawai sesuai dengan kebutuhan. Daftar dinas atau form permintaan bahan makanan. Amprah dari ruangan di verifikasi oleh petugas gudang (pengeluaran bahan makanan pegawai) Petugas gudang melakukan pancatatan dan pelaporan sesuai dengan pengeluaran."
4,Jangka Waktu Pelayanan,"a. Penyelenggaraan makanan terbagi dalam 3 waktu penyajianmakanan utama dan 2 kali penyajian snack, yaitu: Jam distribusi makan di Instalasi gizi : a) Makan Pagi : 06.00 s/d 07.30 WIB Snack Pagi : 09.00 s/d 10.00 WIB b) Makan Siang : 11.00 s/d 12.00 WIB Snack Sore : 15.00 s/d 16.00 WIB c) Makan Malam : 16.30 s/d 18.00 WIB b. Asuhan gizi bagi pasien rawat inap dilaksanakan daripukul 09.00 WIB – 14.00 WIB c. Konseling gizi bagi pasien rawat jalan dilaksanakan dari pukul 09.00 WIB – 14.00 WIB"
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PPNomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif PelayananKesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIPB) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,a. Penyelenggaraan makanan pasien rawat inap dan pegawai b. Asuhan gizi rawat inap c. Konseling gizi rawat jalan
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Pelayanan makanan a) Sarana : ✓ Ruang kepala Instalasi Gizi ✓ Ruang kepala Ruangan Instalasi Gizi ✓ Ruang sekretariat + kamar mandi ✓ Gudang bahan makanan kering ✓ Ruang ahli gizi ✓ Ruang mushola ✓ Ruang ganti baju pria / ruang istirahat Dinas Malam ✓ Ruang janitor/cemical ✓ Ruang piket ahli gizi ✓ Ruang aula/mahasiswa PKL + ruang makan ✓ Gudang alat ✓ Tempat loker pegawai ✓ Ruang ganti baju wanita ✓ Ruang APD ✓ Ruang penerima barang ✓ Ruang persiapan sayur, lauk, dan bumbu ✓ Kamar mandi ( 2 ruangan ) ✓ Ruang penyimpanan arsip, dll ✓ Ruang penyimpanan bahan makanan basah ✓ Ruang penyimpanan bahan makanan kering subuh ✓ Ruang persiapan snack dan buah ✓ Dapur produksi makanan biasa dan makanan diet ✓ Dapur susu ✓ Ruang distribusi makanan b) Prasarana : ✓ Peralatan kantor : Inventaris kantor : komputer, printer, kalkulator, almari buku dan meubeler, meja, kursi,AC ✓ Peralatan Pengolahan/Produksi Makanan Terdiri dari: ketel uap, rice cooker susun 3, boiling pan, kompor besar (stove pot), kompor gas, timbangan, kulkas, chiller, freezer, rak penyimpanan barang, gas elpiji, panci, wajan, meja distribusi makanan, ban marrie, blender, gilingan daging dan alat keperluan mengolah makanan lainnya. Pelayanan Gizi Rawat Inap a) Alat ukur tinggi badan dan berat badan b) Alat ukur lingkar lengan atas c) Skinfold d) Pita ukur lingkar pinggang Pelayanan Gizi Rawat Jalan Sarana : Ruang konseling gizi Prasarana : ✓ Meja ✓ Kursi ✓ AC Split ✓ Alat ukur tinggi badan dan berat badan ✓ Alat ukur lingkar lengan atas ✓ Food model ✓ Lemari kaca (untuk Food sample) ✓ Wastafel"
9,Kompetensi Pelaksana,a. Tenaga Dokter Gizi b. Tenaga Dietisien a) Registered Dietisien (RD) dengan kualifikasi ✓ minimal pendidikan DIV / S1 Gizi /S1 Kesehatan ✓ Teknikal Registered Dietisien (TRD) dengan kualifikasi minimal pendidikan DIII Gizi. ✓ Semua Tenaga Dietisien telah mengikuti pelatihan : a. Food Service b. NCP (nutrition care process) basic dan advance c. HACCP d. Hygine dan Sanitasi Makanan e. PIN dietetic update f. Nutrition and dietetic update b) Tenaga Administrasi dengan kualifikasi ✓ Minimal Pendidikan SMA/SMEA ✓ Tenaga Produksi makanan dengan kualifikasi pendidikan SD/SMP/SMA/SMKK Tataboga
10,Pengawasan Internal,"Kepala Instalasi Gizi dan Kepala Ruangan Instalasi gizi melakukan pengawasan secara periodik melalui rapat evaluasi, yaitu : Rapat Insidental Tujuan : koordinasi untuk penyelesaian masalah yang berkaitan dengan instalasi gizi di rumah sakit dan membutuhkan penyelesaian segera. Waktu Pelaksanaan : sewaktu-waktu Pertemuan Rutin Ahli Gizi a) Tujuan : koordinasi untuk penyelesaian masalah gizi yang ada di bagian rawat inap dan produksi b) Waktu pelaksanaan : 1 minggu sekali Rapat Bulanan Tujuan : a) Evaluasi kinerja staf selama 1 bulan dalam melaksanakan program-program instalasi gizi b) Evaluasi hasil pelaksanaan kegiatan instalasi gizi yang terjadi 1 bulan Waktu Pelaksanaan : setiap akhir bulan"
