NO,KOMPONEN,URAIAN
1,Dasar Hukum,Direktorat Jenderal Pelayanan Medik Depkes RI tahun 2004 tentang Standar Kamar Jenazah.
2,Persyaratan Pelayanan,a. Layanan 24 jam; b. Ada Petugas Pelaksana Kamar Jenazah; c. Ada petugas Memandikan jenazah; d. Ada Permohonan dari keluarga.
3,Sistem Mekanisme dan Prosedur,a. Ada SPO tentang Pemulasaran Jenazah; b. Ada alur pelayanan pemulasaran jenazah: a) Jenazah diantar oleh Petugas dari ruangan; b) Serah terima Jenazah; c) Registrasi dilakukan oleh petugas kamar jenazah; d) Keluarga membuat permohonan untuk dilakukan pemulasaraan jenazah; e) Pemulasaran Jenazah; f) Fasilitasi penggunaan mobil jenazah RSUD Dr. H. Abdul Moeloek jika diperlukan.
4,Jangka Waktu Pelayanan,a. Respon time pelayanan < 30 menit. b. Waktu Pelayanan 2 jam.
5,Biaya/Tarif,a. Tarif berdasarkan Pergub No. 6 tahun 2019. b. Administrasi diselesaikan di kasir pembayaran.
6,Produk Layanan,Pemulasaran Jenazah
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. PengaduanLangsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"a. Ruang tindakan pemulasaraan jenazah; b. Meja tindakan pemulasaraan jenazah; c. Air Mengalir dan sabun; d. APD (sarung tangan, masker, apron); e. Kain kafan dan perlengkapannya; f. Pakaian jenazah sesuai kebutuhan."
9,Kompetensi Pelaksana,Petugas Pelaksana Kamar Jenazah 2. Petugas memandikan jenazah.
10,Pengawasan Internal,a. Pimpinan Rumah Sakit; b. Atasan langsung.
11,Jumlah Pelaksana,a. Petugas Pelaksana Kamar Jenazah 1 orang; b. Petugas memandikan jenazah 1 orang.
12,Jaminan Pelayanan,a. Pelayanan diberikan dengan mengutamakan upaya peningkatan mutu dan keselamatan pasien; b. Pelayanan Pasien diberikan sesuai dengan standar akreditasi Rumah Sakit; c. Tercapainya hasil pemulasaran jenazah dengan lancar.
13,Jaminan Keamanan dan Keselamatan Pelayanan,RSUD Dr. H. Abdul Moeloek Provinsi Lampung telah menjadi : a. Rumah Sakit Kelas A; b. Rumah Sakit Pendidikan; c. Rumah Sakit Rujukan Tertinggi di Provinsi Lampung.
14,Evaluasi Kinerja Pelayanan,Evaluasi dilakukan dengan mengikuti rapat-rapat koordinasi dan melaksanakan rapat instalasi.
