NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan ; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit l. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; m. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; n. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; o. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Penggunaan Ambulance a) Petugas rawat inap menghubungi Instalasi Ambulance bahwa ada pasien rujuk b) Kelengkapan persyaratan administrasi: ✓ Rujukan BPJS Dibutuhkan FC kartu BPJS, FC KTP/KK,Elegebilitas BPJS untuk Rawat inap,Rujukan Dari dokter RSAM ✓ Rujukan Umum Dibutuhkan Kwitansi Pembayaran Ambulance b. Penggunaan Mobil Jenazah a) Petugas Kamar Jenazah dan Forensik mengubungi Instalasi Ambulance dan mobil Jenazah jika ada jenazah b) Kelengkapan persyaratan administrasi FC kartu BPJS, FC KK/KTP, Elegebilitas BPJS,SEP rawat Inap"
3,Sistem Mekanisme dan Prosedur,"a. Keluarga pasien/jenazah mengantar berkas dari ruang rawat inap b. Memeriksa kelengkapan berkas c. Membuat Surat Perintah Jalan (SPJ)Untuk Mengantar Pasien/jenazah d. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll e. Menjelaskan tarif Ambulance dan Mobil Jenazah kepada pasien dan keluarganya yang memerlukan f. Penyelesaian Administrasi/pembayaran di kasir (khasus pasien umum) dan pasien BPJS dan Kesda cukup di administrasi Instalasi Ambulance dan Mobil Jenazah g. Pasien Keluar Rumah Sakit (meninggal/pulang/dirujuk)"
4,Jangka Waktu Pelayanan,< 30 menit
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung g. Lampiran Keputusan Direktur Nomor : 180/24/VII.01/7.2/VII/2023 tanggal 25 September tentang Perubahan Traif Ambulance dan Mobil Jenazah"
6,Produk Layanan,Pelayanan Ambulance dan Mobil Jenazah
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang administrasi b. Ambulance c. Mobil Jenazah d. Alat Kesehatan - Oksigen
9,Kompetensi Pelaksana,a. Driver sudah mendapat Pelatihan AGD 119 DINKES DKI JAKARTA (Sertifikat) b. Tenaga Administrasi
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,a. Driver : 14 orang b. Petugas Administrasi : 6 orang
12,Jaminan Pelayanan,Pelayanan diberikan dengan mengutamakan mutu dan keselamatan pasien/Jenazah yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung
13,Jaminan Keamanan dan Keselamatan Pelayanan,"a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi, d. Tersedia Kontak Service berkala kendaraan"
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja / SKP b. Rapat Koordinasi Internal dan Eksternal c. Evaluasi Standar Pelayanan Minimal
