NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang-Undang Nomor 40 Tahun 2009 tentang Rumah Sakit (Tambahan Lembaran Negara Republik Indonesia Nomor 5072); b. Undang-Undang Nomor 36 Tahun 2009 tentang Kesehatan (Tambahan Negara Republik Indonesia Nomor 5063); c. Undang-Undang Nomor 43 Tahun 2009 tentang Kearsipan (Lembaga Negara Republik Indonesia Tahun 2009 Nomor 152, Tambahan Lembaran Negara Republik Indonesia Nomor 5071); d. Undang-Undang Nomor 23 Tahun 1992 tentang Kesehatan (Lembaran Negara Republik Indonesia Tahun 1992 Nomor 100; Tambahan Lembaran Negara Republik Indonesia Nomor 3495); e. Undang-Undang Nomor 29 Tahun 2004 tentang Praktik Kedokteran (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 116; Tambahan Lembaran Negara Republik Indonesia Nomor 4431); f. Peraturan Pemerintah Nomor 28 Tahun 2012 tentang Pelaksanaan Undang-Undang Nomor 43 Tahun 2009 tentang Kearsipan (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 53, Tambahan Lembaran Negara Republik Indonesia Nomor 5286); g. Permenkes Nomor 269/Menkes/PER/III/2008 tentang Rekam Medis. h. Peraturan Pemerintah Nomor.10 Tahun 1966 tentang Wajib Simpan Rahasia Kedokteran. i. Peraturan Menteri Kesehatan RI Nomor 290/Menkes/PER/III/2008 tentang Persetujuan Tindakan Kedokteran j. Keputusan Menteri Kesehatan Nomor. 337/Menkes/SK/III/2007 tentang Profesi Rekam Medis dan Informasi Kesehatan k. Peraturan Menteri Kesehatan Republik Indonesia Nomor 24 Tahun 2022 tentang Rekam Medis."
2,Persyaratan Pelayanan,"a. Berkas rekam medis pasien pulang yang telah lengkap dan layak koding b. Diagnosa dan tindakan yang terbaca jelas c. Bukti penunjang penegakan diagnosis seperti hasil Laboratorium, radiologi, dan lain lain d. Bukti Operasi bila dilakukan,, blanko trasfusi, batch obat, protokol kemotherapi,protokol ventilator,surat kematian,surat kronologi, serta mengupload pemeriksaan dari luar RSUDAM, dll"
3,Sistem Mekanisme dan Prosedur,"a. Berkas yang telah lengkap dan layak koding diterima dari bagian penerimaan berkas. b. Berkas diverifikasi oleh verifikator internal. c. Berkas ditelaah resume medisnya, dilihat diagnosa utama, sekunder dan tindakannya kemudian di koding sesuai dengan ICD-10 dan ICD 9CM"
4,Jangka Waktu Pelayanan,2 menit untuk 1 berkas rawat jalan 10 menit untuk 1 berkas rawat inap
5,Biaya/Tarif,-
6,Produk Layanan,"Koding Berkas Rekam Medis Rawat Jalan seluruh Poliklinik dan IGD, Koding Berkas Rekam Medis Rawat Inap seluruh ruang perawatan rawat inap"
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Bagian Rekam Medis RSUD dr. H. Abdul Moeloek Provinsi Lampung f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Buku ICD-10 dan ICD 9CM b. Jaringan internet c. Kamus kedokteran dan ilmu penyakit d. Ruang koding berkas rekam medis e. Komputer untuk entry data f. Alat Tulis Kantor g. Buku Ekspedisi h. Meja setengah biro beserta kursinya i. AC j. Kotak Obat k. Tempat sampah dan WC l. Dokumen Rekam Medik (Rawat Inap)/E-MR
9,Kompetensi Pelaksana,"Perekam Medis yang memiliki STR, SIP dan sertifikat pelatihan rekam medis"
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,Perekam Medis dan Informasi Kesehatan 5 orang
12,Jaminan Pelayanan,Kode diagnosa dan tindakan yang tepat dan akurat akan memudahkan memudahkan proses klaim biaya ke BPJS. mutu dan keselamatan pasien yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung
13,Jaminan Keamanan dan Keselamatan Pelayanan,a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja / SKP b. Rapat Koordinasi Internal dan Eksternal c. Monev / supervisi harian d. Audit rekam medis e. Evaluasi Standar Pelayanan Minimal
