NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang-Undang Nomor 40 Tahun 2009 tentang Rumah Sakit (Tambahan Lembaran Negara Republik Indonesia Nomor 5072); b. Undang-Undang Nomor 36 Tahun 2009 tentang Kesehatan (Tambahan Negara Republik Indonesia Nomor 5063); c. Undang-Undang Nomor 43 Tahun 2009 tentang Kearsipan (Lembaga Negara Republik Indonesia Tahun 2009 Nomor 152, Tambahan Lembaran Negara Republik Indonesia Nomor 5071); d. Undang-Undang Nomor 23 Tahun 1992 tentang Kesehatan (Lembaran Negara Republik Indonesia Tahun 1992 Nomor 100; Tambahan Lembaran Negara Republik Indonesia Nomor 3495); e. Undang-Undang Nomor 29 Tahun 2004 tentang Praktik Kedokteran (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 116; Tambahan Lembaran Negara Republik Indonesia Nomor 4431); f. Peraturan Pemerintah Nomor 28 Tahun 2012 tentang Pelaksanaan Undang-Undang Nomor 43 Tahun 2009 tentang Kearsipan (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 53, Tambahan Lembaran Negara Republik Indonesia Nomor 5286); g. Permenkes Nomor 269/Menkes/PER/III/2008 tentang Rekam Medis. h. Peraturan Pemerintah Nomor.10 Tahun 1966 tentang Wajib Simpan Rahasia Kedokteran. i. Peraturan Menteri Kesehatan RI Nomor 290/Menkes/PER/III/2008 tentang Persetujuan Tindakan Kedokteran j. Keputusan Menteri Kesehatan Nomor. 337/Menkes/SK/III/2007 tentang Profesi Rekam Medis dan Informasi Kesehatan k. Peraturan Menteri Kesehatan Republik Indonesia Nomor 24 Tahun 2022 tentang Rekam Medis."
2,Persyaratan Pelayanan,"a. Berkas rekam medis rawat inap dikembalikan ke Ruang Rekam Medis dalam jangka waktu 2 x 24 jam b. Berkas rekam medis rawat jalan dikembalikan ke Ruang Rekam Medis dalam jangka waktu 1 x 24 jam Dalam Kondisi Lengkap resume, penunjang medis, laporan operasi,blanko trasfusi, batch obat, protokol kemotherapi,protokol ventilator,surat kematian,surat kronologi, serta mengupload pemeriksaan dari luar RSUDAM, dll"
3,Sistem Mekanisme dan Prosedur,"Berkas Rekam Medis Rawat Inap : a. Berkas rekam medis yang disetor ke rekam medis akan ditulis dibuku register b. Berkas yang sudah ditulis kemudian di cek kelengkapannya c. Berkas rekam medis yang tidak lengkap akan dikembalikan ke ruangan untuk perbaikan, sedangkan berkas rekam medis yang lengkap akan diteruskan ke bagian coding d. Setelah berkas selesai dicoding kemudian diteruskan ke bagian assembling untuk dirakit sesuai dengan SOP. Berkas Rekam Medis Rawat Jalan : a. Berkas rekam medis yang disetor ke rekam medis akan dihitung jumlahnya dan disesuaikan dengan buku ekspedisi dari poliklinik b. Kemudian berkas diteruskan ke bagian coding Setelah berkas selesai dicoding, di cek kembali kelengkapannya, apabila ada berkas yang tidak lengkap maka akan dikembalikan ke poliklinik, sedangkan berkas rekam medis yang lengkap akan diinput dikomputer dan diteruskan ke bagian filing "
4,Jangka Waktu Pelayanan,"Dalam jangka waktu 1 x 24 jam/berka, Maksimal tanggal 10 bulan berikutnya untuk keseluruhan"
5,Biaya/Tarif,-
6,Produk Layanan,a. Berkas Rekam Medis lengkap b. Berkas Rekam Medis tidak lengkap c. Laporan Keterlambatan d. Laporan Register berkas Rawat Inap per bulan
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Bagian Rekam Medis RSUD dr. H. Abdul Moeloek Provinsi Lampung f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang Penerimaan dan Perakitan Berkas Rekam Medis b. Komputer untuk entry data c. Alat Tulis Kantor d. Pembolong Kertas e. Streples f. Buku Ekspedisi g. Meja setengah biro beserta kursinya h. AC i. Kotak Obat j. Tempat sampah dan WC k. Dokumen Rekam Medik (Rawat Inap)/E-MR
9,Kompetensi Pelaksana,"a. Perekam Medis yang memiliki STR, SIP dan sertifikat pelatihan rekam medis b. Petugas penerima berkas dan assembling yang berasal dari pengadministrasi umum yang telah di bekali pelatihan rekam medis dasar dan sudah di sumpah menjaga kerahasiaan catatan medis pasien."
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,a. Perekam Medis dan Informasi Kesehatan 1 orang b. Petugas Administrasi : 8 orang
12,Jaminan Pelayanan,"Kelengkapan berkas rekam medis pasien Analisa kuantitatif dilakukan dengan mengutamakan kelengkapan berkas, sehingga informasi yang dihasilkan bisa tepat dan akurat. berkas rekam medis yang lengkap, akan memudahkan proses koding sehingga memudahkan klaim biaya ke BPJS. mutu dan keselamatan pasien yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung"
13,Jaminan Keamanan dan Keselamatan Pelayanan,a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja / SKP b. Rapat Koordinasi Internal dan Eksternal c. Monev / supervisi harian d. Audit rekam medis e. Evaluasi Standar Pelayanan Minimal
