NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah; q. PMK no.24 Tahun 2022 Tentang Rekam Medis Elektronik
2,Persyaratan Pelayanan,a. Tracer Elektronik Pasien b. Berkas Rekam Medis Pasien
3,Sistem Mekanisme dan Prosedur,a. Petugas Penyimpanan mengambil print out tracer pendaftaran pasien rawat jalan pada mesin tracer b. Petugas mengecek no RM pasien pada SIMRS c. Petugas akan mengambil berkas RM lama pada loker penyimpanan sesuai dengan no RM dan meletakkan tracer sebagai pengganti berkas RM yang keluar d. Patugas akan menceklist berkas RM yang keluar pada SIMRS e. Petugas akan mendistribusikan berkas RM sesuai dengan poli tujuan
4,Jangka Waktu Pelayanan,a. Pengambilan berkas RM 15 - 30 menit b. Pendistribusian berkas RM 15 - 30 menit
5,Biaya/Tarif,-
6,Produk Layanan,Berkas Rekam Medis
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Bagian Rekam Medis RSUD dr. H. Abdul Moeloek Provinsi Lampung f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang Penyimpanan RM b. Perangkat Komputer c. SIMRS d. Jaringan Internet e. Printer Tracer f. Berkas Rekam Medis g. ATK
9,Kompetensi Pelaksana,a. Tenaga Perekam Medis b. Tenaga Administrasi Umum c. Tenaga Kebersihan
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,a. Petugas perekam Medis dan Informasi Kesehatan 1 orang b. Petugas Pengambilan Berkas RM 4 orang c. Petugas Pendistribusian Berkas RM 2 orang d. TKS 3 orang e. Petugas Kebersihan 1 orang
12,Jaminan Pelayanan,"Berkas Rekam Medis tersimpan dengan Baik, aman, dan ketika dibutuhkan kembali dapat ditemukan dengan mudah. Pelayanan diberikan dengan mengutamakan mutu dan keselamatan pasien yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung"
13,Jaminan Keamanan dan Keselamatan Pelayanan,"a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi, ram dan tangga darurat"
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja / SKP b. Rapat Koordinasi Internal dan Eksternal c. Monev / supervisi harian d. Audit Rekam Medis e. Evaluasi Standar Pelayanan Minimal
