NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah; 
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap Onkologi Terpadu melalui IGD/Poliklinik/ruang rawat lainnya dengan kasus Onkologi Terpadu b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS Dibutuhkan kartu BPJS, KTP/KK, pengantar dari Poliklinik Onkologi Terpadu dan penerbitan SJP dan SEP b) Pasien peserta Jamkesda Dibutuhkan kartu KTP dan KK Bandar Lampung, dan surat keterangan dirawat untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP) "
3,Sistem Mekanisme dan Prosedur,"a. Menerima surat pengantar dirawat dari poliklinik / ruang rawat lain yang dibawa oleh petugas /atau pasien / keluarga pasien b. Melakukan wawancara untuk menentukan kelas ruang perawatan c. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll d. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan e. Pasien rujukan di poli klinik atau ruangan rawatan dilakukan pemeriksaan penunjang dan tindakan di Poliklinik Onkologi Terpadu. Setelah mendapat advis dari DPJP, pasien di transfer keruang ruang perawatan tergantung kondisi pasien a) Penanganan / tindakan dilakukan di Poliklinik/Ruangan. Setelah itu pasien dipindahkan keruang perawatan sesuai kelas b) Penaganan / tindakan dilakukan di ruang perawatan untuk pasien perawatan f. Penyelesaian administrasi / pembayaran di kasir ( khasus pasien umum) dan pasien asuransi (BPJS/Kesda/Dinas Sosial) cukup di administrasi ruangan. g. Pasien Keluar Rumah Sakit"
4,Jangka Waktu Pelayanan,Ruang Perawatan Penyakit tertentu: lama perawatan ditentukan oleh Clinical Pathway
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Onkologi Terpadu
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruangan terdiri dari 3 lantai a) Lantai 1 untuk ruang rawat kemoterapi kapasitas 12 TT dan ruang administrasi pasien yaitu ✓ Ruang perawatan kelas I (9 TT) ✓ Ruang perawatan kelas II (6 TT) ✓ Ruang perawatan kelas III (4 TT) ✓ Nurse station (1 ruang) ✓ Ruang Kepala Ruang ✓ Ruang Koordinator ✓ Ruang Edukasi ✓ Ruang Aseptis Dispending ✓ Ruang Adimisntrasi ✓ 10.Mushola ✓ 11. Pantri b) Lantai 2 ruang Mata/THT sebagai ruang rawatan pasien yang berkapasitas 12 TT c) Lantai 3 ruang kemoterapi rawat jalan dan untuk ruang Pendidikan yang mneliputi : ✓ Ruang Kepala Staf Medik THT ✓ Ruang Kepala Staf Pendidikan 1 Ruang ✓ Ruang belajar mahasiswa ruang a. Kamar rawat inap ber - Ac semua b. Alat Kesehatan dan Medis Penunjang a) Stetoscope1 buah b) Tensimeter 2 unit c) Termometer 2 unit d) EKG 1 unit e) Bed electric 2 unit f) Bed pasien 12 unit g) Pasien transport 2 unit h) Timbangan Berat Badan i) Ukur Tinggi Badan j) Autoscop k) Sucsion slim l) Set Perawatan luka 2 buah m) Kursi Roda 1 c. Ruang tunggu : kursi, tempat sampah dan WC d. Dokumen Rekam Medik (Rawat Inap)/E-MR"
9,Kompetensi Pelaksana,a. Dokter jaga/spesialis Bedah Onkologi yang memiliki STR dan SIP b. Perawat memiliki STR dan SIP c. Ahli Gizi/ Petugas Laborat/ Petugas administrasi/ Rohaniawan d. Tenaga Pekarya Rumah Tangga
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
