NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Pemerintah Nomor 40 Tahun 1991 tentang PenanggulanganWabah Penyakit Menular; h. Peraturan Presiden No. 67 Tahun 2021 Tentang Penanggulangan Tuberkulosis; i. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; j. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; k. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; l. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; m. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; n. Keputusan Menteri Kesehatan Republik Indonesia Nomor HK 01.07/ MENKES / 1491/2023 tentang Rumah Sakit Jejaring Pengampuan Pelayanan Penyakit Emerging; o. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; p. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; q. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; r. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk Gedung Perawatan Penyakit Infeksi New-Emerging dan Re Emerging (PINERE) melalui IGD/Rawat Jalan/Rawat Inap Non Pinete dengan kasus bergejala penyakit Infeksi Emerging atau yang sudah terdiagnosis Penyakit Infeksi Emerging. b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS ✓ Rujukan Dibutuhkan kartu BPJS, KTP/KK, surat rujukan dari Faskes, untuk penerbitan SJP dan SEP ✓ Bukan berasal dari rujukan Dibutuhkan kartu BPJS, KTP/KK, surat rujukan internal, untuk penerbitan SJP dan SEP b) Pasien peserta Jamkesda ✓ Rujukan Dibutuhkan kartu KTP dan KK Bandar lampung, surat rujukan dari Faskes, surat keterangan dirawat di Paru untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP ✓ Bukan berasal dari rujukan Dibutuhkan kartu KTP dan KK Bandar lampung surat keterangan lahir, surat rujukan internal, surat keterangan dirawat di Paru untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP) dan menandatangani pernyataan rawat inap yang menyatakan sebagai pasien umum"
3,Sistem Mekanisme dan Prosedur,"a. Pasien bergejala Penyakit Infeksi Emerging (PIE) a) Pasien dengan keluhan sesuai dengan sindrom (sindrom pernafasan akut berat, sindrom lumpuh layuh akut, sindrom kuning akut dengan demam, sindrom demam berdarah virus, sindrom ensefalitis akut, sindrom ruam akut) datang sendiri diterima oleh petugas IGD Pasien segera ditempatkan di Ruang Isolasi IGD. b) Dokter jaga IGD melaukan pengkajian kondisi gawat darurat dan tatalaksana kegawatan, menilai keadaan umum pasien sesuai dengan kriteria gejala masing-masing kasus sindrom PIE. c) Dokter Jaga IGD kemudian melaporkan ke Dokter Penanggung Jawab PINERE dan mengirimkan pasien terduga PIE ke ruang PINERE setelah mendapat jawaban untuk tatalaksana selanjutnya, d) Dokter Jaga IGD segera memberi instruksi masuk rawat sesuai dengan tingkat keparahan penyakit (ruang rawat biasa, high care, atau intensive care) di ruang PINERE sesuai dengan ketersediaan ruangan saat itu. e) Petugas IGD menghubungi perawat jaga Gedung Perawatan PINERE dan untuk mempersiapkan ruangan dan penerimaan pasien. f) Pasien yang akan dirawat di PINERE dapat langsung diantar oleh petugas IGD dengan menggunakan ambulance dan petugas memakai alat pelindung diri (APD) yang sesuai dengan rekomendasi penggunaan APD. b. Pasien yang terdiagnosis PIE dari ruang rawat inap non PINERE. a) Pasien dengan gejala sindrom PIE yang sedang dirawat di bangsal non PINERE dilakukan pemeriksaan dan penegakan diagnosis PIE. b) DPJP atau Perawat menghubung perawati Ruang PINERE untuk mendiskusikan pemindahan pasien ke ruang isolasi PINERE selama menunggu tegaknya diagnosis PIE. c) Selama menunggu pemindahan ke ruang PINERE, pasien dipisahkan dari pasien lain di ruang perawatan non PINERE d) Dokter, Perawat, nakes lain, dan petugas non medis wajib melindungi diri dengan menggunakan APD yang sesuai dengan rekomendasi setiap kali memberikan pelayanan medis kepada pasien terduga PIE. e) Pasien segera dipindahkan ke ruang PINERE yang sesuai dengan kebutuhan medis pasien setelah ruangan tersedia dan siap merawat pasien PIE. f) Pemindahan pasien dilakukan menggunakan alat transport pasien yang sesuai (kursi roda, brankar, atau ambulans) dan petugas yang mengirim wajib melindungi diri dengan menggunakan APD yang sesuai dengan rekomendasi c. Untuk administrasi, jika pasien berasal dari IGD, maka diperiksa general consent dari admisi IGD tentang jenis jaminan bayar, d. Melakukan wawancara untuk menentukan jaminan perawatan, e. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll, f. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan, g. Jika pasien berasal dari ruang rawat inap, maka pembiayaan disesuaikan dengan kelas rawat inap sebelumnya. h. Asuhan medis dan keperawatan selama perawatan i. Penyelesaian Administrasi/pembayaran di kasir (khusus pasien umum) dan pasien asuransi (BPJS/Kesda/Dinas Sosial) cukup di bagian administrasi ruangan, j. Pasien Keluar Rumah Sakit meninggal/ pulang/dirujuk"
4,Jangka Waktu Pelayanan,Disesuaikan dengan kondisi pasien
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Pelayanan Rawat Inap Penyakit Infeksi New Emerging dan Re Emerging (PINERE)
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Admission f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang Triase b. Ruang Observasi c. Ruang HCU bertekanan negatif d. Kamar Rawat kelas khusus e. Kamar rawat kelas VIP f. CCTV di beberapa titik. g. Alat- alat kesehatan: ✓ Bed Side Monitor di ruang HCU dan Observasi ✓ Ventilator ✓ HFNC (High Flow Nasal Canul)) ✓ Infus Pump ✓ Syringe Pump ✓ Nebulizer ✓ Suction ✓ EKG ✓ DC Shock h. Alat dan Obat-obatan untuk kegawatdaruratan sesuai kebutuhan dalam troly emergensi i. Ruang Nurse Station j. Gudang Alat Kesehatan dan Medis Penunjang k. Dokumen Rekam Medik (Rawat Inap)/E-MR
9,Kompetensi Pelaksana,"a. Dokter Penanggung Jawab /Koordinator Pelayanan adalah dokter spesialis Penyakit Dalam yang memiliki STR, SIP dan memiliki setifikat sesuai kompetensinya masingmasing b. Perawat dengan sertifikasi Pelatihan Penyakit Infeksi emerging dan PPI dasar. c. Perawat/Bidan dengan sertifikasi BTCLS d. Ahli Gizi/ Petugas Radiologi/ Petugas Laborat/ Petugas administrasi e. Tenaga Pekarya Rumah Tangga"
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
