NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,a. Surat permohonan Studi Banding b. Surat Tugas dari Instansi peserta
3,Sistem Mekanisme dan Prosedur,"a. Institusi memasukkan surat permohonan untuk studi banding ke Tata usaha dan disposisi ke Wakil Direktur Pengembangan SDM dan Hukum ditujukan ke Instalasi Diklat b. Ka. Instalasi Diklat ( Koordinator ) mengkoordinasikan kebagian yang akan dituju untuk menentukan kesiapan Narasumber, waktu dan ruangan studi banding c. Setelah koordinasi kebagian bersedia siap menerima maka, Staf Diklat membuat surat balasan ke Institusi (disetujui untuk dilaksanakan studi banding ). d. Setelah melaksanakan Studi Banding, peserta Studi Banding mendapatkan materi atau data yang diperlukan dengan menyelesaikan kewajiban pembayaran sudah ditentukan melalui pergub Tarif RSUDAM, pembayaran dapat dilakukan sebelum atau sesudah pelaksanaan Studi Banding."
4,Jangka Waktu Pelayanan,Jadwal Pelaksanaan kegiatan studi banding pada hari Rabu minggu ke 2 (dua) dan minggu ke 4 (Empat).
5,Biaya/Tarif,Mengacu pada Peraturan Gubernur Nomor 18 Tahun 2023
6,Produk Layanan,Layanan Studi Banding
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang/ Instalasi Rawat Jalan b. Ruang/ Instalasi Rawat Inap c. Ruang/ Instalasi Anastesi dan Intensif terpadu d. Ruang/ Instalasi Ongkologi Terpadu e. Ruang/ Instalasi Eksekutif f. Ruang/ Instalasi Gawat Darurat g. Ruang/ Instalasi Bedah Sentral h. Ruang/ Instalasi Medical Chek Up i. Ruang/ Instalasi Uro Nefrologi j. Ruang/ Instalasi Laboratorium Patologi Klinik k. Ruang/ Instalasi Laboratorium Patologi Anatomi l. Ruang/ Instalasi Mikrobiologi Klinik m. Ruang/ Instalasi Radiologi n. Ruang/ Instalasi Unit Transfusi Darah o. Ruang/ Instalasi Rehabilitasi Medik p. Ruang/ Instalasi Forensik dan Kamar Jenazah q. Ruang/ Instalasi Gizi r. Ruang/ Instalasi CSSD s. Ruang/ Instalasi Farmasi t. Ruang/ Instalasi Gas Medik u. Ruang/ Instalasi Diklat v. Ruang/ Instalasi Pemeliharaan Sarana & Prasarana w. Ruang/ Instalasi Loundry x. Ruang/ Instalasi Kesehatan Lingkungan y. Ruang/ Instalasi Ambulance dan Mobil Jenazah z. Ruang/ Instalasi Pelayanan Jaminan aa. Ruang/ Instalasi Rekam Medik bb. Ruang/ Instalasi Keselamatan dan Kesehatan Kerja cc. Ruang/ Instalasi Elektronik Data Prosesing Teknologi Informasi dd. Ruang/ Instalasi Promosi Kesehatan Rumah Sakit ee. Aula ff. Audiotorium Medical Cinema gg. Ruang Diskusi hh.Masjid/ Mushola ii. Kantin jj. Tempat Parkir
9,Kompetensi Pelaksana,a. Pegawai memiliki Ijazah / Pendidikan Minimal SLTA b. Pegawai memiliki Ijasah Diploma DIII c. Pegawai memiliki Ijazah setara S1 d. Pegawai memiliki Ijazah setara S2
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
