NO,KOMPONEN,URAIAN
1,Dasar Hukum,-
2,Persyaratan Pelayanan,a. Institusi Pendidikan telah terakreditasi BAN-PT/Lam- PTKes ( minimal terakreditasi B ) b. Institusi Pendidikan telah menjalin kerjasama / MoU dengan RSUD Dr. H. Abdul Moeloek Propinsi Lampung c. MoU antara Institusi Pendidikan dengan RSUD Dr. H. Abdul Moeloek Propinsi Lampung masih berlaku ( masa berlaku MoU tertuang dalam perjanjian kerjasama ) d. Setiap kegiatan PKL di RSUD Dr. H. Abdul Moeloek Propinsi Lampung harus sesuai dengan pemetaan/mapping yang telah dilakukan oleh Instalasi Diklat e. Surat resmi dari Institusi Pendidikan perihal permohonan izin terkait pelaksanaan kegiatan PKL f. Proposal kegiatan dari Institusi Pendidikan terkait pelaksanaan kegiatan PKL ( sesuai dengan target / tujuan pelaksanaan PKL tersebut ) g. Daftar nama dan NIM mahasiswa yang hendak PKL di RSUD Dr. H. Abdul Moeloek Propinsi Lampung dari Institusi Pendidikan h. Institusi pendidikan memfasilitasi mahasiswanya dengan APD sesuai ketentuan dari RSUD Dr. H. Abdul Moeloek Propinsi Lampung
3,Sistem Mekanisme dan Prosedur,"a. Institusi pendidikan membawa surat resmi dan dilampirkan proposal kegiatan PKL ke bagian umum / TU untuk diproses sesuai prosedur b. Setelah menyerahkan surat resmi dan proposal ke bagian umum / TU, Intitusi pendidikan berkoordinasi dengan Instalasi Diklat c. Instalasi Diklat memproses dan memfasilitasi kegiatan PKL tersebut sesuai arahan dari Wakil Direktur Diklat, Pengembangan SDM dan Hukum RSUD Dr. H. Abdul Moeloek Propinsi Lampung d. Setelah mendapat arahan, Instalasi Diklat memproses surat balasan terkait izin / persetujuan pelaksanaan PKL dan memfasilitasi penunjukan CI / pembimbing untuk masing masing ruangan yang dijadikan lahan PKL mahasiswa e. Bagi mahasiswa Tk.I ( target mata ajar ilmu dasar ), mahasiswa harus melaksanakan kegiatan orientasi / pra kepaniteraan terlebih dahulu sebelum melaksanakan PKL f. Setelah mendapat surat balasan perihal persetujuan pelaksanaan PKL dari RSUD Dr. H. Abdul Moeloek Propinsi Lampung, Institusi Pendidikan menyelesaikan administrasi (pembayaran) 1 minggu sebelum pelaksanaan PKL tersebut g. Setelah mendapat surat balasan perihal persetujuan pelaksanaan PKL dari RSUD Dr. H. Abdul Moeloek Propinsi Lampung, Institusi Pendidikan menyelesaikan administrasi (pembayaran) 1 minggu sebelum pelaksanaan PKL tersebut h. Sebelum mahasiswa masuk RSUD Dr. H. Abdul Moeloek Propinsi Lampung, Instalasi Diklat, CI / Pembimbing lahan mengadakan rapat persamaan persepsi / penjelasan tentang target pelaksanaan kegiatan PKL i. Setelah kegiatan PKL mahasiswa berakhir, Instalasi Diklat melaksanakan evaluasi terhadap kegiatan PKL yang telah berlangsung melalui kegiatan presentasi akhir yang dilaksanakan di Instalasi Diklat"
4,Jangka Waktu Pelayanan,Sesuai jadwal / periode pelaksanaan kegiatan PKL mahasiswa tersebut
5,Biaya/Tarif,Mengacu pada Peraturan Gubernur nomor 18 Tahun 2023
6,Produk Layanan,a. PKL Mahasiswa : a) D III Keperawatan b) D IV / S1 Keperawatan c) Profesi Keperawatan d) D III Kebidanan e) D IV / S1 Kebidanan f) D III Gizi g) S 1 Gizi h) D III Radiologi ( Atem ) i) D III Farmasi j) Apoteker k) IPS ( Atem S1 Fisika ) l) SIM RS m) D III Lab n) D IV Lab o) D III Kesling p) D III Fisiotherapy q) D IV Fisiotherapy r) D III Lab Patologi Anatomi ( jurusan Biologi)
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi","Keluhan atau komplain disampaikan melalui sarana yang disediakan oleh RSUD Dr. H. Abdul Moeloek Provinsi Lampung , antara lain : a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telephone di Nomor (0721) 703312 d. SMS/WA di Nomor Hp. 0821 8182 4557 e. Pengaduan Langsung : Unit layanan terpadu gedung rawat jalan f. Kotak Saran : Setiap area publik RSUD.dr. H. Adul Moeleok Provinsi Lampung"
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang/ Instalasi Rawat Jalan b. Ruang/ Instalasi Rawat Inap c. Ruang/ Instalasi Anastesi dan Intensif terpadu d. Ruang/ Instalasi Ongkologi Terpadu e. Ruang/ Instalasi Eksekutif f. Ruang/ Instalasi Gawat Darurat g. Ruang/ Instalasi Bedah Sentral h. Ruang/ Instalasi Medical Chek Up i. Ruang/ Instalasi Uro Nefrologi j. Ruang/ Instalasi Laboratorium Patologi Klinik k. Ruang/ Instalasi Laboratorium Patologi Anatomi l. Ruang/ Instalasi Mikrobiologi Klinik m. Ruang/ Instalasi Radiologi n. Ruang/ Instalasi Unit Transfusi Darah o. Ruang/ Instalasi Rehabilitasi Medik p. Ruang/ Instalasi Forensik dan Kamar Jenazah q. Ruang/ Instalasi Gizi r. Ruang/ Instalasi CSSD s. Ruang/ Instalasi Farmasi t. Ruang/ Instalasi Gas Medik u. Ruang/ Instalasi Diklat v. Ruang/ Instalasi Pemeliharaan Sarana & Prasarana w. Ruang/ Instalasi Loundry x. Ruang/ Instalasi Kesehatan Lingkungan y. Ruang/ Instalasi Ambulance dan Mobil Jenazah z. Ruang/ Instalasi Pelayanan Jaminan aa. Ruang/ Instalasi Rekam Medik bb. Ruang/ Instalasi Keselamatan dan Kesehatan Kerja Ruang/ Instalasi Elektronik Data ProsesingSarana dan Prasarana/Fasilitas cc. Ruang/ Instalasi Rawat Jalan dd. Ruang/ Instalasi Rawat Inap ee. Ruang/ Instalasi Anastesi dan Intensif terpadu ff. Ruang/ Instalasi Ongkologi Terpadu gg. Ruang/ Instalasi Eksekutif hh.Ruang/ Instalasi Gawat Darurat ii. Ruang/ Instalasi Bedah Sentral jj. Ruang/ Instalasi Medical Chek Up kk. Ruang/ Instalasi Uro Nefrologi ll. Ruang/ Instalasi Laboratorium Patologi Klinik mm. Ruang/ Instalasi Laboratorium Patologi Anatomi nn. Ruang/ Instalasi Mikrobiologi Klinik oo. Ruang/ Instalasi Radiologi pp. Ruang/ Instalasi Unit Transfusi Darah qq. Ruang/ Instalasi Rehabilitasi Medik rr. Ruang/ Instalasi Forensik dan Kamar Jenazah ss. Ruang/ Instalasi Gizi tt. Ruang/ Instalasi CSSD uu. Ruang/ Instalasi Farmasi vv. Ruang/ Instalasi Gas Medik ww. Ruang/ Instalasi Diklat xx. Ruang/ Instalasi Pemeliharaan Sarana & Prasarana yy. Ruang/ Instalasi Loundry zz. Ruang/ Instalasi Kesehatan Lingkungan aaa. Ruang/ Instalasi Ambulance dan Mobil Jenazah bbb. Ruang/ Instalasi Pelayanan Jaminan ccc. Ruang/ Instalasi Rekam Medik ddd. Ruang/ Instalasi Keselamatan dan Kesehatan Kerja Ruang/ Instalasi Elektronik Data Prosesing
9,Kompetensi Pelaksana,-
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,a. Pegawai 12 orang b. Kepala Instalasi 1 orang c. Petugas administrasi 9 orang d. Petugas IT 2 orang
12,Jaminan Pelayanan,Pelayanan diberikan dengan mengutamakan mutu dan keselamatan pasien yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung
13,Jaminan Keamanan dan Keselamatan Pelayanan,"a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi, ram dan tangga d. darurat"
14,Evaluasi Kinerja Pelayanan,-
