NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah; q. Keputusan Gubernur Lampung Nomor G/690/VII.01/HK /2023 tentang penembangan Kompetensi Sumber Daya Manusia Jalur pelatihan Teknis Bidang Kesehatan Rumah Sakit Umum Daerah dr. H. Abdul Moeloek Provinsi Lampung
2,Persyaratan Pelayanan,"a. Menyusun KAK yang didalamnya berisi tanggal pelaksanaan pelatihan, tempat, kriteria peserta dan tujuan pelatihan. b. Menetapkan SK / surat tugas Penyelenggara pelatihan, pelatih / Instruktur, pengendali pelatihan, Petugas QC, c. Rapat persiapan pelatihan d. Mengajukan Akreditasi / Registrasi Pelatihan e. Menyebarkan Informasi Pelaksanaan pelatihan f. Menyiapkan sarana dan prasarana pelatihan"
3,Sistem Mekanisme dan Prosedur,a. Menciptakan ruang belajar yang aman Instruksi Kerja : a) Menanyangkan vidio safety Briefing b. Menyelenggarakan pelatihan Instruksi Kerja : a) Berikan pembelajaran secara terstruktur sesuai struktur program agar tujuan pelatihan tercapai b) Terapkan metode pelatihan sesuai denganrencana pembelajaran c) Nilai kemajuan belajar peserta sesuai dengan rencana pembelajaran c. Mengevaluasi pelaksanaan pelatihan Instruksi Kerja : a) Dokumentasikan data dan absensi peserta b) Berikan evaluasi penyelenggaraan pelatihan kepada peserta c) Lakukan Rapat evaluasi penyelenggaraan pelatihan
4,Jangka Waktu Pelayanan,Disesuaikan dengan JPL yang tercantum pada Kurikulum Kementerin Kesehatan RI
5,Biaya/Tarif,Mengacu pada Peraturan Gubernur Nomor 18 Tahun 2023
6,Produk Layanan,Semua kegiatan pelatihan bidang Kesehatan yang diselenggarakan di RSUD Dr. H. Abdul Moeloek Provinsi Lampung sesuai dengan Kalender yang disusun berdasarkan survey peminatan dan kebutuhan pelatihan pada Aplikasi Sepakat Sehat.
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang Kelas b. Ruang Sekertariat c. Ruang Diskusi d. Ruang Auditorium e. Ruang Skill Lab f. Ruang Perpustakaan g. Ruang Pimpinan h. Ruang Transit Narasumber/ Pelatih i. Ruang Mushola j. Ruang Toilet k. Ruang Makan
9,Kompetensi Pelaksana,a. Pegawai memiliki Ijazah / Pendidikan Minimal SLTA b. Pegawai memiliki Ijasah Diploma DIII c. Pegawai memiliki Ijazah setara S1 d. Pegawai memiliki Ijazah setara S2
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
