NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Surat permohonan magang b. Transkrip nilai c. Melampirkan Ijazah terakhir d. STR Dokter, Perawat / nakes lain e. Sertifikat terbaru f. Daftar riwayat hidup g. Membawa surat dari tempat bertugas h. Membawa surat rekomendasi dari tempat lahan magang"
3,Sistem Mekanisme dan Prosedur,"Persiapan a. Surat permohonan ditujukan kepada Direktur melalui Wakil Direktur Pendidikan, Pengembangan SDM & Hukum ke bagian umum / TU RSUD Dr. H. Abdul Moeloek. b. Disposisi Direktur / Wakil Direktur Diklat, pengembangan SDM dan Hukum diteruskan ke Instalasi Diklat ( di proses ) c. Selanjutnya berkoordinasi dan surat permohonan tersebut diteruskan ke bagian / SMF / Instalasi unit terkait Pelaksanaan a. Berdasarkan hasil koordinasi dan permohonan disetujui atau tidak untuk dilaksanakan b. Membuat surat balasan kepada Instansi atau peserta Magang yang bersangkutan c. Menyelesaikan administrasi / retribusi sebelum kegiatan magang dilaksanakan Pelaporan a. Setelah selesai melaksanakan magang, peserta wajib melaporkan hasil magang kepada Instalasi Diklat untuk mendapatkan surat keterangan telah melaksanakan magang"
4,Jangka Waktu Pelayanan,"a. Surat pengantar dari Instansi / Peserta magang yang sudah disposisi Direktur kemudian turun ke Wadir Pendidikan pengembangan SDM dan Hukum, selanjtnya ke Kepala Instalasi Diklat untuk di Proses. b. Koordinator Diklat berkoordinasi kebagian/ ruangan / Instalasi tujuan magang untuk : a) Persetujuan bagian / ruangan/ Instalasi penerima peserta magang b) Kesediaan pembimbing peserta magang Jadwal magang c. Peserta Magang sebelum menerima surat dari instalasi diklat, akan menerima tanda pembayaran / retribusi yang sudah di tentukan melalui Pergub Tarif RSUDAM d. Peserta Magang yang melakukan kegiatan magang selama 1 tahun dapat melukan pembayaran 1 kali pembayaran ataupun 2 kali pembayaran yaitu per 6 bulan. e. Setelah membayar retribusi Peserta magang akan menyerahkan kwitansi warna merah untuk ke instalasi diklat dan kwitansi warna putih untuk yang bersangkutan,setelah menyerahkan tanda pembayaran ke instalasi diklat,maka Peserta magang akan menerima antara lain : a) Surat izin magang b) Log book c) Tata tertib Magang d) Buku Supervisi f. Peserta langsung dapat melaksanakan kegiatan magang. g. Bagian Diklat melakukan supervisi kebagian / ruang yang menjadi tempat magang peserta. h. Setelah peserta menyesaikan magang maka pembimbing ruang / ,bagian / Instalasi melaporkan: a) Surat/laporan (nilai peserta magang) ke Diklat b) Surat / Laporan ( nilai peserta magang ) ke Institusi apabila peserta magang dikirim melalui instansi. i. Peserta magang dapat mengambil surat keterangan magang dengan membawa antara lain : a) Absensi b) Log book yg sudah ada tanda tangan c) pembimbing d) Dokumentasi j. Instalasi Diklat mengeluarkan surat keterangan selesai magang yang di tandatangani oleh Direktur. k. Sertifikat diberikan apabila diperlukan oleh Institusi dan atau personal. "
5,Biaya/Tarif,Mengacu pada Peraturan Gubernur Nomor 18 Tahun 2023
6,Produk Layanan,a. Dokter b. Perawat c. -Nakes lain
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Ruang/ Instalasi Rawat Jalan b. Ruang/ Instalasi Rawat Inap c. Ruang/ Instalasi Anastesi dan Intensif terpadu d. Ruang/ Instalasi Ongkologi Terpadu e. Ruang/ Instalasi Eksekutif f. Ruang/ Instalasi Gawat Darurat g. Ruang/ Instalasi Bedah Sentral h. Ruang/ Instalasi Medical Chek Up i. Ruang/ Instalasi Uro Nefrologi j. Ruang/ Instalasi Laboratorium Patologi Klinik k. Ruang/ Instalasi Laboratorium Patologi Anatomi l. Ruang/ Instalasi Mikrobiologi Klinik m. Ruang/ Instalasi Radiologi n. Ruang/ Instalasi Unit Transfusi Darah o. Ruang/ Instalasi Rehabilitasi Medik p. Ruang/ Instalasi Forensik dan Kamar Jenazah q. Ruang/ Instalasi Gizi r. Ruang/ Instalasi CSSD s. Ruang/ Instalasi Farmasi t. Ruang/ Instalasi Gas Medik u. Ruang/ Instalasi Diklat v. Ruang/ Instalasi Pemeliharaan Sarana & Prasarana w. Ruang/ Instalasi Loundry x. Ruang/ Instalasi Kesehatan Lingkungan y. Ruang/ Instalasi Ambulance dan Mobil Jenazah z. Ruang/ Instalasi Pelayanan Jaminan aa. Ruang/ Instalasi Rekam Medik bb. Ruang/ Instalasi Keselamatan dan Kesehatan Kerja cc. Ruang/ Instalasi Elektronik Data Prosesing Teknologi Informasi dd. Ruang/ Instalasi Promosi Kesehatan Rumah Sakit ee. Aula ff. Audiotorium Medical Cinema gg. Ruang Diskusi hh. Masjid ii. Kantin jj. Tempat Parkir
9,Kompetensi Pelaksana,a. Pegawai memiliki Ijazah / Pendidikan Minimal SLTA b. Pegawai memiliki Ijasah Diploma DIII c. Pegawai memiliki Ijazah setara S1 d. Pegawai memiliki Ijazah setara S2
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,a. Pegawai 12 orang b. Kepala Instalasi 1 orang c. Petugas administrasi 9 orang d. Petugas IT 2 orang
12,Jaminan Pelayanan,Pelayanan diberikan dengan mengutamakan mutu dan keselamatan pasien yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung
13,Jaminan Keamanan dan Keselamatan Pelayanan,"a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi, ram dan tangga d. darurat"
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja / SKP b. Rapat Koordinasi Internal dan Eksternal c. Supervisi d. Evaluasi Standar Pelayanan Minimal
