NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-UndangRepublikIndonesiaNomor17tahun2023 tentangKesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan BidangPerumahsakitan; g. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; h. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; i. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; j. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; k. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; l. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; m. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,a. Surat resmidariInstitusi Pendidikan perihalpermohonanizinpenelitian di RSUDAM b. Proposal penelitian BAB 1 BAB 3 c. Institusi pendidikan telah terakreditasi BAN-PT / lam. Pt kes ( minimal terakreditasi B ) d. Intitusi pendidikan telah menjalin kerjasama / MoU dengan RSUD Dr. H. Abdul Moeloek e. MoU antara Institusi pendidikan dengan RSUD Dr. H. Abdul Moeloek masih berlaku ( MoU tentang perjanjian kerjasama ) f. Adanya surat layak etik yang diterbitkan oleh Tim KomiteEtik RSUDAM
3,Sistem Mekanisme dan Prosedur,"a. Surat resmidariInstitusipendidikandilampirkan proposal di kirimkebagianumum RSUDAM b. Surat dan proposal di disposisi oleh Wakil Direktur Pendidikan, Pengembangan SDM dan Hukum keKepalaInstalasiDiklatuntuk di disposisikanke Tim KomiteEtikPenelitian RSUDAM untukditelaah c. Mahasiswa/penelitimengisiprotokolkajietikpenelitianuntuk selanjutnya di telaah oleh Tim KomiteEtikPenelitian RSUDAM d. Tim KomiteEtikPenelitian RSUDAM mengeluarkansuratketeranganlaiketik e. InstalasiDiklat membuat surat balasan kepada Institusi ( disetujui / dilaksanakan ) dan atau surat pengantar ke ruangan yang digunakan untuk penelitianserta penunjukan pendamping/pembimbing penelitian f. Penelitimenyelesaikanadministrasi/pembayaran sesuai dengan tarif Pergub No 18 Tahun 2023 tentang Jenis dan Tarif Layanan Kesehatan di RSUDAM untukselanjutnyapenelitidapatmelakukanpenelitian g. Peneliti berkoordinasi ke kepala ruangan / pembimbing ruangan yang terkait sehubungan dengan penyampaian informasi kepada pasien / keluarga pasien dalam meminta persetujuan kepada pasien / keluarga pasien untuk menjadi sample dan memberikan datanya sebagai bahan penelitian yang berada di RSUD Dr. H. Abdul Moeloek dengan bukti tanda tangan di dalam surat pernyataan persetujuan yang terdapat dalam kesatuan berkas medical record pasien di ruangan yang terkait dengan penelitian h. Setelah surat pernyataan persetujuan tersebut ditandatangani oleh pasien / keluarga pasien maka peneliti yang mengadakan penelitian dapat melaksanakan pengambilan data atau informasi kepada pasien atau keluarga pasien i. InstalasiDiklatmembuatsuratketerangantelahmelaksanaka npenelitian (biladiperlukan)."
4,Jangka Waktu Pelayanan,Disesuaikan dengan jadwal / periode pelaksanaan kegiatan penelitian tersebut
5,Biaya/Tarif,Mengacu pada Peraturan Gubernur Nomor 8Tahun 2023 tentang Jenis dan Tarif Layanan Kesehatan di RSUDAM
6,Produk Layanan,"Mahasiswa (peneliti) untuk semua jenjang pendidikan di bidang Kesehatan (kedokteran, Keperawatan dan Kebidanan), tenaga Kesehatan Lain (Gizi, Farmasi, Radiologi, ATLM, ATEM, Kesehatan Lingkungan, Fisioterapi) dan Mahasiswa (peneliti) Non Kesehatan"
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website: rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon:(0721)703312 d. SMS/WA:082181824557 e. PengaduanLangsung :UnitLayanan TerpaduGedungRawat Jalan f. KotakSaran:setiapAreaPublikRSUDAbdulMoeleokProvinsiL ampung.
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas a. Seluruhjajaran Management/Adminitrasi b. Instalasi Rawat Jalan c. Instalasi Rawat Inap d. InstalasiAnastesi dan intensifterpadu e. InstalasiGawatDarurat f. InstalasiOngkologiterpadu g. InstalasiEksekutif h. InstalasiBedah Sentral i. InstalasiLaboratoriumPatologiKlinik j. InstalasiLaboratoriumPatologiAnatomi k. InstalasiMikrobiologiKlinik l. InstalasiRadiologi m. Instalasi Unit Transfusi Darah n. InstalasiRehabilitasiMedik o. InstalasiForensik dan Kamar Jenazah p. Instalasi Gizi q. Instalasi CSSD r. Instalasi Farmasi s. Instalasi Gas Medis t. InstalasiPemeliharaan Sarana dan prasarana u. InstalasiLoundry v. Instalasi Kesehatan Lingkungan w. Instalasi Ambulance dan Mobil Jenazah x. InstalasiRekamMedik y. InstalasiKeselamatan dan Kesehatan Kerja z. InstalasiElektronik dan ProsesingTeknologiInformasi aa. InstalasiPromosi Kesehatan RS
9,Kompetensi Pelaksana,1. Pegawaimemiliki Ijazah/Pendidikan minimal SLTA 2. Pegawaimemiliki Ijazah DIII 3. Pegawaimemiliki Ijazah S1 4. Pegawaimemiliki Ijazah S2
10,Pengawasan Internal,a. SatuanPengawasInternalRumahSakit(SPI) b. DewanPengawas c. Direktur d. AtasanLangsung
