NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. UU No. 23 tahun 1992 tentang Kesehatan b. UU No. 23 tahun 1997 tentang Pengelolaan Lingkungan Hidup c. Permenkes RI No. 7 tahun 2019 tentang Kesehatan Lingkungan Rumah Sakit d. Permenkes RI No 56 tahun 2014 tentang Klasifikasi dan Perizinan Rumah Sakit e. Permenkes No 24 tahun 2016 tentang Persyaratan Teknis Bangunan Dan Prasarana f. Permenkes No 27 tahun 2017 tentang Pedoman Pencegahan dan Pengendalian Infeksi di Fasilitas Pelayanan Kesehatan g. Permenkes No 58 tahun 2018 tentang K3 Rumah Sakit h. Permenkes RI No. 32 tahun 2017 tentang Standar Baku Mutu Kesehatan Lingkungan dan Persyaratan Kesehatan Air untuk Keperluan Higiene Sanitasi, Kolam Renang, Solus per Aqua dan Pemandian Umum. i. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; j. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah; k. Surat Keputusan Direktur Utama RSUD Dr. H. Abdul Moeloek Provinsi Lampung Nomor 180/18A.H/II.14/1.6/VIII/2016 tentang Pengelolaan Linen,"
2,Persyaratan Pelayanan,Setiap ruangan mengirim linen kotor ke Instalasi Laundry
3,Sistem Mekanisme dan Prosedur,"a. Petugas Laundry menerima dan mencatat jumlah dan jenis linen kotor dari semua ruangan di rumah sakit. b. Petugas Laundry menimbang linen kotor untuk menyesuaikan kapasitas mesin dan chemical yang dibutuhkan. c. Petugas Laundry melakukan pencucian dengan memisahkan antara linen infeksius dan non infeksius. d. Kemudian dilakukan pengeringan, penyetrikaan, pelipatan. e. Linen uang sudah bersih di kemas sesuai ruangan masing masing dan siap di distribusikan."
4,Jangka Waktu Pelayanan,Kurang lebih 5 jam
5,Biaya/Tarif,Mengacu pada: Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung;
6,Produk Layanan,a. Penerimaan linen kotor dari ruangan-ruangan b. Pencucian c. Pengeringan d. Penyetrikaan e. Pelipatan f. Pendistribusian Linen bersih
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"a. Ruang penerimaan linen kotor : meja, timbangan, troli b. Ruang pencucian linen kotor : mesin cuci infeksius dan mesin cuci non infeksius c. Ruang pengeringan linen bersih : mesin pengering d. Ruang penyetrikaan linen bersih : mesin setrika rol dan meja untuk melipat e. Ruang penyimpanan dan distribusi linen bersih : lemari Loker"
9,Kompetensi Pelaksana,Tenaga Laundry yang telah mendapat pelatihan
10,Pengawasan Internal,a. Dilakukan oleh atasan langsung b. Dilakukan oleh PPI
11,Jumlah Pelaksana,a. Tenaga administrasi sebanyak 2 orang b. Tenaga Pelaksana 15 0rang
12,Jaminan Pelayanan,a. Adanya SPM b. Adanya SPO c. Sarana prasarana pendukung d. SDM yang kompeten di bidangnya
13,Jaminan Keamanan dan Keselamatan Pelayanan,a. Di wujudkan Diwujudkan dalam kualitas layanan dan dan produk layanan yang sesuai dengan Standar Operasional Prosedur serta didukung oleh petugas yang kompeten dibidang tugasnya b. Tersedia Alat Pemadam Api Ringan (APAR)
14,Evaluasi Kinerja Pelayanan,a. Evaluasi Standar Pelayanan Minimal b. Evaluasi berdasarkan pengawasan atasan langsung terkait kinerja dan kedisiplinan
