NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang – undang Nomor 25 tahun 2009 tentang pelayanan publik; b. Undang undang No 17 Tahun 2023 tentang Kesehatan; c. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; d. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; e. Peraturan Pemerintah Nomor 47 tahun 2021 tentang Penyelenggaraan Bidang Perumah Sakitan; f. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; g. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; h. Peraturan Gubernur Lampung Nomor 1 tahun 2024 tentang Perubahan Kedua Atas Peraturan Gubernur Lampung Nomor 59 Tahun 2021 tentang Susunan Organisasi, Tugas dan Fungsi, serta Tata Kerja Perangkat Daerah; i. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah; j. Keputusan Direktur RSUD Dr H Abdul Moeloek Provinsi Lampung Nomor 180/283.H/VII.01/10.30/XI/2022"
2,Persyaratan Pelayanan,a. Pasien rawat jalan yang datang ke Instalasi Eksekutif RSUD Dr.H.Abdul Moeloek yang bersedia menggunakan pelayanan/jaminan pribadi. b. Pasienrawat jalan datang langsung dengan atau tidak dengan perjanjian ke Instalasi Pelayanan Eksekutif dengan membawa KTP asli
3,Sistem Mekanisme dan Prosedur,"a. Pasien datang langsung ke Instalasi Pelayanan Eksekutif b. Pasien melakukan registrasi administrasi di meja pendaftaran Instalasi Pelayanan Eksekutif, petugas memasukkan data ke SIM RS untuk ke pelayanan yang dituju c. Perawat/Bidan melakukan anamnesa di ners station yang terdiri dari mengukur tanda-tanda vital dan pengkajian d. Pasien siap untuk diperiksa dokter sesuai klinik yang dituj e. Jika pasien yang memerlukan pemeriksaan penunjang, segera dibuatkan permintaan pemeriksaan penunjang melalui SIM RS f. Jika semua hasil pemeriksaan penunjang selesai, pasien kembali diperiksa atau dikonsultasikan kembali dengan dokter pemeriksa g. Pengambilan obat dilakukan di depan depo farmasi h. Hasil pemeriksaan penunjang diserahkan kepada pasien i. Penyelesaian administrasi dilakukan di kasir"
4,Jangka Waktu Pelayanan,a. Waktu tunggu pemeriksaan dokter maksimal < 30 menit b. Waktu tunggu penerimaan obat di depo farmasi Racikan < 30 menit Non racikan < 20 menit
5,Biaya/Tarif,Mengacupada: Peraturan Gubernur Lampung nomor 18 Tahun 2023 tentang tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr.H. Abdul Moeloek Provinsi Lampung
6,Produk Layanan,Pelayanan rawat jalan yang dilakukan oleh dokter spesialis dan konsultan
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",,"Keluhan atau komplain disampaikan melalui sarana yang disediakan oleh RSUD Dr. H. Abdul Moeloek Provinsi Lampung antara lain: a) Website : rsudam.lampungprov.go.id b) Email : rsudam@lampungprov.go.id humasrsudam23@gmail.com c) Fb : Rumah Sakit Abdul Moeloek d) Ig : @rsamlampung e) Telephone : 0721)703312, 702455 f) SMS/WA : 082181824557 g) Kotak Saran h) Aduan langsung"
8,Sarana Prasarana / Fasilitas,"a. Ruang dalam Instalasi Pelayanan Eksekutif, yaitu: a) Ruang informasi b) Ruang tunggu pasien c) Ruang poliklinik ( Lantai 1 dan 3) d) Depo farmasi e) Laboratorium f) Radiologi b. Fasilitas: a) Instalasi air bersih b) Instalasi listrik c) Fasilitas komunikasi dan informasi, d) Sarana keselamatan dan sarana transportasi e) Fasilitas jaringan internet dan SIM RS f) Fasilitas peralatan komputer dan perkantoran g) Tersedia peralatan yang standar sesuai persyaratan pelayanan"
9,Kompetensi Pelaksana,a. Dokter Spesialis /Dokter Sub Spesialis a) Kualifikasi Pendidikan Dokter Spesialis/ Dokter Sub Spesialis b) Memiliki STR dan SIP c. Perawat/ Bidan / Perawat gigi / Analis Kesehatan / Refraksionis Optisien a) Kualifikasi Pendidikan minimal DIII Keperawatan/Kebidanan b) Memiliki STR dan SIP c) Memiliki SK sebagai tim Instalasi Pelayanan Eksekutif d. Tenaga Administrasi /Penunjang a) kualifikasi minimal lulusan SLTA b) Memiliki SK sebagai tim Instalasi Pelayanan Eksekutif
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
