NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap Sudha nirmala melalui IGD/Poliklinik dengan berbagai macam kasus. b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS ✓ Rujukan Dibutuhkan kartu BPJS, KTP/KK, surat keterangan lahir, surat rujukan dari Faskes, untuk penerbitan SJP dan SEP ✓ Bukan berasal dari rujukan Dibutuhkan kartu BPJS, KTP/KK, surat keterangan lahir, surat rujukan internal, untuk penerbitan SJP dan SEP b) Pasien dengan pembiayaan umum : Kartu Identitas (KTP) dan menandatangani pernyataan rawat inap yang menyatakan sebagai pasien umum"
3,Sistem Mekanisme dan Prosedur,"a. Menerima surat pengantar dirawat dari IGD/ poliklinik/ yang dibawa oleh petugas /keluarga pasien b. Memeriksa general consent dari admisi IGD tentang jenis jaminan bayar c. Melakukan wawancara untuk menentukan jaminan perawatan d. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Asuransi ,Jaminan Umum. e. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan. f. Pasien rujukan Puskesmas,Rujukan Rumah Sakit lain Setelah mendapat advis dari DPJP, pasien di transfer ke ruang perawatan Sudha Nirmala dan masuk ruang perawatan tergantung kondisi pasien. g. Asuhan medis dan keperawatan selama perawatan h. Penyelesaian Administrasi/pembayaran di kasir (khasus pasien umum) dan pasien asuransi cukup di administrasi ruang Sudha nirmala i. Pasien Keluar Rumah Sakit (meninggal/pulang/dirujuk)"
4,Jangka Waktu Pelayanan,Disesuaikan dengan kondisi pasien
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Inap Kelas Utama ( VIP A dan VVIP ) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung a) Tarif Ruang VVIP : Rp. 1.500.000, b) Tarif Ruang VIP A :Rp.1.000.000,"
6,Produk Layanan,Pelayanan rawat inap VIP dan VVIP
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruang Perawatan Sudha Nirmala b. Bad Elektrik 3 crank c. Oksigen Sentral d. Over bad Table e. Lemari Pasiean f. Sofa Bad g. Kursi Teras Depan dan Belakang h. Dispenser i. TV Kabel j. Water Heater k. Wastafel l. Dapur Mini m. Carport n. Dokumen Rekam Medik (Rawat Inap) a) Infus Pump b) Monitor Hemodinamik c) Monitor saturasi O2 d) Nebulizer e) Suction Mobile f) Syringe Pump o. Obat-obatan untuk kegawatan sesuai kebutuhan yang disimpan dalam troly emergensi p. Ruang tunggu :Aula, Sofa, tempat sampah dan WC q. Dokumen Rekam Medik (Rawat Inap)/E-MR r. Foto kamar dan fasilitas terlampir "
9,Kompetensi Pelaksana,"1. Seluruh Dokter Spesialis konsultan memiliki STR, SIP dan sertifikat 2. Perawat dan bidan memiliki STR dan SIP PK I,II,III 3. Ahli Gizi/ Petugas Radiologi/ Petugas Laborat/ Petugas administrasi 4. Tenaga Pekarya Rumah Tangga"
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,"a. Seluruh Dokter Spesial atau Konsultan Pemberi Asuhan b. Perawat: 13 orang, Bidan 2 Orang c. Tenaga Pekarya Rumah Tangga 4 orang d. Ahli Gizi/ Petugas Radiologi/ Petugas Laborat tersedia sesuai kebutuhan dan berada pada unit nya masing-masing"
12,Jaminan Pelayanan,Pelayanan diberikan dengan mengutamakan mutu dan keselamatan pasien yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung
13,Jaminan Keamanan dan Keselamatan Pelayanan,a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja / SKP b. Rapat Koordinasi Internal dan Eksternal c. Monev / supervisi harian d. Audit Jaminan Pembiyayaan e. Evaluasi Standar Pelayanan Minimal
