NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap perinatologi melalui IGD/Poliklinik dengan kasus neonatal b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS ✓ Rujukan Dibutuhkan kartu BPJS, KTP/KK, surat keterangan lahir, surat rujukan dari Faskes, untuk penerbitan SJP dan SEP ✓ Bukan berasal dari rujukan Dibutuhkan kartu BPJS, KTP/KK, surat keterangan lahir, surat rujukan internal, untuk penerbitan SJP dan SEP b) Pasien peserta Jamkesda ✓ Rujukan Dibutuhkan kartu KTP dan KK Bandar lampung surat keterangan lahir, surat rujukan dari Faskes, surat keterangan dirawat di perinatologi untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP ✓ Bukan berasal dari rujukan Dibutuhkan kartu KTP dan KK Bandar lampung surat keterangan lahir, surat rujukan internal, surat keterangan dirawat di perinatologi untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP) dan menandatangani pernyataan rawat inap yang menyatakan sebagai pasien umum"
3,Sistem Mekanisme dan Prosedur,"a. Menerima surat pengantar dirawat dari IGD/ poliklinik/ yang dibawa oleh petugas /keluarga pasien b. Memeriksa general consent dari admisi IGD tentang jenis jaminan bayar c. Melakukan wawancara untuk menentukan jaminan perawatan d. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll e. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan f. Pasien rujukan Puskesmas, Rumah Bersalin, Bidan Praktek Mandiri dilakukan pemeriksaan penunjang dan tindakan di ruang ponek/poliklinik anak. Setelah mendapat advis dari DPJP, pasien di transfer ke ruang perawatan perinatologi dan masuk ruang perawatan tergantung kondisi pasien (NICU/Level III dan SCN/Level II) g. Asuhan medis dan keperawatan selama perawatan h. Penyelesaian Administrasi/pembayaran di kasir (khasus pasien umum) dan pasien asuransi (BPJS/Kesda/Dinas Sosial) cukup di administrasi ruang perinatologi i. Pasien Keluar Rumah Sakit (meninggal/pulang/dirujuk)"
4,Jangka Waktu Pelayanan,Disesuaikan dengan kondisi pasien
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Pelayanan rawat inap neonatal
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruang Perawatan neonatal: NICU/Level III atau SCN/Level II b. Ruang Isolasi (Klebsiela dan Pseudomonas) c. Kamar Operasi (Bedside Operating) d. Ruang Menyusui e. Ruang KMC f. Dapur Susu g. Ruang Obat h. Obat-obatan untuk kegawatan neonatal sesuai kebutuhan dalam teroly emergensi i. Ruang Cuci j. Ruang Administrasi k. Ruang Tunggu Keluarga l. Alat Kesehatan dan Medis Penunjang m. Dokumen Rekam Medik (Rawat Inap) a) Bubble CPAP b) Compressor Medik c) Foto Therapy d) Inkubator e) Inkubator transport f) HFO g) USG 3 D h) Infus Pump i) Infant Warmer j) Laringoscope k) Monitor Hemodinamik l) Monitor saturasi O2 m) Nebulizer n) Wall Suction o) Suction Mobile p) Syringe Pump q) T-Piece Resucitator r) Ventilator s) Mixcafe n. Obat-obatan untuk kegawatan sesuai kebutuhan yang disimpan dalam troly emergensi o. Ruang tunggu : kursi, tempat sampah dan WC p. Dokumen Rekam Medik (Rawat Inap)/E-MR"
9,Kompetensi Pelaksana,"a. Dokter jaga/spesialis konsultan neonatologi memiliki STR, SIP dan sertifikat mempunyai sertifikat board dan neonatal-perinatal medicine b. Perawat dengan sertifikasi Resusitasi Neonatus (PRN) dan NICU untuk ruang NICU/Level III dan memiliki STR dan SIP c. Perawat/Bidan dengan sertifikasi Resusitasi Neonatus (PRN) untuk ruang SCN/Level II dan memiliki STR dan SIP d. Ahli Gizi/ Petugas Radiologi/ Petugas Laborat/ Petugas administrasi e. Tenaga Pekarya Rumah Tangga"
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
