NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. UU No. 36 Tahun 2009 tentang Kesehatan b. UU No. 44 Tahun 2009 tentang Rumah sakit c. Permenkes No. 363 tahun 1998 tentang Pengujian dan Kalibrasi Alat Kesehatan d. Keputusan Menteri Kesehatan RI Nomor 129/Menkes/SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit e. Keputusan Menteri Dalam Negeri Nomor: 1 Tahun 2002 tentang Pedoman Organisasi dan Tata Kerja Rumah Sakit Daerah f. Peraturan Gubernur Nomor: 45 Tahun 2009 tentang Pola Tata Kelola Rumah Sakit Umum Daerah dr. H. Abdul Moeloek Provinsi Lampung g. Keputusan Gubernur Lampung Nomor : 10 Tahun 2014 tentang Perubahan atas Peraturan Gubernur Lampung Nomor 33 Tahun 2010 tentang Rincian Tugas, Fungsi dan Tata Kerja Inspektorat, Badan Perencanaan Pembangunan Daerah dan Lembaga Teknis Daerah h. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah i. Keputusan Direktur RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
2,Persyaratan Pelayanan,"Adanya kerusakan peralatan ke Instalasi Pemeliharaan Sarana, dengan tembusan ke Ka. Sub. Bag. RT & Perlengkapan dan Kasie terkait."
3,Sistem Mekanisme dan Prosedur,"a. Kepala Ruangan / Kepala Instalasi / Penanggungjawab peralatan di ruangan membuat laporan kerusakan peralatan ke Instalasi Pemeliharaan Sarana, dengan tembusan ke Ka. Sub. Bag. RT & Perlengkapan dan Kasie terkait. b. Petugas / Teknisi IPS melakukan pemeriksaan peralatan tersebut. c. Setelah dilakukan pemeriksaan maka : a. Apabila alat tersebut dapat diperbaiki tanpa menggunakan suku cadang maka setelah diperbaiki alat tersebut dapat dikembalikan ke ruangan b. Jika alat tersebut menggunakan suku cadang, dan suku cadang tersedia maka akan langsung diperbaiki teknisi, setelah diperbaiki alat tersebut dapat dikembalikan ke ruangan. c. Apabila suku cadang tidak tersedia di IPS maka diamprahkan / usul ke Direktur melalui Ka. Sub. Bag. RT & Perlengkapan. d. Ka. Sub. Bag. RT & Perlengkapan menyerahkan amprahan ke Tim Pengadaan, jika barang sudah tersedia maka oleh Tehnisi IPS akan diperbaiki & setelah selesai dikembalikan ke Ruangan / User. d. Apabila alat tersebut tidak dapat diperbaiki oleh IPS maka akan dibuatkan surat keterangan tidak dapat diperbaiki ke Ka. Sub. Bag. RT & Perlengkapan dengan tembusan kepada Direktur Umum dan Keuangan dan Ruangan / User. e. Alat yang dapat diperbaiki oleh rekanan (pihak ketiga) akan diperbaiki setelah selesai dikembalikan ke Ruangan / User. Alat yang tidak dapat diperbaiki akan diserahkan ke Ka. Sub. Bag. RT & Perlengkapan (Gudang RT)"
4,Jangka Waktu Pelayanan,Disesuaikan dengan kondisi ketersediaan peralatan kerja
5,Biaya/Tarif,-
6,Produk Layanan,Pelaporan dari Ruangan
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi","Keluhan atau komplain disampaikan melalui sarana yang disediakan oleh RSUD Dr. H. Abdul Moeloek Provinsi Lampung , antara lain : a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telephone di Nomor (0721) 703312 d. SMS/WA di Nomor Hp. 0821 8182 4557 e. Kotak saran f. Aduan langsung"
8,Sarana Prasarana / Fasilitas,Sarana dan Prasarana/Fasilitas : a. Ruang administrasi b. Gudang Barang c. Bengkel
9,Kompetensi Pelaksana,a. Pelatihan PT. Altrak 1978 (Sertifikat) b. Tenaga Administrasi
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
11,Jumlah Pelaksana,a. Ka. Instalasi Pemeliharaan Sarana: 1 Orang b. Teknisi Lapangan: 24 orang c. Petugas administrasi: 5 orang
12,Jaminan Pelayanan,Pelayanan diberikan dengan mengutamakan mutu dan keselamatan pasien yang mengacu pada Visi Misi RSUD dr. H. Abdul Moeloek Propinsi Lampung
13,Jaminan Keamanan dan Keselamatan Pelayanan,"a. Tersedia Alat Pemadam Api Ringan (APAR) b. Tersedia penjaga keamanan (satpam) c. Tersedia jalur evakuasi, d. Tersedia Kontak Service berkala kendaraan"
14,Evaluasi Kinerja Pelayanan,a. E- Kinerja / SKP b. Rapat Koordinasi Internal dan Eksternal c. Evaluasi Standar Pelayanan Minimal
