NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap kebidanan melalui IGD/Poliklinik/ruang rawat lainnya dengan kasus kebidanan b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS Dibutuhkan kartu BPJS, KTP/KK, pengantar dari ruang kebidanan dan rujukan dari IGD, untuk penerbitan SJP dan SEP b) Pasien peserta Jamkesda Dibutuhkan kartu KTP dan KK Bandar Lampung, Buku nikah dan surat keterangan dirawat dari ruang kebidanan, untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP)"
3,Sistem Mekanisme dan Prosedur,"a. Menerima surat pengantar dirawat dari IGD / poliklinik / ruang rawat lain yang dibawa oleh petugas /atau pasien / keluarga pasien b. Melakukan wawancara untuk menentukan kelas ruang perawatan c. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll d. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan e. Pasien rujukan Puskesmas, Rumah Bersalin, Bidan Praktek Mandiri dilakukan pemeriksaan penunjang dan tindakan di ruang ponek/poliklinik kebidanan. Setelah mendapat advis dari DPJP, pasien di transfer keruang bersalin atau ruang perawatan tergantung kondisi pasien a) Penanganan / tindakan dilakukan kamar bersalin dan untuk kasus bedah mayor refer ke IBS. Setelah itu pasien dipindahkan keruang perawatan sesuai kelas b) Penaganan / tindakan dilakukan di ruang perawatan untuk pasien perawatan f. Penyelesaian administrasi / pembayaran di kasir ( khasus pasien umum) dan pasien asuransi (BPJS/Kesda/Dinas Sosial) cukup di administrasi ruang kebidanan g. Pasien Keluar Rumah Sakit"
4,Jangka Waktu Pelayanan,a. Ruang Bersalin: Pelayanan kebidanan 24 jam b. Ruang Perawatan (Nifas): Perawatan 3-7 hari rawat c. Ruang Perawatan Penyakit tertentu: lama perawatan ditentukan oleh Clinical Pathway
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Kebidanan
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruangan terdiri dari 3 lantai a) Lantai 1, difokuskan pada pelayanan penunjang USG, pmeriksaan gynekologi, observasi gynekologi, observasi inpartu, partus prematurus imminens (VK), observasi/resusitasi bayi baru lahir, pelayanan high care bagi pasien yang memerlukan observasi khusus dengan kapasitas 3 TT, ruang perawatan VVIP 1 TT, kamar operasi dan ruang administrasi pasien. b) Lantai 2 ruang kebidanan difokuskan sebagai ruang perawatan pasien yang berkapasitas 38 TT, yaitu ✓ Ruang perawatan kelas VVIP (1 TT) ✓ Ruang perawatan kelas VIP (2 TT) ✓ Ruang perawatan kelas I (6 TT) ✓ Ruang perawatan kelas II (6 TT) ✓ Ruang perawatan kelas III (20 TT) ✓ Ruang perawatan khusus (3 TT) ✓ Nurse station (2 ruang) ✓ Ruang Observasi Bayi (1 ruang) ✓ Ruang Kepala Ruang ✓ Ruang Koordinator c) Lantai 3 ruang kebidanan difokuskan untuk ruang pedidikan yang meliputi: ✓ Ruang dokter spesialis 1 ruang ✓ Ruang Kepala Staf Medik 1 ruang ✓ Ruang Kepala Staf Pendidikan 1 ruang ✓ Ruang belajar mahasiswa Kedokteran 3 ruang ✓ Aula pertemuan ruang kebidanan 1 ruang ✓ Aula Pelatihan1 ruang ✓ Ruang rapat dokter 1 ruang ✓ Perpustakaan ✓ Ruang Sekretaris Staf Medis ✓ Musholla b. Kamar rawat inap ber - Ac semua c. Alat Kesehatan dan Medis Penunjang ✓ USG 4 D + 2 D 1 unit ✓ Dopler 1 unit ✓ Shyringe pump 1 unit ✓ Monitor Hemodinamik 3 unit ✓ Tensimeter 2 unit ✓ Termometer 2 unit ✓ EKG 1 unit ✓ Bed electric 3 unit ✓ Bed pasien 38 unit ✓ Pasien transport 1 unit ✓ Inkubator transport: 1 unit ✓ Inkubator: 1 unit d. Obat-obatan untuk kegawatan obstetri dan neonatal sesuai kebutuhan misalnya utero tonika dll e. Kamar operasi emergency (akses cepat) f. Ruang NICU (akses cepat) g. Ruang tunggu : kursi, tempat sampah dan WC h. Dokumen Rekam Medik (Rawat Inap)/E-MR"
9,Kompetensi Pelaksana,"a. Dokter jaga/spesialis Kebidanan kandungan (Spesialis Obstetri dan Ginekologi) memiliki STR dan SIP b. Bidan dengan sertifikasi Asuhan Persalinan normal (APN) dan CTU (contraseptive technologi update)/minimal pengalaman kerja Rumah Sakit 1 tahun, memiliki STR dan SIP c. Ahli Gizi/ Petugas Radiologi/ Petugas Laborat/ Petugas administrasi d. Tenaga Pekarya Rumah Tangga"
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
