NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Nomor 21 Tahun 2020 tentang Rencana Strategis Kementrian Kesehatan Tahun 2020 - 2024 sebagaimana telah diubah dengan Peraturan Menteri Kesehatan Nomor 13 Tahun 2022 tentang Perubahan Atas Peraturan Menteri Kesehatan Nomor 21 Tahun 2020 tentang Rencana Strategis Kementrian Kesehatan Tahun 2020 – 2024; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; i. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; j. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; k. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; l. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; m. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; n. Keputusan Menteri Kesehatan Nomor HK.01.07/MENKES/13336/2023 tentang Rumah Sakit Jejaring Pengampuan Pelayanan Stroke; o. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; p. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; q. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; r. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap Neurologi melalui IGD/Poliklinik dengan kasus Persarafan (neurologi) b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS ✓ Rujukan Dibutuhkan kartu BPJS, KTP/KK, surat rujukan dari Faskes, untuk penerbitan SJP dan SEP ✓ Bukan berasal dari rujukan Dibutuhkan kartu BPJS, KTP/KK, surat rujukan internal, untuk penerbitan SJP dan SEP b) Pasien peserta Jamkesda ✓ Rujukan Dibutuhkan kartu KTP dan KK Bandar lampung, surat rujukan dari Faskes, surat keterangan dirawat di Ruang Neurologi untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP ✓ Bukan berasal dari rujukan Dibutuhkan kartu KTP dan KK Bandar lampung, surat rujukan internal, surat keterangan dirawat di Ruang Neurologi untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP c) Pasien dengan JasaRaharja Dibutuhkan surat keterangan dari kepolisian untuk pengkleman pasien dengan kasus lakalantas, jika biaya melebihi dari dua puluh juta, maka akan dilanjutkan dengan klem administrasi dengan menggunakan BPJS d) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan e) Pasien dengan pembiayaan umum : Kartu Identitas (KTP) dan menandatangani pernyataan rawat inap yang menyatakan sebagai pasien umum"
3,Sistem Mekanisme dan Prosedur,"a. Menerima surat pengantar dirawat dari IGD/ poliklinik/ yang dibawa oleh petugas /keluarga pasien, b. Memeriksa general consent dari admisi IGD tentang jenis jaminan bayar, c. Melakukan wawancara untuk menentukan jaminan perawatan, d. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll, e. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan, f. Pasien rujukan Puskesmas, Rumah Sakit Tipe C, B, atau bahkan RS Tipe A yang lain dilakukan pemeriksaan penunjang dan tindakan di ruang IGD atau poliklinik saraf. Setelah mendapat advis dari DPJP, pasien di transfer ke ruang perawatan Neurologi dan masuk ruang perawatan tergantung kondisinya memerlukan pengawasan intensif atau komprehensif, g. Asuhan medis dan keperawatan selama perawatan h. Penyelesaian Administrasi/pembayaran di kasir (khusus pasien umum) dan pasien asuransi (BPJS/Kesda/Dinas Sosial) cukup di bagian administrasi ruang neurologi, i. Pasien Keluar Rumah Sakit (meninggal/pulang/dirujuk)"
4,Jangka Waktu Pelayanan,Disesuaikan dengan kondisi pasien
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Pelayanan rawat inap Neurologi
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Admission f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruang Perawatan neurologi : Klas I, II, dan III b. Ruang Perawatan Intensif Neurologi c. Ruang Perawatan Isolasi : Tetanus, Rabies d. Ruang Obat e. Obat-obatan untuk kegawatan di ruang rawat sesuai kebutuhan dalam troly emergensi f. Mushola g. Ruang Administrasi h. Gudang Alat Tenun i. Gudang Alat Kesehatan dan Medis Penunjang a) Bed Side Monitor b) Syringe Pump c) Nebulizer d) Suction Mobile e) Infus Pump f) HFNC (High Flow Nasal Canul) j. Ruang tunggu : kursi, tempat sampah dan WC k. Dokumen Rekam Medik (Rawat Inap)/E-MR"
9,Kompetensi Pelaksana,a. Dokter Spesialis Neurologi b. Perawat/bidan bersertifikasi BNLS ataupun BTCLS c. Fisioterapis d. Perawat dengan sertifikasi Stroke komprehensif e. Ahli Gizi/ Petugas Radiologi/ Petugas Laborat/ Petugas administrasi f. Tenaga Pekarya Rumah Tangga
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
