NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang - Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang – Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/MENKES/PER/IV/2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/MENKES/PER/VIII/2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; PEMERINTAH PROVINSI LAMPUNG R S U D Dr. H. ABDUL MOELOEK BADAN LAYANAN UMUM DAERAH (BLUD) J l. Dr. Rivai No . 6 Telp . 0721 – 703312 , Fax .702306 BANDAR LAMPUNG 35112 n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;"
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap anak melalui IGD/Poliklinik/ruang rawat lainnya dengan kasus kasus anak dan masuk kategori usia anak b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS Dibutuhkan kartu BPJS, KTP/KK, pengantar dari ruang anak dan rujukan dari IGD, untuk penerbitan SJP dan SEP b) Pasien peserta Jamkesda Dibutuhkan kartu KTP dan KK Bandar Lampung, Buku nikah dan surat keterangan dirawat dari ruang anak, untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP) dan menanda tangani pernyataan rawat inap yang menyatakan sebagai pasien umum"
3,Sistem Mekanisme dan Prosedur,"a. Menerima surat pengantar dirawat dari IGD / poliklinik / ruang rawat lain yang dibawa oleh petugas /atau pasien / keluarga pasien b. Memeriksa general consent dari admisi IGD tentang jenis jaminan bayar c. Melakukan wawancara untuk menentukan kelas ruang perawatan d. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll e. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan f. Petugas rawat inap timbang terima pasien dan orientasi ruangan g. Petugas mengantar pasien ke ruang perawatan h. Asuhan medis dan keperawatan selama perawatan i. Penyelesaian administrasi / pembayaran di kasir ( khasus pasien umum) dan pasien asuransi (BPJS/Kesda/Dinas Sosial) cukup di administrasi ruang anak j. Pasien keluar Rumah Sakit (meninggal, pulang atau dirujuk)"
4,Jangka Waktu Pelayanan,Disesuaikan dengan kondisi pasien
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Pelayanan rawat inap anak
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi","Keluhan atau komplain disampaikan melalui sarana yang disediakan oleh RSUD Dr. H. Abdul Moeloek Provinsi Lampung antara lain: a) Website : rsudam.lampungprov.go.id b) Email : rsudam@lampungprov.go.id humasrsudam23@gmail.com c) Fb : Rumah Sakit Abdul Moeloek d) Ig : @rsamlampung e) Telephone : 0721)703312, 702455 f) SMS/WA : 082181824557 g) Kotak Saran h) Aduan langsung"
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Kelas perawatan: VIP, Kelas1, Kelas2, Kelas3 dan kelas khusus b. Kamar rawa tinap ber Ac c. Ruang Penunjang a) Ruang Tindakan Umum b) Ruang Tindakan Khusus (BMP dan Intratekal) c) Ruang Isolasi Netropeni d) Ruangbermain d. Alat Kesehatan dan Medis Penunjang a) Shyringepump b) Infus pump c) MonitorHemodinamik d) Tensimeter e) Termometer f) EKG g) Bedpasien h) Pasien transport e. Obat –obatan untuk kegawatan sesuai kebutuhan yang disimpan dalam trolyem ergensi f. Ruang tunggu kursi, tempat sampah dan WC g. Dokumen Rekam Medik (Rawat Inap)/E-MR"
9,Kompetensi Pelaksana,a. Dokter jaga/spesialis anak memiliki STR dan SIP b. Perawat minimal D3 Keperawatan memiliki STR dan SIP c. Ahli Gizi/ Petugas Radiologi/ Petugas Laborat/ Petugas administrasi d. Tenaga Pekarya Rumah Tangga
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. DewanPengawas c. Direktur d. Atasan Langsung
