NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Pasal 5 Ayat (2) Undang – Undang Dasar Negara Republik Tahun 1945 ; b. Undang-undang Republik Indonesia Nomor 36 tahun 2009 tentang Kesehatan ( Lembaran Negara RI Tahun 2009 Nomor 144, Tambahan Lembaran Negara RI Nomor 5063 ); c. Undang-undang Republik Indonesia Nomor 44 tahun 2009 tentang Rumah Sakit ; ( Lembaran Negara RI Tahun 2009 Nomor 153, Tambahan Lembaran Negara RI Nomor 5072 ) d. Undang-Undang Republik Indonesia Nomor 36 Tahun 2014 Tentang Tenaga Kesehatan ; e. Undang-Undang Republik Indonesia Nomor 11 tahun 2020 tentang Cipta Karja ; ( Lembaran Negara RI Tahun 2020 Nomor 245, Tambahan Lembaran Negara RI Nomor 6573 ) f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Keputusan Menteri Kesehatan Republik Indonesia Nomor 129/ MENKES/ SK/ II/ 2008 tentang Standar Pelayanan Minimal Rumah Sakit; h. keputusan Menteri Kesehatan Republik Indonesia Nomor 1204/ MENKES/ SK/X/ 2004 tentang Persyaratan Kesehatan Lingkungan Rumah Sakit; i. Pedoman Instalasi pusat Sterilisasi ( Central Sterile Supply Departement / CSSD ) di Rumah Sakit, Departement Republik Indonesia Tahun 2009; j. Peraturan Gubenur Lampung Nomor 40 Tahun 2009 Tentang Tata kelola Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek ;"
2,Persyaratan Pelayanan,"Petugas CSSD sehat jasmani dan rohani, kondisi ruangan yang minimal kontaminasi, nyaman, bersih, tertata rapih dan mengutamakan patient safety ."
3,Sistem Mekanisme dan Prosedur,"a. Perencanaan dan penerimaan barang ( Linen, Instrumen / alat/ BHP ) b. Proses dekontaminasi, pencucian dan setting c. Pengemasan dan lebeling ( Linen/ Instrumen / alat /Kasa dan BHP, lainnya ) 2 d. Melakukan proses sterilisasi alat dan bahan e. Penyimpanan dan pendistribusian alat dan bahan f. Menyiapkan Alat/Insrtumen Steril siap pakai yang dibutuhkan oleh ruang / unit Khusus g. Melakukan pengawasan terhadap kualitas instrumen h. Melakukan pencegahan dan pengendalian infeksi bekerjarsama dengan Komite PPI"
4,Jangka Waktu Pelayanan,"a. Penerimaan, pencatatan, pencucian dan setting 75 menit s.d 120 menit (tergantung dari jenis instrument / bahan) b. Pengemasan dan labeling 30 menit c. Sterilisasi 60 s.d 120 menit ( tergantung jenis/ instrument/bahan/BHP, sterilisasi Low temperatur/Hight temperatur ) d. Penyimpanan / distribusi, segera/ 1- 7 hari tergantung kebutuhan unit pengguna"
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampun"
6,Produk Layanan,Bahan dan alat serta Instrumen Steril untuk pemenuhan kebutuhan pelayanan rumah sakit
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruangan terdiri dari a) Ruang Ka. Instalasi b) Ruang Administrasi c) Ruang pencucian/dekontaminasi d) Ruang setting e) Ruang packing f) Ruang sterilisasi g) Ruang pengemasan h) Ruang Penyimpanan steril i) Toilet j) Lift Barang b. Alat Kesehatan dan Medis Penunjang a) Mesin Autoclave 3(tiga) unit, (satu unit 3 dalam kondisi rusak) b) Mesin Plasma 1(satu) Unit c) Mesin Washer 2 (dua)Unit d) Water Heater e) Rak steril 1 unit f) Lemari Penyimpanan steril: 1 (satu) buah g) Mesin sealer 1(satu) unit, dalam kondisi rusak h) Alat pemotong pouches 1(satu) unit, rusak i) Hand gun labeler 2 (dua) unit , 1 rusak, j) Kaca pembesar pembesar loop. k) Gb set: 24 (duapuluh empat) set l) Heacting set: 8 (delapan) set m) CVC set: 3 (tiga) set n) Cath Lab set: 4(empat) set o) WSD Set: 3 (tiga) set p) CDL Set : 2 (dua) set q) Countener plastic besar: 21(duapuluh satu) buah, sedang 4 (empat) buah r) Lemari Penyimpanan BHP 1 (satu) unit s) Lemari penyimpanan Alat Tenun: 1 satu) unit t) Troly linen"
9,Kompetensi Pelaksana,Seluruh pelaksanaan menguasai standar operasional prosedur dan memiliki kemampuan kerjasama dalam tim
10,Pengawasan Internal,a. Dilakukan oleh atasan langsung secara berjenjang b. Dilakukan secara kontinyu
