NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"RAWAT JALAN a. Pasien Umum a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP) b) Melampirkan kuitansi Pembayaran Pemeriksaan Laboratorium Mikrobiologi Kilinik c) Bukti slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik b. BPJS a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP b) Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI ) c) Bukti slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik c. Jamsostek / Perusahaan ( Asuransi ) a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP b) Melampirkan SJP ( Surat Jaminan Pelayanan ) dari perusahaan /Jamsostek c) Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI ) d) Bukti slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik d. Jaminan Sosial Kesehatan Daerah a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP) b) Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang dikeluarkan oleh pelayanan administrasi rawat jalan ( ASLI ) c) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik e. Ikatan Kerjasama a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP) b) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik c) Tagihan dikirimkan setiap bulan ke Fasyankes yang bersangkutan RAWAT INAP a. Umum a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP b) Menyerahkan Kuitansi pembayaran pemeriksaan Laboratorium Patologi anatomi ke ruang rawat inap. c) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik b. BPJS a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP b) Melampirkan Surat Jaminan dan Bukti Pelayanan Rawat Inap yang dikeluarkan oleh pelayanan administrasi rawat inap ( ASLI ) c) Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI) d) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik c. Jamsostek/Perusahaan ( Asuransi ) a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP b) Melampirkan SJP ( Surat Jaminan Pelayanan ) dari perusahaan /Jamsostek c) Melampirkan Surat Jaminan dan Bukti Pelayanan Rawat Inap yang dikeluarkan oleh pelayanan administrasi rawat inap (ASLI) d) Membawa SEP (Surat Elegibilitas Peserta)serta lembar diagnosa dan tindakan yang dikeluarkan oleh pelayanan administrasi rawat jalan (ASLI) e) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik d. Jaminan Sosial Kesehatan Daerah a) Membawa formulir permintaan pemeriksaan Laboratorium Mikrobiologi Kilinik dari Dokter Spesialis ( Dokter Penanggung Jawab Pasien ) b) Melampirkan Surat Jaminan dan Bukti Pelayanan Rawat Inap yang dikeluarkan oleh pelayanan administrasi rawat inap ( ASLI) c) Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI) d) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Kilinik"
3,Sistem Mekanisme dan Prosedur,"RAWAT JALAN a. Pasien /keluarga pasien datang dari poliklinik rawat jalan dan dari klinik di luar rumah sakit dengan membawa blanko permintaan pemeriksaan laboratorium dan status pasien. b. Registrasi diloket administrasi laboratorium Mikrobiologi Klinik Pasien mengambil botol/tempat specimen pemeriksaan c. Pengambilan specimen di Lab. Mikrobiologi Klinik atau Pasien kembali ke dokter poli untuk dimbil specimen kliniknya d. Pasien menyerahkan specimen ke bagian loket administrasi e. Pasien menunggu rincian administrasi laboratorium. Jika Pasien dengan pembayaran melalui BPJS menunjukkan persyratan Formulir verifikasi f. Pasien ke loket pembayaran rawat inap/Rawat Jalan g. Setelah menyelesaikan pembayaran pasien kembali ke Lab. Mikrobiologi Klinik h. Pasien menerima formulir pengambilan hasil pemeriksaan i. Pasien kembali dating pada tanggal pengambilan dan menerima hasil pemeriksaan j. Pengetikan hasil pemeriksaan laboratorium dilakukan oleh petugas administrasi laboratorium mikrobiologi klinik, dikoreksi oleh dokter spesialis Mikrobiologi klinik dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Mikrobiologi klinik k. Hasil pemeriksaan laboratorium di serahkan ke pasien sesuai dengan tanggal pengambilan hasil yang sudah di tentukan oleh petugas administrasi laboratorium RAWAT INAP a. Pasien/ Keluarga pasien datang dari ruang rawat inap rumah sakit dengan membawa blanko permintaan pemeriksaan laboratorium dan status pasien. b. Registrasi diloket administrasi laboratorium Mikrobiologi klinik c. Perawat / keluarga Pasien Mengambil botol/ tempat specimen pemeriksaan d. Perawat / keluarga pasien kembali ke ruang rawat inap menyerahkan tempat specimen pemeriksaan ke perawat rawat inap e. Perawat / keluarga pasien menyerahkan specimen ke bagian loket administrasi"
4,Jangka Waktu Pelayanan,a. Pemeriksaan hapusan langsung : Turn Around Time (TAT/ Waktu tunggu ) 1x24 jam b. Pemeriksaan kultur bakteri aerob specimen darah /cairan tubuh steril dan tes sensitifitas anti mikroba menggunakan alat Bact/alert dan vitek 2 (Otomatic System): Turn Around Time (TAT/ Waktu tunggu ) 5 sampai 7 hari RAWAT JALAN RAWAT INAP PENDAFTARAN N BPJS NON BPJS RUANG KASIR BPJS PENGAMBILAN SAMPLE SA RUANG POLIKLINIK POLLIKLINI K PROSES HASIL KEMBALI KE DOKTER PENGIRIM c. Pemeriksaan kultur bakteri aerob untuk identifikasi dan tes sensitifitas menggunakan Vitek 2 (Otomatic System):: Turn Around Time (TAT/ Waktu tunggu ) 3 sampai 5 hari d. Pemeriksaan Gen-expert TB : Turn Around Time (TAT/ Waktu tunggu ) 1x24 jam e. Pemeriksaan kultur jamur untuk identifikasi dan tes sensitifitas anti jamur menggunakan Vitek 2 (Otomatic System): Turn Around Time (TAT/ Waktu tunggu ) 7 sampai 14 hari f. Pemeriksaan Lam TB: Turn Around Time (TAT/ Waktu tunggu ) 1x24 jam
5,Biaya/Tarif,Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Pasien umum berdasarkan Peraturan Gubernur Tentang pola tarif dan tata cara pemungutan jasa pelayanan kesehatan pada pola pengelolaan keuangan BLUD RSUD dr. Abdul Moeloek Provinsi Lampung No 18 Tahun 2023 f. Pasien BPJS berdasarkan tarif INA-CBGs
6,Produk Layanan,"a. Pemeriksaan hapusan langsung berbagai spesimen klinik seperti pengecatan Gram, Ziehl-Neelsen untuk basil tahan asam, Neisser untuk difteri, pengecatan KOH untuk morfologi Yeast dan jamur, pengecatan tinta india untuk mengamati Cryptococcus sp, b. Pemeriksaan kultur aerob dan tes kepekaan antibiotik /uji resistensi antibiotik bermanfaat dalam mendeteksi bakteri pathogen penyebab infeksi dan untuk menunjang Program Pengendalian Resistensi Antibiotik (PPRA) dan Program Pengendalian Infeksi (PPI) c. Pemeriksaan kultur jamur dan tes kepekaan anti jamur /uji resistensi anti jamur bermanfaat dalam mendeteksi pathogen jamur penyebab infeksi dan untuk menunjang Program Pengendalian Resistensi Antibiotik (PPRA) dan Program Pengendalian Infeksi (PPI) d. Pemeriksaan MDR-TB (Multi Drugs Resistant Tuberculosis) Genexpert e. Pemeriksaan LF LAM-TB bermanfaat untuk diagnosis TB dari sampel urin"
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,a. Fasilitas Ruangan a) Ruang Administrasi/Pendaftaran b) Ruang Tunggu Pasien c) Ruang Pengambilan sampel d) Ruang Aula e) Ruang Kepala Instalasi f) Ruang Kepala Ruangan g) Ruang Dokter/Ruang Konsul h) Ruang Reagensia i) Ruang Preparasi sampel kultur dan resistensi j) Ruang Preparasi sampel TB GenExpert k) Ruang pembuatan media l) Ruang cetak media m) Ruang Sterilisasi media (Sterilisasi basah) n) Ruang Pewarnaan o) Ruang Mikroskop p) Ruang Alat Vitex 2 Compac dan TB GenExpert q) Ruang Arsip Kering( Slide) r) Ruang Arsip Laporan s) Ruang Makan b. Fasilitas Peralatan a) Ruang Preparasi sampel kultur dan resistensi ✓ Inkubator aerob ✓ Kulkas sampel ✓ BSC Biobase ✓ Tabung reaksi kecil ✓ Mikro Pipete ✓ Tip ✓ Objek Glass ✓ Deck Glass ✓ Tisu ✓ Alat Tulis ✓ Kran Air ( Wastafel) ✓ Handwash b) Ruang Pewarnaan ✓ Objek Glass ✓ Rak pengecatan ✓ Kran air ( Wastafel) ✓ Handscoon ✓ Alat tulis kantor ✓ Handwash c) Ruang Mikroskop ✓ Mikroskop ✓ Minyak imersi ✓ Kertas Lensa ✓ Tissue ✓ Hair dryer ✓ Handscoon d) Ruang Preparasi TB GenExpert ✓ BSC ✓ Lemari BPH ✓ Wastafel ✓ Handwash ✓ Rak Pengecatan e) Ruang Reagensia dan Pencetakan Media ✓ Oven kering ✓ Kulkas media ✓ Kulkas reagen ✓ Lemari media ✓ Lemari BHP ✓ Lampu Bunsen ✓ Wastafel ✓ Handwash f) Ruang Pembuatan Media ✓ Timbangan elektrik ✓ Hotplate g) Ruang Sterilisasi Basah ✓ Autoclave ✓ Wastafel ✓ Handwash h) Ruang Aula ✓ Meja U Shape ✓ Kursi ✓ Layar Monitor ✓ LCD ✓ Lemari Berkas i) Ruang Kepala Instalasi ✓ Meja ✓ Kusi ✓ Sofa ✓ Lemari j) Ruang Alat ✓ Vitex 2 Compac ✓ Back Alert ✓ Alat TCM GenExpert ✓ Printer ✓ Komputer ✓ Meja ✓ Kursi k) Ruang Pengambilan Sampel ✓ Bad Pasien ✓ Meja ✓ Kursi ✓ Toilet ✓ Handwash l) Ruang Administrasi ✓ Komputer ✓ Printer ✓ Meja ✓ Kursi ✓ I phone ✓ Meja penerimaan sampel m) Ruang Tunggu Pasien ✓ Kursi tunggu pasien
9,Kompetensi Pelaksana,a. Dokter spesialis Mikrobiologi Klinik memiliki STR dan SIP b. Ahli Teknologi Laboratorium Medis yang memiliki STR dan SIP
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
