NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang - undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang - Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang – Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-425-2020 tentang Standar Profesi Perawat; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap melalui IGD/Poliklinik/ruang rawat inap lainnya dengan kasus Operasi b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS Dibutuhkan kartu BPJS, KTP/KK, pengantar dari ruang rawat inap dan rujukan dari IGD, untuk penerbitan SJP dan SEP b) Pasien peserta Jamkesda Dibutuhkan kartu KTP dan KK Bandar Lampung, Buku nikah dan surat keterangan dirawat dari ruang rawat inap, untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP)"
3,Sistem Mekanisme dan Prosedur,"a. Menerima surat pengantar dirawat dari IGD / poliklinik / ruang rawat lain yang dibawa oleh petugas /atau pasien / keluarga pasien b. Melakukan wawancara untuk menentukan kelas ruang perawatan c. Memperhatikan kelas jaminan seperti BPJS, Jaminan Perusahaan, Jaminan Kesehatan Masyarakat Miskin dll d. Menjelaskan tarif ruangan kepada pasien dan keluarganya yang memerlukan e. Pasien rujukan, Setelah mendapat advis dari DPJP, pasien di transfer keruang perawatan tergantung kondisi pasien Penanganan / tindakan dilakukan kamar operasi IBS. Setelah itu pasien dipindahkan keruang perawatan sesuai kelas f. Penyelesaian administrasi / pembayaran di kasir ( khusus pasien umum) dan pasien asuransi (BPJS/Kesda/Dinas Sosial) cukup di administrasi ruang rawat inap g. Pasien Keluar Rumah Sakit"
4,Jangka Waktu Pelayanan,a. Pelayanan Operasi terencana dari Jam 07.30 WIB s/d jam14.00 WIB b. Pelayanan Operasi cyto dilayani dalam 24 jam.
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Tindakan Operasi Terencana dan Operasi Cyto(tidak terencana)
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi","Keluhan atau komplain disampaikan melalui sarana yang disediakan oleh RSUD Dr. H. Abdul Moeloek Provinsi Lampung antara lain: a) Website : rsudam.lampungprov.go.id b) Email : rsudam@lampungprov.go.id humasrsudam23@gmail.com c) Fb : Rumah Sakit Abdul Moeloek d) Ig : @rsamlampung e) Telephone : 0721)703312, 702455 f) SMS/WA : 082181824557 g) Kotak Saran h) Aduan langsung"
8,Sarana Prasarana / Fasilitas,"a. Instalasi Bedah Sentral Adalah suatu unit khusus di rumah sakit, tempat untuk melakukan tindakan pembedahan, baik elektif maupun akut yang membutuhkan keadaan suci hama (Steril). Berada di lantai 2 gedung Instalasi Bedah Sentral yang terdiri dari: a) Ruang Administrasi b) Ruang tunggu pengantar c) Ruang transfer d) Ruang ganti pakaian petugas e) Ruang dokter dan perawat f) Ruang Penerimaan g) Ruang tunggu pasien h) Ruang operasi i) Ruang pemulihan j) Ruang Makan(pantry) k) Ruang cuci tangan l) Ruang resusitasi bayi m) Ruang Instrumen steril n) Ruang Utylisasi ( kotor) o) Ruang diskusi (Aula) p) Kamar mandi dan WC q) Depo Farmasi r) Laboratorium VC"
9,Kompetensi Pelaksana,"a. Dokter Spesialis Bedah Umum, memiliki STR dan SIP b. Dokter Spesialis Bedah Onkologi, memiliki STR dan SIP c. Dokter Spesialis Bedah Urologi, memiliki STR dan SIP d. Dokter spesialis Kebidanan kandungan (Spesialis Obstetri dan Ginekologi), memiliki STR dan SIP e. Dokter spesialis Konsultan Onkologi Kebidanan kandungan (Spesialis Obstetri dan Ginekologi), memiliki STR dan SIP f. Dokter Spesialis Bedah Orthopedi, memiliki STR dan SIP g. Dokter Spesialis Bedah Plastik Rekonstruksi dan Estetika, memiliki STR dan SIP h. Dokter Spesialis Bedah Mata, memiliki STR dan SIP i. Dokter Spesialis Bedah THT,KL, memiliki STR dan SIP j. Dokter Spesialis Bedah Mulut, memiliki STR dan SIP k. Dokter Spesialis Bedah Anak, memiliki STR dan SIP l. Dokter Spesialis Bedah Saraf, memiliki STR dan SIP m. Dokter Spesialis Bedah Toraks Kardiac dan Vaskular, memiliki STR dan SIP n. Perawat Pelaksana instalasi bedah sentral, dengan sertifikat Pelatihan Kamar Bedah (HIPKABI), minimal pengalaman kerja Rumah Sakit 1 tahun, memiliki STR dan SIP o. Petugas Radiologi/ Petugas Laborat/ Petugas administrasi/ Petugas Farmasi p. Tenaga Pekarya Rumah Tangga"
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
