NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. UndangUndangRepublikIndonesiaNomor17tahun20 23 tentangKesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/MENKES/PER/IV/2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/MENKES/PER/VIII/2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Kesehatan Republik Indonesia nomor 47 tahun 2018 tetntang Pelayanan Kegawatdaruratan n. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; o. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan RSUD Dr. H. Abdul Moeloek Provinsi Lampung; p. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; q. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"Pasien datang di Ruang PJT Klinis Lt 1, pasien diantar oleh petugas IGD / Instalasi Rawat Jalan. a. Pengurusan Jaminan Pelayanan BPJS dilakukan oleh petugas administrasi ruangan PJT Klinis. b. Pasien Umum Mengurus persyaratan administrasi kemudianmembayar biaya administrasi di kasir c. Pasien Jasa Raharja Mengurus persyaratan penjaminan biaya perawatan d. Pasien peserta Jamkesda Dibutuhkan kartu KTP dan KK Bandar Lampung untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP e. Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan a) Perawat PJT Klinis menerima pasien baru, dan melakukan overan dengan petugas IGD / IRJ dengan melihat catatan dalam ecalyptus. b) Perawat PJT Klinis melaporkan kondisi pasien baru kepada DPJP ruangan. c) Perawat PJT Klinis melaksanakan intruksi dari DPJP ruangan. d) Perawat PJT Klinis melakukan asuhan keperawatan sesuai dengan tingkat ketergantungan pasien. e) Perawat PJT Klinis mendampingi visite DPJP dan melakukan tindakan sesuai dengan advis yang diberikan. f) Perawat PJT Klinis melaksanakan pencatatan dan pelaporan pasien melalui EMR ( Ecalyptus ) g) Perawat PJT Klinis melaksanakan overan shift dengan cara pre compre setiap pergantian shift. h) Perawat PJT Klinis melakukan ronde keperawatan setiap shift. i) Perawat PJT Klinis memberikan bimbingan ( Perceptorshift ) kepada mahasiswa keperawatan sesuai dengan SK Perceptor yang diterima dari Diklat RSAM. j) Perawat PJT Klinis mempersiapkan pasien yang akan dilakukan tindakan DCA / PCI / PPM / TPM dan melakukan perawatan pasien post tindakan tersebut. k) Setelah pasien dinyatakan boleh keluar dari RS, keluarga. Pasien melakukan pengurusan administrasi untuk : ✓ Pulang dengan lanjutan Kontrol poliklinik ✓ Rujuk ke RS yang lebih tinggi."
3,Sistem Mekanisme dan Prosedur,-
4,Jangka Waktu Pelayanan,Setiap Hari : 24 jam
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,a.Perawatan Pasien b.Pelayanan Pemeriksaan Penunjang c.Pelayanan Tindakan Medik Non Operatif d.Pelayanan Tindakan Medik Operatif e.Pelayanan Obat f. Pelayanan Ambulance/Mobil Jenazah g.Pelayanan Pemulasaraan Jenazah
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website: rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon:(0721)703312 d. 4.SMS/WA:082181824557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Ketentuan Umum Fisik Bangunan a. Luas bangunan Ruang PJT Klinis disesuaikan dengan beban kerja RS. b. Lokasi gedung berada dibagian belakang area RS di gedung Non Bedah lantai 1 c. Ruang PJT Klinis memiliki kapasitas 45 tempat tidur, terdiri dari rawat inap kelas1( 8 TT),kelas 2(12TT),kelas 3(25TT) d. Ruang PJT Klinis melayani pasien dengan Pulang dengan lanjutan kontrol poliklinik Rujuk ke RS yang lebih tinggi diagnosa cardiovaskuler,pasien persiapan dan post op tindakan PCI/DCA,TP dan TPM,PPM e. Ruang PJT Klinis memiliki alat Tensi meter,Termometer digital,oxymeter,timbabangan BB,EKG,monitor,syringpump,ambu bag,troley emergency, f. Memiliki ruang :Ruang Koordinator dan penyimpanan alkes,ruang istirahat perawat,ruang obat,ruang dapur bersih, ruang cuci pring,ruang Pekarya dan gudang alat,ruang Kepala Ruangan,Ruang Mahasiswa dan coas, toilet pria dan wanita,Mushola"
9,Kompetensi Pelaksana,"a. Kepala Instalasi b. Manajer Pelayanan c. Kepala Ruangan d. Koordinator e. Dokter DPJP Jantung f. Perawat Pelaksana pendidikan minimal D3 Keperawatanserta memiliki STR dan SIP g. Tenaga Administrasi,Pekarya Rumah tangga"
10,Pengawasan Internal,a. SatuanPengawasInternalRumahSakit(SPI) b. DewanPengawas c. Direktur d. AtasanLangsung
