NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; m. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; n. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; o. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk ruang rawat inap melalui IGD/Poliklinik/ruang rawat lainnya. b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS Dibutuhkan kartu BPJS, KTP/KK, pengantar dari ruangan dan rujukan dari IGD, untuk penerbitan SJP dan SEP. b) Pasien peserta Jamkesda Dibutuhkan kartu KTP dan KK Bandar Lampung, dan surat keterangan dirawat dari ruang bedah, untuk mendapatkan klaim bayar dari Dinas Kesehatan Kota guna penerbitan SJP. c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan. d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP) ."
3,Sistem Mekanisme dan Prosedur,"a. Alur pasien masuk ke ruang bedah melalui , Instalasi gawat darurat (IGD) poli klinik, rawat ruang lain nya. b. Pasien dengan kasus gawat darurat yang mengancam nyawa bisa dilakukan tindakan cyto oprasi melalui igd semua persiapan di lakukan di ugd. c. Pasien yang di rencanakan tindakan pembedahan terencana atau elektif bisa melalui poliklinik. Semua di persiapkan seperti laboratorium, radiologi, consulconsul tim dokter lainnya seperti consul jantung, consul penyakit dalam, consul anastesi dll di lakukan di poli klinik. Selanjutnya penjadwalan oprasi di lakukan di poli klinik setelah terjadwal oprasi 1 hari sebelum tindakan pasien masuk rawat inap untuk perawatan oprasi. d. Jika pasien dari poliklinik, igd dan dari ruangan lain yang di rencanakan tindakan oprasi tetapi kondisi belum memungkinkan akan di lakukan perbaikan dan di evaluasi sesuai dengan kondisi dan keluhan pasien. Jika kondisi pasien sudah stabil dan layak untuk di lakukan tindakan pembedahan pasien akan di persiapkan cosul2x dan penjadwalan tindakan oporasi. e. Sebelum tindakan pembedahan DPJP akan menjelaskan rencana yang akan di lakukan. f. Setelah di beri penjelasan olek dpjp atau perawat klg pasien menandatangani surat persetujuan oporasi ( SIO). g. Selanjutnya Petugas ruangan mendaftarkan nama pasien, no register,DPJP,DX,Rencana tindakan, kebagian kamar oprasi. h. Pasien dan keluarga di jelaskan untuk persiapan puasa sebelum tindakan oprasi. i. Saat di antar ke kamar oprasi pasien di dampingi oleh perawat ruangan. j. Saat pasien selesai tindakan pembedahan pasien di jemput oleh petugas dan perawat jaga, saat di kamar oprasi operan dengan perawat ruang recorveri (RR). k. sampai di ruangan pasien di evaluasi ttv dan mengecek alat apa saja yg terpasang di pasien seperti infus, drain, ngt, kateter dll. l. selanjut nya keluarga dan pasien di jelaskan pasca oprasi kapan boleh makan dan minum serta kapan boleh mobilisasi. m. Selama perawatan pasien di visite oleh DPJP. n. Setelah kondisi pasien memungkinkan untuk rawat jalan pasien dan keluarga di informasikan untuk kontrol di poli klinik sesuai jadwal DPJP. o. Selanjutnya di persiapakan proses pemulangan pasien seperti obat pulang, resuime dan surat kontrol."
4,Jangka Waktu Pelayanan,Pelayanan rawat inap di ruang bedah tidak ada hari libur Tindakan oprasi di ruang bedah ada 2 cara (cito dan Elektif). Cito adalah penanganan yg segera Elektif adalah tindakan oprasi terencana atau terjadwal.
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,Perawatan ruang bedah
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,a. Ruang bedah memiliki 20 kamar rawat inap b. Kapasitas ruang bedah lantai 1 70 tempat tidur c. Di lengkapi dengan ruang tunggu pasien dan Mushola pengunjung d. Di lengkapi dengan ruang cuci luka bakar e. Setiap kamar berisi 4 tempat tidur
9,Kompetensi Pelaksana,a. Dokter spesialis Bedah Dan konsulen sesuai dengan ke ilmuan nya dan memiliki STR dan SIP. b. Case Manager seoraang dr umum memiliki STR dan SIP. c. Manager Pelayanan Seorang Ners yang memiliki STR dan Sip. d. Kepala Ruangan Seorang Ners yang memiliki STR dan SIP. e. Tenaga Perawat memiliki STR dan SIP. f. Tenaga Pekarya Rumah Tangga.
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
