NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang – undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang – undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang – undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang – undang Republik Indonesia Nomor 44 tahun 2009 tentang Rumah Sakit; e. Undang – undang Republik Indonesia Nomor 17 tahun 2023 tentang kesehatan ; f. Peraturan Pemerintah Nomor 47 tahun 2021 tentang Penyelenggaraan bidang Perumahsakitan; g. Peraturan Menteri kesehatan Republik Indonesia Nomor 5025 / MENKES / PER / IV / 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691 / MENKES / PER / VIII / 2011 tentang keselamatan pasien rumah sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436 / MENKES / SK/ VI / 1993 tentang penerapan Standar Pelayanan Medik; j. Keputusan Menteri kesehatan Nomor 1333/ Menkes / SK/ XII / 1999 tentang Satandar Pelayanan Minimal Rumah Sakit; k. Keputusan Menteri kesehatan Nomor 129 / MENKES / SK/ II / 2008 tentang standar pelayanan Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK .01.07-MENKES-320-2020 tentang standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 tahun 2014 tentang Standar pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 Tahun 2023 tentang Pedoman Pengelolah Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah Sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai unit kerja Organisasi perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Pasien masuk ruan Hemodialisa melalui IGD / Poliklinik, Rawat Inap dengan kasus AKI (Acut Kidney Injuri ) atau CKD ( Chronik Kidney Dialisi ) yang sudah mendapatkan advis tindakan Hemodialisis dari dokter Spesialis Penyakit Dalam Konsultan Ginjal Hipertensi ( dr.Sp.PD-KGH); b. Pasien CKD On HD yang dating keruang Hemodialisis untuk mendapatkan tindakan Hemodialisis rutin sesuai dengan Advis Dokter Sp.PD-KGH; c. Pasien CKD On HD Traveling yang HD sementara di Ruang HD RSAM kerena suatu keperluan atau pindahan dari unit HD lain; d. Pasien CKD stadium V yang mendapatkan Advis dari Dokter Sp.PD-KGH untuk menjalani therapi Dialisis dengan Consinions Peritonal Dialisis ( CAPD ) Ambulatory perlu tindakan pemasangan tankchoft CAPD ( Operator dokter Sp.PD-KGH ); e. Pasien CKD stadium V yang perlu menjalami therapy Hemodialisis, dan perlu pemasangan Akses Vaskular Chateter Double Lumen ( CDL) Operator Dokter Sp.PdKGH; f. Pasien CKD on HD yang akan konsul ke dokter Sp.PDKGH; g. Pasien CKD on CAPD yang akan konsul ke dokter Sp.PD-KGH dan Amprah Rutin Cairan CAPD ( Dianeal); h. Pasien CKD on CAPD : a) Ganti transfer set CAPD ( tiap 6 bulan sekali ) b) Melakukan tindakan PET ( Peritoneal Equilibrium Test ) c) Melakukan KT/V CAPD ( Koofision Ultrafiltrasi; i. HD cyto dari ruang Rawat Inap harus ada Advis tindakan HD dari dokter Sp.PD-KGH Kelengkapan administra : a. Perserta BPJS / ASKES a. Rujukan Puskes / Faskes Pertama b. Rujukan Faskes Tingkat 2 c. Kartu BPJS / ASKES d. Kartu KK e. KTP b. Pasien UMUM : a) Mendapatkan Nomor Rekam Medik Melalui Poliklinik Ginjal Hipertensi atau IGD b) Kartu KK c) KTP d) Pernyataan bersedia pembayaran pasien Umum"
3,Sistem Mekanisme dan Prosedur,"a. Paien Rawat Jalan a) Untuk pasien HD rutin BPJS/ASKES: b) Meminta Rujukan puskes atau faskes pertama ke HEMODIALISA RSAM c) Meninta rujukan puskes ke Ginjal Hipertensi RS tipe C dan melakukan permintaan rujukan Online Ginjal Hipertensi RSAM d) Membawa kartu BPJS / ASKES, KK, dan KTP e) Registrasi dan melakukan Finger Print dan Penerbitan SEP dan SJP f) Paien dilakukan Tindakan HD Untuk Pasien Umum : a) Ada Advis tindakan HD dari dokter Sp.PdKGH b) Registrasi c) Bayar di kasin RSAM d) Pasien dilakukan Tindakan HD Tindakan di masukkan ke dalam komputerisasi SIM RS atau ECALYPTUS Pasien CAPD BPJS : a. Membawa Rujukan dari faskes ke 2 Ginjal Hipertensi b. Kartu BPJS, KK , dan KTP c. Registarasi ke poli Ginjal Hipertensi / poli CAPD d. Control SpPD-KGH e. Mendapatkan resep therapy CAPD f. Verifikasi Resep ke bagian Farmasi dan membawa resep ke PT Enseval g. PT Enseval cairan deaneal ke alamat pasien h. Untuk pengantian Transper set dilakukan poli CAPD i. Tindakan di masukan ke dalam komputerisasi SIM RSAM dan ECALYPTUS b. Pasien Rawat Inap a) Ada advis untuk tindakan HD , CAPD, Atau Pemasangan CDL dari SpPD-KGH b) Petugas rawat inap mendaftarkan pasien ke ruang HD Atau Intervensi , membawa MR, Hasil pemeriksaan Lab: Hb, Ureum, Creatinin, HbSAg, Anti HCV, dan Anti HIV c) Ruang rawat menunggu panggilan dari Ruang Hemodialisa atau intervensi d) Petugas rawat mengantar pasien ke ruang HD atau Intervensi e) Keluarga atau pasien menandatangani persetujuan tindakan HD , Pemasangan Tankchoft CAPD atau CDL sesuai Advis ( Infom consent ) f) Pasien dilakukan tindakan HD / CAPD/ CDL sesuai Advis g) Setelah HD / CAPD / CDL , selesai pasien kembali ke rawat inap dan dijemput oleh petugas rawat inap h) Membuat laporan tertulis dilist pasien i) Memasukan tindakan komputerisasi SIM RSAM atau ECALYPTUS Catatan: a. untuk pasien meninggal sebelum tindakan HD, On HD atau setelah tindakan HD b. Dokter membuat laporan kematian pasien c. Pasie dikirim ke ruang forensic d. Jika pasien dari rawat inap lapor ke ruang rawat inap bahwa pasien meninggal."
4,Jangka Waktu Pelayanan,a. Tindakan HD inisiasi sesuai dengat advis dokter SpPD-KGH b. Tindakan HD rutin 4 sampai 5 jam c. Pemasangan Tankchoft CAPD 1 jam d. Pemasangan CDL 30 menit e. Konsul dokter 15 menit
5,Biaya/Tarif,Mengacu pada : a. PP Nomor 12 tahun 2013 tentang jaminan kesehatan nasional b. PP Nomor 28 tahun 2016 tentang perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang program jaminan kesehatan nasional d. PMK Nomor 64 tahun 2016 tentang standar tarif jaminan kesehatan nasional e. Peraturan daerah provinsi Lampung Nomor 1 tahun 2011 tentang tariff pelayanan kesehatan pada RSAM provinsi lampung f. Pergub Nomor 6 tahun 2019 tentang tarif pelayanan kesehatan di RSAM provinsi lampung
6,Produk Layanan,"Hemodialisis, CAPD, poli Ginjal Hipertensi, Intervensi pemasangan Tankchoft CAPD , dan CDL"
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telepon : 0721 – 703312 d. SMS / WA : 082181824557 e. Pengaduan langsung : unit layanan terpadu gedung rawat jalan f. Kotak saran : setiap area Publik RSUD Abdul Moeloek provinsi lampung
8,Sarana Prasarana / Fasilitas,"a. Ruang Hemodialisis 2 lantai b. Mesin Hemodialisa 42 Unit Mesin ( 40 unit mesin untuk pasien Regular , 1 unit mesin untuk tindakan HD cyto di IGD , 1 unit mesin untuk tindakan HD pasien ICU ) c. 42 bed elektrik d. Oksigen sentral 12 titik e. Oksigen Tabung f. Lemari pasien 40 g. Kursi tunggu pasien h. Tv kabel i. AC j. Watafel k. Carport l. EKG m. Monitor Dfibrilator + ambulator n. Obat-obatan untuk kegawat daruratan sesuai kebutuhan yang disimpan dalam troly emergensi o. Toilet Umum p. Toilet Petugas q. Dokumen rekam Medik r. Ruang Tunggu Pasien full AC s. Depo farmasi t. Gudang cairan u. Gudang Alat set HD v. Ruang Reservois Osmosis ( RO) w. Aula Lantai 2 x. Dapur Mini di Lantai 1 y. Ruang Ganti Pakaian perawat Ruang Tindakan Intervensi : a. Meja Operasi b. Lampu Operasi c. Troly Emergensi d. Meja Mayo e. Tiang Infus f. Usg g. Lemari Obat-Obatan dan alat Tenun h. Ruang Tunggu Pasien i. AC Poli CAPD / Ginjal Hipertensi a. Ruang tunggu b. Meja konsul c. Komputer d. Ruang ganti cairan ( meja , kursi, dan tiang infus) e. Ruang Training CAPD f. Aula g. Toilet Umum h. Toilet Petugas i. Wastafel j. AC"
9,Kompetensi Pelaksana,"a. Dokter SpPD-KGH memiliki sertifikat STR dan SIP yang masih berlaku b. Dokter umum memiliki sertifikat dialisis STR dan SIP yang masih berlaku c. Perawat yang memiliki sertifikat dialisis, STR dan SIPP yang masih berlaku dengan PK II,III, dan IV d. Petugas Administrasi dan Pekarya RT e. Petugas Farmasi f. Teknisi mesin HD"
10,Pengawasan Internal,a. Satuan pengawasan Internal Rumah Sakit (SPI) b. Dewan pengawas c. Direktur d. Atasan Langsung
