NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. Keputusan Menteri Kesehatan Republik Indonesia No. HK.01.07-MENKES-320-2020 tentang Standar Profesi Bidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"a. Rawat Jalan a) Pasien Umum ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Kilinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP) ✓ Melampirkan kuitansi Pembayaran Pemeriksaan Laboratorium Patologi Klinik ✓ Bukti slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Kilinik b) BPJS ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP ✓ Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI ) ✓ Bukti slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Klinik c) Jamsostek / Perusahaan ( Asuransi ) ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP ✓ Melampirkan SJP ( Surat Jaminan Pelayanan ) dari perusahaan /Jamsostek ✓ Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI ) ✓ Bukti slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Klinik d) Jaminan Sosial Kesehatan Daerah ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Klinik Spesialis (Dokter Penanggung Jawab Pasien /DPJP) ✓ Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang dikeluarkan oleh pelayanan administrasi rawat jalan ( ASLI ) ✓ Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Klinik e) Ikatan Kerjasama ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien ✓ /DPJP)Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Klinik ✓ Tagihan dikirimkan setiap bulan ke Fasyankes yang bersangkutan b. Rawat Inap a) Umum ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP ✓ Menyerahkan Kuitansi pembayaran pemeriksaan Laboratorium Patologi anatomi ke ruang rawat inap. ✓ Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Mikrobiologi Klinik b) BPJS ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP ✓ Melampirkan Surat Jaminan dan Bukti Pelayanan Rawat Inap yang dikeluarkan oleh pelayanan administrasi rawat inap ( ASLI ) ✓ Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI) ✓ Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Klinik c) Jamsostek/Perusahaan ( Asuransi ) ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP ✓ Melampirkan SJP ( Surat Jaminan Pelayanan ) dari perusahaan /Jamsostek ✓ Melampirkan Surat Jaminan dan Bukti Pelayanan Rawat Inap yang dikeluarkan oleh pelayanan administrasi rawat inap (ASLI) ✓ Membawa SEP (Surat Elegibilitas Peserta)serta lembar diagnosa dan tindakan yang dikeluarkan oleh pelayanan administrasi rawat jalan (ASLI) ✓ Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Klinik d) Jaminan Sosial Kesehatan Daerah ✓ Membawa formulir permintaan pemeriksaan Laboratorium Patologi Klinik dari Dokter Spesialis ( Dokter Penanggung Jawab Pasien ) ✓ Melampirkan Surat Jaminan dan Bukti Pelayanan Rawat Inap yang dikeluarkan oleh pelayanan administrasi rawat inap ( ASLI) ✓ Membawa SEP ( Surat Elegibilitas Peserta ), serta lembar diagnosa dan Tindakan yang di keluarkan oleh pelayanan administrasi rawat jalan ( ASLI) ✓ Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Klinik"
3,Sistem Mekanisme dan Prosedur,"RAWAT JALAN a. Pasien /keluarga pasien datang dari poliklinik rawat jalan dan dari klinik di luar rumah sakit dengan membawa blanko permintaan pemeriksaan laboratorium dan status pasien. b. Registrasi diloket administrasi laboratorium Patologi Klinik c. Pasien menunggu rincian administrasi laboratorium. Jika Pasien dengan pembayaran melalui BPJS menunjukkan persyratan Formulir verifikasi d. Pasien ke loket pembayaran rawat inap/Rawat Jalan e. Setelah menyelesaikan pembayaran pasien kembali ke Lab. Patologi Klinik f. Pengambilan specimen di Lab. Patologi Klinik g. Pasien menerima formulir pengambilan hasil pemeriksaan h. Pengetikan hasil pemeriksaan laboratorium dilakukan oleh petugas ATLM, divalidasi oleh Tenaga ATLM dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi klinik i. Hasil pemeriksaan laboratorium di serahkan ke pasien sesuai dengan tanggal pengambilan hasil yang sudah di tentukan oleh petugas administrasi laboratorium RAWAT INAP a. Pengambilan sampel pasien dari ruang rawat inap dilakukan oleh petugas laboratorium b. jika diminta pemeriksaan laboratorium diluar jam sampling reguler laboratorium ( Jam 8.00 sd 10.00 WIB ), maka sampel diambil oleh perawat dan di kirim ke laboratorium.Perawat ruangan dapat langsung membawa formulir permintaan pemeriksaan laboratorum yang sudah di work order bersama dengan sampel Kecuali pemeriksaan tertentu yang mengharuskan petugas laboratorium yang mengambil sampel nya ( Pemeriksaan AGD ) c. Dilakukan pembilingan oleh petugas administrasi Laboratorium klinik d. Petugas Laboratorium melakukan pengelolaan / pemeriksaan sampel e. Petugas Laboratorium melakukan Otorisasi dan Print Out hasil pemeriksaan f. Petugas Laboratorium melakukan Verifikasi hasil pemeriksaan g. Petugas Laboratorium melakukan menyerahkan hasil pemeriksaan. INSTALASI GAWAT DARURAT ( IGD ) a. Pengambilan sample pasien IGD di lakukan oleh petugas Laboratorium yang datang ke ruang IGD dengan menyertakan formulir pemeriksaan laboratorium . b. Waktu pengambilan sampel 24 jam, sesuai instruksi dari petugas IGD. c. Pembilingan pemeriksaan dilaksanakan oleh petugas administasi Laboratorium d. Petugas Laboratorium melakukan pengelolaan / pemeriksaan sampel e. Petugas Laboratorium melakukan Otorisasi dan Print Out hasil pemeriksaan f. Petugas Laboratorium melakukan Verifikasi hasil pemeriksaan g. Petugas Laboratorium melakukan menyerahkan hasil pemeriksaan. PASIEN UMUM ATAS PERMINTAAN SENDIRI/KERJASAMA a. Pasien dari laboratorium luar/rumah sakit luar/pasien atas permintaan sendiri.Pasien dari luar dapat didaftarkan sebagai pasien Rumah Sakit sehingga memiliki nomor Rekam Medik (MR) atau didaftarkan sebagai pasien luar dengan MR 00. b. Jika laboratorium atau Rumah Sakit perujuk telah memiliki kerjasama dengan laboratorium RSUDAM maka pemeriksaan terhadap sampel dapat langsung dikerjakan dengan menyerahkan surat jaminan Formulir kepada petugas laboratorium. c. Bagi pasien yang meminta permintaan laboratorium tanpa disertai surat pengantar dari dokter/atas permintaan sendiri (APS) wajib melunasi dulu biaya pemeriksaan laboratorium dan menyerahkan bukti lunas kepada petugas administrasi laboratorium sebelum sampling dapat dilakukan. d. Khusus pemeriksaan anti HIV penyaring pemeriksaan hanya dapat dilakukan apabila ada surat pengantar dari dokter (APS tidak dilayani). e. Pembilingan pemeriksaan dilaksanakan oleh petugas administasi Laboratorium f. Petugas Laboratorium melakukan pengelolaan / pemeriksaan sampel g. Petugas Laboratorium melakukan Otorisasi dan Print Out hasil pemeriksaan h. Petugas Laboratorium melakukan Verifikasi hasil pemeriksaan i. Petugas Laboratorium melakukan menyerahkan hasil pemeriksaan."
4,Jangka Waktu Pelayanan,a. TAT ( Turn Around Time ) Reguler : 120 Menit b. TAT ( Turn Around Time ) Cito : 90 Menit c. Turn Around Time ( Khusus) : > 120 Menit
5,Biaya/Tarif,Mengacu pada: a.PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Pasien umum berdasarkan Peraturan Gubernur Tentang pola tarif dan tata cara pemungutan jasa pelayanan kesehatan pada pola pengelolaan keuangan BLUD RSUD dr. Abdul Moeloek Provinsi Lampung No 18 Tahun 2023 f. Pasien BPJS berdasarkan tarif INA-CBGs
6,Produk Layanan,a. Faal Koagulasi a. Protrombine Time (PT) b. Activated Prorombine Time ( aPTT ) c. INR d. Fibrinogen e. D-Dimer f. BT/CT b. Haematologi a) Darah Rutin b) Morfologi Darah Tepi c) Morfologi Sumsum Tulang d) Sel LE e) Malaria f) Filaria g) Golongan Darah h) Hb Elektroforesis c. Kimia Klinik a) Test Fungsi Lever b) Test Fungsi Ginjal c) Profil Lipid d) Gula darah e) HbA1C f) CK-Nac g) CKMB h) LDH i) Serum Iron j) Elekrolit k) Lipase Amilase l) Analisa Gas darah d. Klinik Rutin a) Urine Lengkap b) Faeces c) Analisa LCS d) Analisa Cairan Pleura e) Analisa cairan CAPD f) Analisa cairan sendi g) Analisa cairan pericardial e. Imuno-Serologi a) HBsAg Rapid b) HBsAg Titer c) Anti HBs d) Anti HCV e) Anti HIV f) CRP g) RF h) ASTO i) NS-One j) TUBEX k) WIDAL l) TPHA m) VDRL n) T3 o) FT3 p) T4 q) FT4 r) TSH s) FTSH t) Feritin u) BHCG serum v) CEA w) PSA x) NARKOBA f. Biologi Molekuler a) HBV-DNA b) HCV-RNA c) Viral Load d) RT-PCR Covid e) Rapid Antigen f) CD4
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,a. Fasilitas Ruangan a) Ruang Administrasi/Pendaftaran b) Ruang Tunggu Pasien c) Ruang Pengambilan sampel d) Ruang Pemeriksaan e) Ruang Aula f) Ruang Kepala Instalasi g) Ruang Kepala Ruangan h) Ruang Dokter/Ruang Konsul i) Ruang Mikroskop j) Ruang Reagensia dan BHP k) Ruang Arsip Laporan l) Ruang Makan b. Fasilitas Peralatan a) Ruang Administrasi ✓ Meja billing ✓ Meja Supervisor ✓ Kursi ✓ Komputer billing ✓ Printer barcode ✓ Printer kwitansi ✓ Meja penerimaan sampel ✓ airphone b) Ruang Tunggu ✓ Kursi tunggu Pasien ✓ Hand wash c) Ruang Pengambilan sampel ✓ Bed pasien ✓ Kursi plebotomi ✓ Meja ✓ Kursi ✓ Wastafel ✓ Toilet ✓ Hand wash d) Ruang Pemeriksaan ✓ Ruang klinik rutin ➢ Urine automatic analyzer Cobas U 411 ➢ Automatic Urine Sedimen Urised 3 Pro ➢ Centrifuger ➢ Mikroskope ➢ Komputer ➢ Printer ➢ Meja ➢ kursi ✓ Ruang Hematologi ➢ Hematologi automatic analyzer ➢ Roll mixer ➢ Eritrosit sedimentasi rate ( LED ) ➢ Hb Elektroforesis ➢ Frend system analyzer ➢ Water bath ➢ Mikoskop ➢ Pipet mikro berbagai ukuran ➢ Slide ➢ Rak pewarnaan ✓ Ruang faal koagulasi ➢ Hemostasis analyzer ✓ Ruang kimia klinik ➢ Kimia automatic analyzer ➢ Elektrolit analyzer ➢ Hemoglobin testing System(HbA1C) ➢ Analisa Gas Darah ➢ Centrifuger ➢ Refrigerator ➢ Pipet Mikro berbagai ukuran ✓ Ruang imuno-serologi ➢ Imunology Analyzer Mindray CL-900i ➢ Rotator ➢ Refrigerator -20 ✓ Ruang Biologi Molekuler ➢ PCR Abbot RT M2000 ➢ PCR Zybio ➢ PCR Bioneer ➢ Refrigerator - 20 ➢ Refrigerator - 40 ➢ Refrigerator - 60 ➢ BSC ( Bio Safety cabinet ) ➢ Automatic extactor ➢ Centrifuger refrigerator ➢ Centrifuger cup ➢ Vortex ➢ Hepafilter air furifier ➢ Hepafilter fortable e) Ruang Reagensia dan Pencetakan Media ✓ Refigerator pharmaceutical ✓ Rak reagen ✓ Komputer ✓ Printer f) Ruang Aula ✓ Meja U Shape ✓ Kursi ✓ Layar Monitor ✓ LCD ✓ Lemari Berkas g) Ruang Kepala Instalasi ✓ Meja ✓ Kursi ✓ Sofa ✓ Lemari
9,Kompetensi Pelaksana,a. Dokter spesialis Patologi Klinik memiliki STR dan SIP b. Ahli Teknologi Laboratorium Medis yang memiliki STR dan SIP
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
