NO,KOMPONEN,URAIAN
1,Dasar Hukum,a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentangKesehatan; f. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumah sakitan; g. Peraturan Menteri Kesehatan Republik Indonesia Nomor 5025/ MENKES/ PER/ IV/ 2011 tentang Registrasi dan Perizinan Praktik; h. Peraturan Menteri Kesehatan Republik Indonesia Nomor 1691/ MENKES/ PER/ VIII/ 2011 tentang Keselamatan Pasien Rumah Sakit; i. Keputusan Menteri Kesehatan Republik Indonesia Nomor 436/MENKES/SK/VI/1993 tentang Penerepan Standar Pelayanan Rumah Sakit dan Standar Pelayanan Medik; j. Keputusan Menteri Kesehatan Nomor 1333/Menkes/SK/ XII/1999 Tentang Standar Pelayanan Rumah Sakit; k. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; l. KeputusanMenteriKesehatanRepublik Indonesia No. HK.01.07-MENKES-320-2020 tentangStandarProfesiBidan; m. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; n. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; o. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; p. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;
2,Persyaratan Pelayanan,"RAWAT JALAN a. Pasien Umum a) Membawa formulir permintaan pemeriksaan Laboratorium Patologi Anatomi dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP) b) Melampirkan kuitansi Pembayaran Pemeriksaan Laboratorium Patologi anatomi c) Bukti slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Anatomi b. Pasien peserta Non PBI, PBI, Jamsostek (Asuransi),Dinas Sosial a) Kelengkapan persyaratan administrasi : Pasien peserta Non PBI,PBI,Jamsostek (Asuransi), Dinas Sosial yang berobat ke rumah sakit membawa persyaratan yang dibutuhkan (kartu BPJS, Jamsostek, KTP/KK) danmendaftar di pelayanan rekam medis Rumah Sakit dan data pasien akan terkoneksi dengan sistem Elektronik Rekam Medik Rumah Sakit b) Membawa formulir permintaan pemeriksaan Laboratorium Patologi Anatomi dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP) c) Data pasien sudah terkoneksi dengan SIM RS pada saat pendaftaran pasien di komputer laboratorium Patologi Anatomi d) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Anatomi c. Pasien peserta Non PBI dan PBI untuk Pemeriksaan Imunohistokimia (IHK) Kelengkapan Persyaratan Administrasi : a) Formulir Permintaan Pemeriksaan Imunohistokimia (IHK) b) Surat Legalisasi Pelayanan dari BPJS c) Fotokopi hasil pemeriksaan laboratorium Patologi Anatomi d) Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Anatomi RAWAT INAP Pasien peserta Non PBI, PBI, Jamsostek (Asuransi),Dinas Sosial ,dan Umum a. Kelengkapan persyaratan administrasi : Pasien peserta Non PBI,PBI,Jamsostek (Asuransi), Dinas Sosial dan Umum yang berobat ke rumah sakit membawa persyaratan yang dibutuhkan (Kartu BPJS, Jamsostek, KTP/KK) dan mendaftar di pelayanan rekam medis Rumah Sakit dan data pasien akan terkoneksi dengan sistem Elektronik Rekam Medik Rumah Sakit b. Membawa formulir permintaan pemeriksaan Laboratorium Patologi Anatomi dari Dokter Klinik Spesialis ( Dokter Penanggung Jawab Pasien /DPJP) c. Data pasien sudah terkoneksi dengan SIM RS pada saat pendaftaran pasien di komputer laboratorium Patologi Anatomi d. Bukti Slip permintaan dan tindakan pelayanan penunjang diagnostik/ tindakan medis yang di keluarkan oleh loket Patologi Anatomi"
3,Sistem Mekanisme dan Prosedur,"RAWAT JALAN a. FNAB a) Pasien /keluarga pasien datang dari poliklinik rawat jalan atau dari klinik di luar rumah sakit dengan membawa blanko permintaan pemeriksaan laboratorium dan status pasien. b) Registrasi diloket administrasi laboratorium patologi anatomi c) Sebelum melakukan tindakan FNAB, pasien/keluarga pasien mendapatkan penjelasan tentang tindakan yang akan dilakukan dan memberikan persetujuan secara tertulis (informed concent d) Ke ruang tindakan FNAB, dilakukan anamnesis dan pemeriksaan fisik sesuai dengan indikasi e) Pengambilan sample dilakukan oleh dokter Spesialis Patologi Anatomi , proses pengecatan dilakukan oleh Teknisi laboratorium dan pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi f) Pasien di beri kartu pengambilan hasil g) Pengetikan hasil pemeriksaan laboratorium dilakukan oleh petugas administrasi laboratorium patologi anatomi, dikoreksi oleh dokter spesialis patologi anatomi dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi Anatomi h) Hasil pemeriksaan laboratorium di serahkan ke pasien sesuai dengan tanggal pengambilan hasil yang sudah di tentukan oleh petugas administrasi laboratorium i) Jangka waktu penyelesaian pemeriksaan FNAB 3 hari kerja b. Sitologi Cairan dan Papsmear a) Petugas poliklinik rawat jalan memberitahu ke petugas laboratorium patologi anatomi kalau ada sampel sitologi cairan atau papsmear b) Petugas khusus Laboratorium Patologi Anatomi akan mengambil sampel dan formulir pemeriksaan ke poliklinik rawat jalan c) Menyerahkan sampel dan formulir pemeriksaan laboratorium ke petugas administrasi laboratorium patologi anatomi. d) Pengecekan kesesuaian identitas sampel sitologi cairan dan papsmear dengan formulir pasien oleh petugas administrasi. e) Registrasi di loket administrasi laboratorium patologi anatomi f) Teknisi laboratorium akan mengecek kembali kesesuaian identitas sampel sitologi cairan dan papsmear dengan formulir pasien g) Teknisi laboratorium akan melakukan proses penanganan sampel sitologi cairan dan papsmear sampai menjadi slide h) Pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi i) Pengetikan hasil pemeriksaan laboratorium dilakukan oleh petugas administrasi laboratorium patologi anatomi, dikoreksi oleh dokter spesialis patologi anatomi dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi Anatomi j) Hasil pemeriksaan laboratorium di serahkan oleh petugas khusus laboratorium Patologi Anatomi ke poliklinik rawat jalan ditandai dengan adanya bukti pengiriman hasil yang tercatat di buku ekspedisi k) Jangka waktu penyelesaian pemeriksaan sitologi cairan dan Papsmear 3 hari kerja. c. Histopatologi a) Petugas poliklinik rawat jalan memberitahu ke petugas laboratorium patologi anatomi jika ada sampel Histopatologi b) Petugas khusus Laboratorium Patologi Anatomi akan mengambil sampel dan formulir pemeriksaan dari poliklinik rawat jalan c) Menyerahkan sampel dan formulir pemeriksaan laboratorium ke petugas administrasi laboratorium patologi anatomi. d) Pengecekan kesesuaian identitas sampel jaringan dan formulir pasien oleh petugas administrasi e) Registrasi di loket administrasi laboratorium patologi anatomi f) Dokter Spesialis Patologi Anatomi akan mengecek kembali kesesuaian identitas jaringan dan formulir pasien g) Dokter Spesialis Patologi Anatomi akan melakukan pemotongan makroskopis dan pengambilan sampel jaringan h) Teknisi laboratorium akan melakukan proses sampel jaringan sampai menjadi slide i) Pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi j) Pengetikan hasil pemeriksaan dilakukan oleh petugas administrasi laboratorium patologi anatomi, dikoreksi oleh dokter spesialis patologi anatomi dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi Anatomi k) Hasil pemeriksaan laboratorium di serahkan oleh petugas khusus laboratorium Patologi Anatomi ke poliklinik rawat jalan ditandai dengan adanya bukti pengiriman hasil yang tercatat di buku ekspedisi l) Jangka waktu penyelesaian pemeriksaan Histopatologi 7 hari kerja d. Pemeriksaan Imunohistokimia (IHK) a) Formulir permintaan dan specimen yang akan di periksa dicatat di buku khusus pencatatan pemeriksaan Imunohistokimia yang mencakup : tanggal terima, Nomor PA, dokter pengirim, nama pasien, asal rumah sakit, jenis pemeriksaan, dokter pemeriksa dan tanggal keluar hasil b) Jenis pemeriksaan yang diterima disesuaikan dengan permintaan pemeriksaan c) Bila specimen berasal dari internal rumah sakit, petugas Laboratorium PA meminjam blok paraffin dan sediaan HE ke petugas arsip d) Bila specimen berasaldarieksternalrumahsakit, makapetugaslaboratorium PA akanmembuatsuratpeminjamanblok/Slide di rumahsakittersebut e) Jika sediaan Histopatologi (HE) tidak disertakan dalam dokumen pasien saat peminjaman maka blok paraffin yang dikirim berasal dari rumah sakit luar,langsung diproses untuk pembuatan sediaan (HE) f) Sediaan HE diserahkan ke dokter SpPA untuk diperiksa kelayakan tumor dan penentuan panel antibody yang diperlukan sesuai kasus. g) Dokter SpPA menyerahkan hasil pemeriksaan kelayakan tumor dan penentuan panel kepada teknisi IHK pada hari yang sama pada saat diserahkan. h) Teknisi IHK akan memotong blok paraffin setebal 3-5 µm menggunakan microtome, kemudian dilekatkan pada kaca objek yang telah dilapisi perekat, jumlah potongan disesuaikan dengan permintaan panel antibody i) Teknisi IHK mempersiapkan proses pulasan sesuai dengan jenis pemeriksaan yang tertera pada formulir permintaan yang telah disetujui oleh dokter SpPA j) Teknisi IHK memproses sediaan berdasarkan prosedur rutin laboratorium k) Setelah proses pulasan di laboratorium selesai, teknisi IHK menyerahkan hasil pemrosesan sediaan kepada dokter SpPA l) Sediaan akan dibaca di bawah mikroskop dan dokter SpPA menyimpulkan hasil penilaian berdasarkan keterangan klinik, gambaran histopatologi dan hasil pulasan, kemudian mengetik hasil jawaban akhir di komputer SIM RS. m) Jawaban pemeriksaan IHK dicetak, diperiksa dan ditandatangani oleh dokter SpPA yang memeriksa n) Jawaban dan blok yang berasal dari rumah sakit luar diserahkan ke loket pengambilan hasil dan dicatat di dalam buku ekspedisi o) Blok paraffin dan sediaan HE yang merupakan arsip internal rumah sakit diserahkan kembali kebagian arsip untuk disimpan oleh petugas. p) Formulir dan slide pemeriksaan IHK disimpan didalam arsip laboratorium q) Hasilpemeriksaan IHK diserahkankepasiensesuaidengantanggalpe ngambilanhasil yang sudahditentukanolehpetugasadministrasila boratorium r) Jangka waktu penyelesaian pemeriksaan Imunohistokimia 10 hari kerja RAWAT INAP a. FNAB a) Pasien/ Keluarga pasien datang dari ruang rawat inap rumah sakit dengan membawa blanko permintaan pemeriksaan laboratorium dan status pasien. b) Registrasi diloket administrasi laboratorium patologi anatomi c) Sebelum melakukan tindakan FNAB, pasien /keluarga pasien mendapatkan penjelasan tentang tindakan yang akan dilakukan dan memberikan persetujuan secara tertulis (informed concent) d) Ke ruang tindakan FNAB, dilakukan anamnesis dan pemeriksaan fisik sesuai dengan indikasi ( apabila pasien tidak bisa di bawa ke laboratorium patologi anatomi, maka dokter Spesialis Patologi Anatomi dan Analis akan mengambil sample ke ruangan rawat inap ) e) Pengambilan sample dilakukan oleh dokter Spesialis Patologi Anatomi , proses pengecatan dilakukan oleh analis dan pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi f) Pasien/keluarga pasien di beri kartu pengambilan hasil g) Pengetikan hasil pemeriksaan dilakukan oleh petugas administrasi laboratorium patologi anatomi, dikoreksi oleh dokter spesialis patologi anatomi dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi Anatomi h) Hasil pemeriksaan laboratorium di serahkan ke pasien sesuai dengan tanggal pengambilan hasil yang sudah di tentukan oleh petugas administrasi laboratorium i) Jangka waktu penyelesaian pemeriksaan FNAB 3 hari kerja b. Sitologi Cairan/Papsmear a) Spesimen Sitologi Cairan/Papsmear dikirim ke Laboratorium Patologi Anatomi oleh Petugas Khusus dari Ruangan atau diambil oleh Petugas Khusus Ruang Laboratorium Patologi Anatomi b) Menyerahkan sample, dan formulir pemeriksaan laboratorium ke petugas administrasi laboratorium patologi anatomi. c) Pengecekan kesesuaian identitas sample sitologi/papsmear dan formulir pasien oleh petugas administrasi d) Registrasi di loket administrasi laboratorium patologi anatomi e) Teknisi Laboratorium akan mengecek kembali kesesuaian identitas sample sitologi/papsmear dan formulir pasien f) Teknisi Laboratorium akan melakukan proses penanganan sample sitologi /papsmear sampai menjadi slide. g) Pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi h) Pengetikan hasil pemeriksaan dilakukan oleh petugas administrasi laboratorium patologi anatomi, dikoreksi oleh dokter spesialis patologi anatomi dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi Anatomi i) Hasil pemeriksaan laboratorium di serahkan oleh petugas khusus laboratorium Patologi Anatomi ke Ruangan Rawat Inap dan poliklinik rawat jalan ditandai dengan adanya bukti pengiriman hasil yang tercatat di buku ekspedisi j) Jangka waktu penyelesaian pemeriksaan Sitologi/Papsmear 3 hari kerja c. Histopatologi a) Spesimen jaringan dikirim ke Laboratorium Patologi Anatomi oleh Petugas Khusus dari Ruangan atau diambil oleh Petugas Khusus Ruang Laboratorium Patologi Anatomi b) Menyerahkan sample dan formulir pemeriksaan laboratorium ke petugas administrasi laboratorium patologi anatomi. c) Pengecekan kesesuaian identitas sample jaringan dan formulir pasien oleh petugas administrasi d) Registrasi di loket administrasi laboratorium patologi anatomi e) Dokter Spesialis Patologi Anatomi akan mengecek kembali kesesuaian identitas jaringan dan formulir pasien f) Dokter Spesialis Patologi Anatomi akan melakukan pemotongan makroskopis dan pengambilan sample jaringan g) Teknisi Laboratorium akan melakukan proses sample jaringan sampai menjadi slide h) Pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi i) Pengetikan hasil pemeriksaan dilakukan oleh petugas administrasi laboratorium patologi anatomi, dikoreksi oleh dokter spesialis patologi anatomi dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi Anatomi j) Hasil pemeriksaan laboratorium di serahkan oleh petugas khusus laboratorium Patologi Anatomi ke Ruangan Rawat Inap dan poliklinik rawat jalan ditandai dengan adanya bukti pengiriman hasil yang tercatat di buku ekspedisi k) Jangka waktu penyelesaian pemeriksaan Histopatologi 7 hari kerja d. Vries Coupe/VC/Potong Beku a) Dokter Spesialis Patologi Anatomi/ Analis potong beku menerima formulir / surat permintaan atau mendapat informasi selambat-lambatnya satu hari sebelumnya. b) Teknisi Laboratorium mempersiapkan semua peralatan yang diperlukan sehari sebelum tindakan c) Dokter Spesialis Patologi Anatomi dan Analis akan mengecek kesesuaian anatar data yang terdapat pada formulir /surat permintaan dengan spesimen/jaringan yang diterima d) Dokter Spesialis Patologi Anatomi akan melakukan pemotongan makroskopis dan pengambilan sample jaringan yang representatif untuk diproses potong beku e) Teknisi Laboratorium memproses jaringan sampai menjadi slide yang siap dibaca f) Pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi g) Jawaban disampaikan sesegera mungkin via telepon ke dokter klinisi yang meminta h) Hasil pemeriksaan ditulis dalam formulir jawaban potong beku dan formulir permintaan serta di tandatangani oleh dokter Spesialis Patologi Anatomi. i) Analis melakukan fiksasi sisa jaringan potong beku untuk dilakukan pemeriksaan histopatologi. j) Jangka waktu penyelesaian pemeriksaan Vries Coupe adalah 45 menit. e. Pemeriksaan Cell Blok a) Permintaan pemeriksaan oleh Dokter Klinisi dan atau Dokter Spesialis Patologi Anatomi b) Pengecekan kesesuaian formulir pemeriksaan c) Teknisi Laboratorium akan melakukan proses pemeriksaan cell blok sampai menjadi slide d) Pembacaan slide dilakukan oleh dokter Spesialis Patologi Anatomi e) Pengetikan hasil pemeriksaan dilakukan oleh petugas administrasi laboratorium patologi anatomi, dikoreksi oleh dokter spesialis patologi anatomi dan hasil pemeriksaan laboratorium di tandatangani oleh dokter Spesialis Patologi Anatomi f) Hasil pemeriksaan laboratorium di serahkan oleh petugas khusus laboratorium Patologi Anatomi ke Ruangan Rawat Inap dan poliklinik rawat jalan ditandai dengan adanya bukti pengiriman hasil yang tercatat di buku ekspedisi g) Jangka waktu penyelesaian pemeriksaan Histopatologi 7 hari kerja "
4,Jangka Waktu Pelayanan,a. Senin – Kamis : Jam 7.30 s/d 15.30 WIB b. Jum’at : Jam 7.30 s/d 14.00 WIB c. Sabtu : Jam 7.30 s/d 12.00 WIB d. Waktu Tunggu Hasil Pemeriksaan Laboratorium Patologi Anatomi : a) FNAB : 3 Hari b) Sitologi Cairan dan Papsmear : 3 Hari c) Histopatologi Jaringan : 7 Hari d) Vries Coupe : 45 Menit e) Cell Blok : 7 hari f) Imunohistokimia : 10 hari
5,Biaya/Tarif,"MENGACU PADA : a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr.H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama, ( VIP,VVIP A dan VVIP B) pada RSUD Dr.H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,"Pemeriksaan LaboratoriumPatologi Anatomi : a. Pemeriksaan Sitopatologi a) Papsmear b) Sitologi Cairan c) FNAB b. Pemeriksaan Histopatologi ( jaringan kuretase, biopsi, insisi, eksisi, operasi ) c. Pemeriksaan Vries Coupe /VC/Potong Beku d. Pemeriksaan Cell Blok e. Pemeriksaan Imunohistokimia"
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi","Keluhan atau Komplain disampaikan melalui sarana yang disediakan oleh RSUD Dr.H. Abdul Moeloek Provinsi Lampung, antara lain : a. Website : rsudam.lampungprov.go.id b. Email : humasrsudam23@gmail.com c. Telephone di Nomor : (0721) 703312 d. SMS/WA di Nomor : Hp.0821 8182 4577 e. Aduan Langsung f. Kotak Saran"
8,Sarana Prasarana / Fasilitas,"a. Fasilitas Ruangan a) Ruang Administrasi/Pendaftaran b) Ruang Tunggu Pasien c) Ruang Poli FNAB d) Ruang Aula e) Ruang Kepala Instalasi f) Ruang Kepala Ruangan g) Ruang Dokter/Ruang Konsul h) Ruang Reagensia i) Ruang Potong Jaringan j) Ruang Prosesing k) Ruang Imunohistokimia l) Ruang Histokimia m) Ruang Sitologi n) Ruang Vries Coupe (Di Bedah Central) o) Ruang Arsip Basah p) Ruang Arsip Kering( Slide dan Blok) q) Ruang Arsip Laporan r) Ruang Makan b. Fasilitas Peralatan a) Ruang Sitopatologi ✓ Centrifuger ✓ Tabung reaksi kecil ✓ Timer ✓ Manual Staining ✓ Mikro Pipete ✓ Tip Kuning ✓ Objek Glass ✓ Deck Glass ✓ Tisu ✓ Alat Tulis ✓ Kran Air ( Wastafel) b) Ruang FNAB ✓ Spuit 5 cc,20 cc ✓ Neddle ukuran 25 ✓ Neddle Ukuran 26 ✓ Objek Glass ✓ Kapas Alkohol ✓ Hair Dryer ✓ Tempat tidur pasien ✓ Kran air ( Wastafel) ✓ Senter ✓ Handscone ✓ Alat tulis kantor c) Ruang Potong Jaringan (Grossing) ✓ Pisau Potong 1 set ✓ Gunting (Lurus, bengkok, kecil) ✓ Talenan ✓ Bisturi ✓ Pinset ✓ Penggaris ✓ Kran Air ( Wastafel) ✓ Handscone ukuran S,M,L ✓ Plastik d) Ruang Prosesing ✓ Automatic Tissues Prosesing ✓ Microtome ✓ Waterbath ✓ Cold Plate Station ✓ Parafin Embeding Station ✓ Manual Staining e) Ruang Imunohistokimia ✓ Mesin Automatic Stainer ✓ Microtome ✓ Waterbath ✓ Mikroskop f) Ruang Vries Coupe ✓ Cryostat / Alat Potong Beku ✓ Manual Staining ✓ Mikroskop ✓ Hair driyer ✓ Pisau Potong 1 set ✓ Gunting (Lurus, bengkok, kecil) ✓ Talenan ✓ Bisturi ✓ Pinset ✓ Penggaris ✓ Handscone ukuran S,M,L ✓ Plastik g) Ruang Dokter ✓ Microscope Binokuler ✓ Microscope Four Heided ✓ Mikroscope Camera + PC ✓ Meja Diagnosa h) Fasilitas Penunjang Lain ✓ Komputer ✓ Printer ✓ AC ✓ Meja Kerja ✓ Kursi ✓ Lemari ✓ Refrigerator ✓ Kulkas"
9,Kompetensi Pelaksana,a. Dokter Spesialis Patologi Anatomi b. Ahli Teknologi Laboratorium Medik (ATLM) c. Pelaksana Administrasi
10,Pengawasan Internal,a. Dilakukan oleh atasan langsung b. Dilakukan oleh SPI
