NO,KOMPONEN,URAIAN
1,Dasar Hukum,"a. Undang-undang Republik Indonesia Nomor 37 tahun 2008 tentang Ombusmand Republik Indonesia; b. Undang-undang Republik Indonesia Nomor 14 tahun 2008 tentang Keterbukaan Informasi Publik; c. Undang-undang Republik Indonesia Nomor 25 tahun 2009 tentang Pelayanan Publik; d. Undang-Undang Republik Indonesia Nomor 44 Tahun 2009 Tentang Rumah Sakit; e. Undang-Undang Republik Indonesia Nomor 35 Tahun 2009 tentang Narkotika; f. Undang-Undang Republik Indonesia Nomor 5 Tahun 1997 tentang Psikotropika; g. Undang-Undang Republik Indonesia Nomor 17 tahun 2023 tentang Kesehatan; h. Peraturan Pemerintah Nomor 72 Tahun 1998 tentang Pengamanan Sediaan Farmasi dan Alat Kesehatan; i. Peraturan Pemerintah Nomor 51 Tahun 2009 tentang Pekerjaan Kefarmasian; j. Peraturan Pemerintah Nomor 47 Tahun 2021 tentang Penyelenggaraan Bidang Perumahsakitan; k. Peraturan Presiden Nomor 72 Tahun 2012 tentang Sistem Kesehatan Nasional; l. Peraturan Presiden Nomor 16 tahun 2018 tentang Pengadaan Barang dan Jasa; m. Peraturan Menteri Kesehatan Nomor 63 Tahun 2014 tentang Pengadaan Obat Berdasarkan E-Catalog Elektronik (ECatalogue); n. Peraturan Menteri Kesehatan Nomor 3 tahun 2015 tentang Peredaran, Penyimpanan, Pemusnahan dan Pelaporan Narkotika, Psikotropika dan Prekusor Farmasi; o. Peraturan Menteri Kesehatan Nomor 72 tahun 2016 tentang Standar Pelayanan Kefarmasian di Rumah Sakit; p. Peraturan Menteri Kesehatan Republik Indonesia Nomor 11 Tahun 2017 tentang Keselamatan Pasien Rumah Sakit; q. Peraturan Menteri Kesehatan Nomor 33 Tahun 2017 tentang Monitoring dan Evaluasi Terhadap Perencanaan, Pengadaan Berdasarkan Katalog Elektronik dan Pemakaian Obat; r. Peraturan Menteri Kesehatan Nomor 4 Tahun 2019 tentang Standar Teknis Pemenuhan Mutu Pelayanan Dasar Pada Standar Pelayanan Minimal Bidang Kesehatan; s. Peraturan Menteri Kesehatan Nomor 10 Tahun 2022 tentang Penetapan dan Perubahan Penggolongan Psikotropika; t. Peraturan Menteri Kesehatan Nomor 40 Tahun 2022 tentang Persyaratan Teknis Bangunan, Prasarana dan Peralatan Kesehatan Rumah Sakit; u. Peraturan Menteri Kesehatan Nomor 6 Tahun 2024 tentang Standar Teknis Pemenuhan Standar Pelayanan Minimal Kesehatan; v. Keputusan Menteri Kesehatan Nomor HK.01.07/MENKES/659/2017 tentang Formularium Nasional; w. Keputusan Menteri Kesehatan Nomor 189/MENKES/SK/III/2006 tentang Kebijakan Obat Nasional; x. Keputusan Menteri Kesehatan Nomor HK.01.07/Menkes/200/2020 tentang Pedoman Penyusunan Formularium Rumah Sakit; y. Keputusan Menteri Kesehatan Nomor HK.01.07/Menkes/1128/2022 tentang Standar Akreditasi Rumah Sakit; z. Keputusan Menteri Kesehatan Nomor HK.01.07/Menkes/1905/2023 tentang Nilai Klaim Harga Obat Program Rujuk Balik, Obat Penyakit Kronis di Fasilitas Kesehatan Rujukan Tingkat Lanjutan, Obat Kemoterapi dan Obat Alteplase; aa. Keputusan Menteri Kesehatan Nomor 129/Menkes/ SK/II/2008 tentang Standar Pelayanan Minimal Rumah Sakit; bb.Keputusan Menteri Kesehatan Nomor HK.01.07/Menkes/13/2023 tentang Standar Profesi Apoteker ; cc. Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 15 Tahun 2014 tentang Standar Pelayanan Publik; dd.Peraturan Menteri Pendayagunaan Aparatur Sipil Negara dan Reformasi Biro Krasi Nomor 13 Tahun 2021 tentang Jabatan Fungsional Apoteker; ee. Peraturan Gubernur Lampung Nomor 18 tahun 2023 tentang Tarif Pelayanan Kesehatan Rumah Sakit Umum Daerah Dr. H. Abdul Moeloek Provinsi Lampung; ff. Peraturan Gubernur Lampung Nomor 1 tahun 2023 tentang Pedoman Pengelolaan Badan Layanan Umum Daerah; gg. Keputusan Gubernur Lampung Nomor : G/621/VI.02/HK/2019 tentang Penetapan Rumah sakit Umum Dr. H. Abdul Moeloek Provinsi Lampung Sebagai Unit Kerja Organisasi Perangkat Daerah Provinsi Lampung yang menerapkan Badan Layanan Umum Daerah;"
2,Persyaratan Pelayanan,"a. Pasien teregistrasi di RSUD Dr. H. Abdul Moeloek melalui IGD/Poliklinik/Ruang Rawat Inap. Resep untuk obat-obat tertentu/khusus dibutuhkan hasil laboratorium patologi klinik, patologi anatomi, protokol/jadwal terapi, atau formulir permohonan b. Kelengkapan persyaratan administrasi: a) Pasien peserta BPJS Dibutuhkan kartu BPJS untuk penerbitan SJP dan SEP. b) Pasien peserta Jamkesda Dibutuhkan kartu KTP dan KK Bandar Lampung untuk penerbitan SJP c) Pasien dengan jaminan Dinas Sosial Dibutuhkan Surat Keterangan Tidak Mampu (SKTM), surat keterangan dari Dinas Sosial, KTP dan KK, diajukan ke Direktur Keuangan terkait pembiayaan d) Pasien dengan pembiayaan umum : Kartu Identitas (KTP)"
3,Sistem Mekanisme dan Prosedur,"a. Pelayanan Resep a) Telaah resep b) Entri resep dan Cetak Etiket/ Label Obat c) Penyiapan Obat d) Telaah Obat e) Verifikasi akhir kesesuaian obat dengan resep f) Penyerahan obat disertai informasi obat Konseling Obat a) Membuka komunikasi antara Apoteker dengan pasien b) Menanyakan hal-hal yang menyangkut obat yang diresepkan oleh dokter kepada pasien dengen metode three open-ended question, apa yang dikatakan dokter mengenai obat,bagaimana cara pemakaian obat, efek yang diharapkan dari obat tersebut c) Memperagakan dan menjelaskan mengenai cara penggunaan obat d) Verifikasi akhir: mengecek pemahaman pasien, mengidentifikasi dan menyelesaikan masalah yang berhubungan dengan cara penggunaan obat, untuk mengoptimalkan tujuan terapi e) Mencatat dalam buku kegiatan konseling b. Visite Apoteker a) Bisa dilakukan Mandiri atau bersama Tim b) Perkenalan dengan pasien c) Mengamati kondisi klinis pasien secara langsung, berinteraksi dengan pasien dan melakukan identifikasi masalah terkait obat d) Memberikan informasi dan rekomendasi berbasis bukti kepada pasien/keluarga dan professional Kesehatan lain terkait penggunaan obat e) Melakukan pemantauan implementasi rekomendasi f) Melakukan Pemantauan Terapi Obat (PTO) terkait efektivitas dan keamanannya g) Mengisi lembar Catatan Perkembangan Pasien Terintegrasi (CPPT) menggunakan metode SOAP"
4,Jangka Waktu Pelayanan,Resep obat jadi < 30 menit Resep obat racikan < 60 menit Konsultasi/visite 15 – 30 menit
5,Biaya/Tarif,"Mengacu pada: a. PP Nomor 12 Tahun 2013 tentang Jaminan Kesehatan Nasional b. PP Nomor 28 Tahun 2016 tentang Perubahan ketiga PP Nomor 12 tahun 2013 c. PMK Nomor 56 tahun 2016 tentang Program Jaminan Kesehatan Nasional d. PMK Nomor 64 tahun 2016 tentang Standar Tarif Jaminan Kesehatan Nasional e. Peraturan Daerah Provinsi Lampung Nomor I Tahun 2011 tentang Tarif Pelayanan Kesehatan kelas III pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung f. Pergub Nomor 6 Tahun 2019 tentang Tarif Pelayanan Kesehatan Rawat Jalan, Instalasi Gawat Darurat, Kelas II, Kelas Khusus, Kelas I, Kelas Utama ( VIP, VVIP A dan VVIP B) pada RSUD Dr. H. Abdul Moeloek Provinsi Lampung"
6,Produk Layanan,a. Pelayanan resep b. Konseling obat c. Visite Apoteker d. Dispensing Sediaan Steril
7,"Penanganan Pengaduan, Saran, dan Masukan / Apresiasi",a. Website : rsudam.lampungprov.go.id b. Email humasrsudam23@gmail.com c. Telepon : (0721)703312 d. SMS/WA : 0821 8182 4557 e. Pengaduan Langsung : Unit Layanan Terpadu Gedung Rawat Jalan f. Kotak Saran : setiap Area Publik RSUD Abdul Moeleok Provinsi Lampung.
8,Sarana Prasarana / Fasilitas,"Sarana dan Prasarana/Fasilitas a. Ruang Kantor/Administrasi Lt.2, terdiri dari: a) Ruang pimpinan b) Ruang staf c) Ruang kerja/administrasi tata usaha d) Ruang pertemuan/ Aula e) Dapur/pantry b. Ruang Penyimpanan a) Gudang Farmasi 2 lantai b) Gudang Cairan c. Ruang Distribusi terdiri dari: a) Depo Farmasi Rawat Jalan b) Depo Farmasi IGD c) Depo Farmasi HD d) Depo Farmasi Rawat Inap e) Depo Farmasi OK f) Depo Farmasi ICU g) Depo Farmasi Bedah d. Ruang Konsultasi/Konseling Obat e. Ruang Produksi f. Ruang Aseptic Dispensing g. Troli Emergensi disetiap ruangan h. Tas Emergensi i. Fasilitas Penunjang Pelayanan: a) Ruang tunggu pasien b) Ruang penyimpanan dokumen/arsip Resep c) Ruang penyimpanan Sediaan Farmasi, Alat Kesehatan dan Bahan Medis Habis Pakai yang rusak d) Tempat penyimpanan obat diruang perawatan e) Fasilitas toilet dan kamar mandi untuk pasien dan staf Fasilitas Peralatan, meliputi: a. Peralatan kantor (Meubeulair, computer, ATK, telephone) b. Peralatan sistem komputerisasi (jaringan, perangkat keras dan perangkat lunak/aplikasi) c. Fasilitas Penyimpanan (rak, pallet, lemari khusus narkotika, lemari pendingin, thermometer)) d. Peralatan produksi (mortit, stamper, blender obat) e. Peralatan aseptic dispensing (BSC, LAF, Passbox, thermometer, intercom) f. Fasilitas penerangan, ventilasi g. Peralatan distribusi (troli, box) h. Peralatan konsultasi (Buku, leaflet, meja, kursi, alat peraga)"
9,Kompetensi Pelaksana,"a. Apoteker memiliki STR, SIP dan Sertifikat Pelatihan b. Tenaga Vokasi/Tenaga Teknis Kefarmasian ( S1 Farmasi & Ahli Madya Farmasi) memiliki STR, SIP dan Serttifikat Pelatihan c. Tenaga Non Teknis"
10,Pengawasan Internal,a. Satuan Pengawas Internal Rumah Sakit (SPI) b. Dewan Pengawas c. Direktur d. Atasan Langsung
